sadei;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
Resultados de las Elecciones a la Junta General del Principado de Asturias;;;;;;;;;;;;;;;;;
8 de Mayo de 1983;;;;;;;;;;;;;;;;;
Asturias / Asturies;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;Número;% sobre el total de votos válidos;% sobre el total del censo;Diputados;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;Diputados a elegir;;;;45;;;;;;;;;;;;
;Censo electoral;873.690;;100,00;;;;;;;;;;;;;
;Votos emitidos;568.271;;65,04;;;;;;;;;;;;;
;Abstención;305.419;;34,96;;;;;;;;;;;;;
;Votos emitidos;568.271;;65,04;;;;;;;;;;;;;
;Votos a candidaturas;562.222;;64,35;;;;;;;;;;;;;
;Votos en blanco;2.298;;0,26;;;;;;;;;;;;;
;Votos nulos;3.751;;0,43;;;;;;;;;;;;;
;Votos válidos;564.520;100,00;64,61;;;;;;;;;;;;;
;Partido Socialista Obrero Español;293.320;51,96;33,57;26;;;;;;;;;;;;
;Coalición Popular;170.654;30,23;19,53;14;;;;;;;;;;;;
;Partido Comunista de Asturias;60.521;10,72;6,93;5;;;;;;;;;;;;
;Centro Democrático y Social;21.829;3,87;2,50;;;;;;;;;;;;;
;Partido Socialista de los Trabajadores;4.703;0,83;0,54;;;;;;;;;;;;;
;Candidatura Comunista (PRUC - PCPE);4.226;0,75;0,48;;;;;;;;;;;;;
;Movimiento Comunista - Liga Comunista Revolucionaria;2.833;0,50;0,32;;;;;;;;;;;;;
;Ensame Nacionalista Astur;2.505;0,44;0,29;;;;;;;;;;;;;
;Coalición Lucha Popular;867;0,15;0,10;;;;;;;;;;;;;
;Mocedades Estudiantes y Trabajadores;764;0,14;0,09;;;;;;;;;;;;;
;En blanco;2.298;0,41;0,26;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;Año de referencia: 1983;;;;;;;;;;;;;;;;
;Fuente: Ministerio del Interior. Elaborado por SADEI.;;;;;;;;;;;;;;;;
;Tipo de datos: Definitivos;;;;;;;;;;;;;;;;
;Última actualización: 17/07/2002;;;;;;;;;;;;;;;;
