sadei;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
Resultados de las Elecciones a la Junta General del Principado de Asturias;;;;;;;;;;;;;;;;;
13 de Junio de 1999;;;;;;;;;;;;;;;;;
Asturias / Asturies;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;Número;% sobre el total de votos válidos;% sobre el total del censo;Diputados;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;Diputados a elegir;;;;45;;;;;;;;;;;;
;Censo electoral;979.618;;100,00;;;;;;;;;;;;;
;Votos emitidos;623.242;;63,62;;;;;;;;;;;;;
;Abstención;356.376;;36,38;;;;;;;;;;;;;
;Votos emitidos;623.242;;63,62;;;;;;;;;;;;;
;Votos a candidaturas;609.766;;62,25;;;;;;;;;;;;;
;Votos en blanco;9.720;;0,99;;;;;;;;;;;;;
;Votos nulos;3.756;;0,38;;;;;;;;;;;;;
;Votos válidos;619.486;100,00;63,24;;;;;;;;;;;;;
;Partido Socialista Obrero Español;284.972;46,00;29,09;24;;;;;;;;;;;;
;Partido Popular;200.164;32,31;20,43;15;;;;;;;;;;;;
;Izquierda Unida de Asturias;55.747;9,00;5,69;3;;;;;;;;;;;;
;Unión Renovadora Asturiana;44.261;7,14;4,52;3;;;;;;;;;;;;
;Partíu Asturianista;15.998;2,58;1,63;;;;;;;;;;;;;
;Los Verdes de Asturies;3.343;0,54;0,34;;;;;;;;;;;;;
;Andecha Astur;2.206;0,36;0,23;;;;;;;;;;;;;
;Bloque de la Izquierda Asturiana;1.366;0,22;0,14;;;;;;;;;;;;;
;Unión Centrista - Centro Democrático y Social;737;0,12;0,08;;;;;;;;;;;;;
;Concejo Astur;496;0,08;0,05;;;;;;;;;;;;;
;La Falange;453;0,07;0,05;;;;;;;;;;;;;
;Partido Humanista;23;0,00;0,00;;;;;;;;;;;;;
;En blanco;9.720;1,57;0,99;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;Año de referencia: 1999;;;;;;;;;;;;;;;;
;Fuente: Ministerio del Interior. Elaborado por SADEI.;;;;;;;;;;;;;;;;
;Tipo de datos: Definitivos;;;;;;;;;;;;;;;;
;Última actualización: 17/07/2002;;;;;;;;;;;;;;;;
