sadei;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Resultados de las Elecciones a la Junta General del Principado de Asturias;;;;;;;;;;;;;;;;
27 de Mayo de 2007;;;;;;;;;;;;;;;;
Asturias / Asturies;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;Número;% sobre el total de votos válidos;% sobre el total del censo;Diputados;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;Diputados a elegir;;;;45;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;Censo electoral;981.802;;100,00;;;;;;;;;;;;
;Votos emitidos;604.682;;61,59;;;;;;;;;;;;
;Abstención;377.120;;38,41;;;;;;;;;;;;
; ;;;;;;;;;;;;;;;
;Votos emitidos;604.682;;61,59;;;;;;;;;;;;
;Votos a candidaturas;585.380;;59,62;;;;;;;;;;;;
;Votos en blanco;14.458;;1,47;;;;;;;;;;;;
;Votos nulos;4.844;;0,49;;;;;;;;;;;;
; ;;;;;;;;;;;;;;;
;Votos válidos;599.838;100,00;61,10;;;;;;;;;;;;
;Partido Socialista Obrero Español (PSOE);252.201;42,04;25,69;21;;;;;;;;;;;
;Partido Popular (PP);248.907;41,50;25,35;20;;;;;;;;;;;
;Izquierda Unida-Bloque por Asturies-Los Verdes de Asturies (IU-BA-Verdes);58.114;9,69;5,92;4;;;;;;;;;;;
;Unión Renovadora Asturiana-Partíu Asturianista (URAS-PAS);13.314;2,22;1,36;;;;;;;;;;;;
;UNIDÁ (Andecha Astur-Izquierda Asturiana-Los Verdes);4.119;0,69;0,42;;;;;;;;;;;;
;Andecha Astur (AA);2.770;0,46;0,28;;;;;;;;;;;;
;Partido Comunista de los Pueblos de España (PCPE);2.001;0,33;0,20;;;;;;;;;;;;
;Izquierda Republicana (IR);1.707;0,28;0,17;;;;;;;;;;;;
;Democracia Nacional (DN);884;0,15;0,09;;;;;;;;;;;;
;Conceyu Astur (CONCEYU);782;0,13;0,08;;;;;;;;;;;;
;Convergencia Democrática Asturiana (CDAS);581;0,10;0,06;;;;;;;;;;;;
;En blanco;14.458;2,41;1,47;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;Año de referencia: 2007;;;;;;;;;;;;;;;
;Fuente: Ministerio del Interior. Elaborado por SADEI.;;;;;;;;;;;;;;;
;Tipo de datos: Provisionales;;;;;;;;;;;;;;;
;Última actualización: 26/02/2008;;;;;;;;;;;;;;;
