sadei;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Resultados de las Elecciones a la Junta General del Principado de Asturias;;;;;;;;;;;;;;;;
25 de Marzo de 2012;;;;;;;;;;;;;;;;
ASTURIAS;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;Número;% sobre el total de votos válidos;% sobre el total del censo;Diputados;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Diputados a elegir;;;;45;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Censo electoral;989.993;;100,00;;;;;;;;;;;;;
Votos emitidos;506.368;;51,15;;;;;;;;;;;;;
Abstención;483.625;;48,85;;;;;;;;;;;;;
 ;;;;;;;;;;;;;;;;
Votos emitidos;506.368;;51,15;;;;;;;;;;;;;
Votos a candidaturas;494.907;;49,99;;;;;;;;;;;;;
Votos en blanco;7.166;;0,72;;;;;;;;;;;;;
Votos nulos;4.295;;0,43;;;;;;;;;;;;;
 ;;;;;;;;;;;;;;;;
Votos válidos;502.073;100,00;50,71;;;;;;;;;;;;;
Partido Socialista Obrero Español (PSOE);161.159;32,10;16,28;17;;;;;;;;;;;;
Foro de Ciudadanos (FAC);124.518;24,80;12,58;12;;;;;;;;;;;;
Partido Popular (PP);108.091;21,53;10,92;10;;;;;;;;;;;;
Izquierda Unida de Asturias-Izquierda Xunida d'Asturies (IU-IX);69.118;13,77;6,98;5;;;;;;;;;;;;
Unión Progreso y Democracia (UPyD);18.801;3,74;1,90;1;;;;;;;;;;;;
Escaños en blanco (Eb);4.107;0,82;0,41;;;;;;;;;;;;;
Equo-Los Verdes de Asturias (EQUO-LOS VERDES);2.558;0,51;0,26;;;;;;;;;;;;;
Bloque por Asturies-Unidá Nacionalista Asturiana-Los Verdes-Grupo Verde: Compromisu por Asturies (BLOQUE POR ASTURIES-UNA-LV-GV);1.656;0,33;0,17;;;;;;;;;;;;;
Partido Animalista Contra el Maltrato Animal (PACMA);1.449;0,29;0,15;;;;;;;;;;;;;
Partido Comunista de los Pueblos de España (PCPE);782;0,16;0,08;;;;;;;;;;;;;
Ideas-Hartos.Org (IDEAS-HARTOS.ORG);738;0,15;0,07;;;;;;;;;;;;;
Andecha Astur (ANDECHA);674;0,13;0,07;;;;;;;;;;;;;
Unión Renovadora Asturiana-URAS (URAS);454;0,09;0,05;;;;;;;;;;;;;
Partido Democrático y Constitucional (PDYC);237;0,05;0,02;;;;;;;;;;;;;
Movimiento Social Republicano (MSR);183;0,04;0,02;;;;;;;;;;;;;
Solidaridad y Autogestión Internacionalista (SAiN);178;0,04;0,02;;;;;;;;;;;;;
Unificación Comunista España (UCE);100;0,02;0,01;;;;;;;;;;;;;
Agrupación de Electores Auseva Red (AEAR);55;0,01;0,01;;;;;;;;;;;;;
Partido Humanista (PH);28;0,01;0,00;;;;;;;;;;;;;
Partido da Terra Eo-Navia (PT);16;0,00;0,00;;;;;;;;;;;;;
Partido Familia y Vida (PFyV);5;0,00;0,00;;;;;;;;;;;;;
Votos en blanco;7.166;1,43;0,72;;;;;;;;;;;;;
 ;;;;;;;;;;;;;;;;
 ;;;;;;;;;;;;;;;;
Año de referencia: 2012;;;;;;;;;;;;;;;;
Fuente: Ministerio del Interior. Elaborado por SADEI;;;;;;;;;;;;;;;;
Tipo de datos: Definitivos;;;;;;;;;;;;;;;;
Última actualización: 15/06/2012;;;;;;;;;;;;;;;;
