sadei;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Resultados de las Elecciones a la Junta General del Principado de Asturias;;;;;;;;;;;;;;;;
24 de Mayo de 2015;;;;;;;;;;;;;;;;
ASTURIAS;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;Número;% sobre el total de votos válidos;% sobre el total del censo;Diputados;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Diputados a elegir;;;;45;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Censo electoral;988.057;;100,00;;;;;;;;;;;;;
Votos emitidos;551.197;;55,79;;;;;;;;;;;;;
Abstención;436.860;;44,21;;;;;;;;;;;;;
 ;;;;;;;;;;;;;;;;
Votos emitidos;551.197;;55,79;;;;;;;;;;;;;
Votos a candidaturas;533.074;;53,95;;;;;;;;;;;;;
Votos en blanco;10.271;;1,04;;;;;;;;;;;;;
Votos nulos;7.852;;0,79;;;;;;;;;;;;;
 ;;;;;;;;;;;;;;;;
Votos válidos;543.345;100,00;54,99;;;;;;;;;;;;;
Partido Socialista Obrero Español (PSOE);143.851;26,48;14,56;14;;;;;;;;;;;;
Partido Popular (PP);117.319;21,59;11,87;11;;;;;;;;;;;;
PODEMOS (PODEMOS);103.571;19,06;10,48;9;;;;;;;;;;;;
Izquierda Unida de Asturias / Izquierda Xunida d’A (IU-IX);64.868;11,94;6,57;5;;;;;;;;;;;;
Foro de Ciudadanos (FAC);44.480;8,19;4,50;3;;;;;;;;;;;;
Ciudadanos-Partido de la Ciudadanía (C's);38.687;7,12;3,92;3;;;;;;;;;;;;
Unión Progreso y Democracia (UPyD);4.358;0,80;0,44;;;;;;;;;;;;;
PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL (PACMA);3.975;0,73;0,40;;;;;;;;;;;;;
Escaños en blanco (EB);3.442;0,63;0,35;;;;;;;;;;;;;
Vox (VOX);3.226;0,59;0,33;;;;;;;;;;;;;
EQUO (EQUO);1.986;0,37;0,20;;;;;;;;;;;;;
Andecha Astur (ANDECHA);990;0,18;0,10;;;;;;;;;;;;;
Partido Comunista de los Pueblos de España (PCPE);888;0,16;0,09;;;;;;;;;;;;;
Agrupación de Electores Recortes Cero (RECORTES CERO);417;0,08;0,04;;;;;;;;;;;;;
Movimiento de Renovación Democrática Ciudadana, Mo (MOVIMIENTO RED);364;0,07;0,04;;;;;;;;;;;;;
Movimiento Social Republicano (MSR);301;0,06;0,03;;;;;;;;;;;;;
Unión Renovadora Asturiana (URAS);249;0,05;0,03;;;;;;;;;;;;;
Falange Española de las J.O.N.S. (FE de las JONS);59;0,01;0,01;;;;;;;;;;;;;
Partido Humanista (PH);43;0,01;0,00;;;;;;;;;;;;;
Votos en blanco;10.271;1,89;1,04;;;;;;;;;;;;;
 ;;;;;;;;;;;;;;;;
 ;;;;;;;;;;;;;;;;
Año de referencia: 2015;;;;;;;;;;;;;;;;
Fuente: Ministerio del Interior. Elaborado por SADEI;;;;;;;;;;;;;;;;
Tipo de datos: Definitivos;;;;;;;;;;;;;;;;
Última actualización: 05/06/2015;;;;;;;;;;;;;;;;
