Año;Provincia;Código INE;Municipio;Partido;Votos
1995;Albacete;20010000;Abengibre;CENSO;825
1995;Albacete;20010000;Abengibre;IU;4
1995;Albacete;20010000;Abengibre;PP;273
1995;Albacete;20010000;Abengibre;OTROS;3
1995;Albacete;20010000;Abengibre;PSOE;471
1995;Albacete;20010000;Abengibre;ABSTEN;73
1995;Albacete;20020000;Alatoz;CENSO;626
1995;Albacete;20020000;Alatoz;PP;268
1995;Albacete;20020000;Alatoz;PSOE;298
1995;Albacete;20020000;Alatoz;IU;12
1995;Albacete;20020000;Alatoz;OTROS;1
1995;Albacete;20020000;Alatoz;ABSTEN;39
1995;Albacete;20030000;Albacete;OTROS;901
1995;Albacete;20030000;Albacete;IU;10016
1995;Albacete;20030000;Albacete;ABSTEN;29757
1995;Albacete;20030000;Albacete;PP;38550
1995;Albacete;20030000;Albacete;CENSO;107352
1995;Albacete;20030000;Albacete;PSOE;26362
1995;Albacete;20040000;Albatana;IU;36
1995;Albacete;20040000;Albatana;OTROS;6
1995;Albacete;20040000;Albatana;PP;284
1995;Albacete;20040000;Albatana;PSOE;316
1995;Albacete;20040000;Albatana;CENSO;744
1995;Albacete;20040000;Albatana;ABSTEN;94
1995;Albacete;20050000;Alborea;ABSTEN;93
1995;Albacete;20050000;Alborea;CENSO;684
1995;Albacete;20050000;Alborea;PP;225
1995;Albacete;20050000;Alborea;IU;9
1995;Albacete;20050000;Alborea;OTROS;2
1995;Albacete;20050000;Alborea;PSOE;349
1995;Albacete;20060000;Alcadozo;IU;28
1995;Albacete;20060000;Alcadozo;ABSTEN;54
1995;Albacete;20060000;Alcadozo;PSOE;384
1995;Albacete;20060000;Alcadozo;CENSO;677
1995;Albacete;20060000;Alcadozo;OTROS;0
1995;Albacete;20060000;Alcadozo;PP;205
1995;Albacete;20070000;Alcalá del Júcar;IU;41
1995;Albacete;20070000;Alcalá del Júcar;ABSTEN;129
1995;Albacete;20070000;Alcalá del Júcar;OTROS;5
1995;Albacete;20070000;Alcalá del Júcar;PP;481
1995;Albacete;20070000;Alcalá del Júcar;CENSO;1374
1995;Albacete;20070000;Alcalá del Júcar;PSOE;710
1995;Albacete;20080000;Alcaraz;ABSTEN;289
1995;Albacete;20080000;Alcaraz;CENSO;1515
1995;Albacete;20080000;Alcaraz;IU;112
1995;Albacete;20080000;Alcaraz;PP;449
1995;Albacete;20080000;Alcaraz;OTROS;7
1995;Albacete;20080000;Alcaraz;PSOE;638
1995;Albacete;20090000;Almansa;CENSO;17706
1995;Albacete;20090000;Almansa;ABSTEN;4594
1995;Albacete;20090000;Almansa;PSOE;5932
1995;Albacete;20090000;Almansa;OTROS;246
1995;Albacete;20090000;Almansa;PP;4712
1995;Albacete;20090000;Almansa;IU;1900
1995;Albacete;20100000;Alpera;IU;265
1995;Albacete;20100000;Alpera;PP;683
1995;Albacete;20100000;Alpera;CENSO;1852
1995;Albacete;20100000;Alpera;PSOE;713
1995;Albacete;20100000;Alpera;OTROS;6
1995;Albacete;20100000;Alpera;ABSTEN;174
1995;Albacete;20110000;Ayna;PP;401
1995;Albacete;20110000;Ayna;IU;19
1995;Albacete;20110000;Ayna;PSOE;384
1995;Albacete;20110000;Ayna;CENSO;913
1995;Albacete;20110000;Ayna;ABSTEN;97
1995;Albacete;20110000;Ayna;OTROS;5
1995;Albacete;20120000;Balazote;PP;493
1995;Albacete;20120000;Balazote;CENSO;1714
1995;Albacete;20120000;Balazote;ABSTEN;119
1995;Albacete;20120000;Balazote;PSOE;800
1995;Albacete;20120000;Balazote;IU;276
1995;Albacete;20120000;Balazote;OTROS;8
1995;Albacete;20130000;Balsa de Ves;OTROS;0
1995;Albacete;20130000;Balsa de Ves;PSOE;81
1995;Albacete;20130000;Balsa de Ves;PP;151
1995;Albacete;20130000;Balsa de Ves;ABSTEN;25
1995;Albacete;20130000;Balsa de Ves;IU;5
1995;Albacete;20130000;Balsa de Ves;CENSO;265
1995;Albacete;20140000;Ballestero (El);IU;56
1995;Albacete;20140000;Ballestero (El);CENSO;506
1995;Albacete;20140000;Ballestero (El);ABSTEN;54
1995;Albacete;20140000;Ballestero (El);OTROS;2
1995;Albacete;20140000;Ballestero (El);PP;156
1995;Albacete;20140000;Ballestero (El);PSOE;232
1995;Albacete;20150000;Barrax;PSOE;582
1995;Albacete;20150000;Barrax;ABSTEN;220
1995;Albacete;20150000;Barrax;PP;575
1995;Albacete;20150000;Barrax;IU;147
1995;Albacete;20150000;Barrax;OTROS;15
1995;Albacete;20150000;Barrax;CENSO;1558
1995;Albacete;20160000;Bienservida;PSOE;338
1995;Albacete;20160000;Bienservida;PP;273
1995;Albacete;20160000;Bienservida;IU;11
1995;Albacete;20160000;Bienservida;ABSTEN;152
1995;Albacete;20160000;Bienservida;OTROS;1
1995;Albacete;20160000;Bienservida;CENSO;775
1995;Albacete;20170000;Bogarra;IU;190
1995;Albacete;20170000;Bogarra;OTROS;3
1995;Albacete;20170000;Bogarra;ABSTEN;181
1995;Albacete;20170000;Bogarra;PSOE;538
1995;Albacete;20170000;Bogarra;CENSO;1282
1995;Albacete;20170000;Bogarra;PP;363
1995;Albacete;20180000;Bonete;IU;54
1995;Albacete;20180000;Bonete;PP;434
1995;Albacete;20180000;Bonete;PSOE;414
1995;Albacete;20180000;Bonete;OTROS;5
1995;Albacete;20180000;Bonete;ABSTEN;53
1995;Albacete;20180000;Bonete;CENSO;969
1995;Albacete;20190000;Bonillo (El);PSOE;1267
1995;Albacete;20190000;Bonillo (El);OTROS;26
1995;Albacete;20190000;Bonillo (El);PP;677
1995;Albacete;20190000;Bonillo (El);IU;216
1995;Albacete;20190000;Bonillo (El);ABSTEN;425
1995;Albacete;20190000;Bonillo (El);CENSO;2652
1995;Albacete;20200000;Carcelén;PP;225
1995;Albacete;20200000;Carcelén;CENSO;644
1995;Albacete;20200000;Carcelén;IU;32
1995;Albacete;20200000;Carcelén;PSOE;321
1995;Albacete;20200000;Carcelén;OTROS;1
1995;Albacete;20200000;Carcelén;ABSTEN;60
1995;Albacete;20210000;Casas-Ibáñez;PSOE;495
1995;Albacete;20210000;Casas-Ibáñez;OTROS;3
1995;Albacete;20210000;Casas-Ibáñez;IU;43
1995;Albacete;20210000;Casas-Ibáñez;CENSO;1110
1995;Albacete;20210000;Casas-Ibáñez;PP;505
1995;Albacete;20210000;Casas-Ibáñez;ABSTEN;55
1995;Albacete;20220000;Casas de Juan Núñez;PP;257
1995;Albacete;20220000;Casas de Juan Núñez;IU;32
1995;Albacete;20220000;Casas de Juan Núñez;OTROS;4
1995;Albacete;20220000;Casas de Juan Núñez;PSOE;106
1995;Albacete;20220000;Casas de Juan Núñez;ABSTEN;43
1995;Albacete;20220000;Casas de Juan Núñez;CENSO;446
1995;Albacete;20230000;Casas de Lázaro;IU;21
1995;Albacete;20230000;Casas de Lázaro;OTROS;1
1995;Albacete;20230000;Casas de Lázaro;ABSTEN;94
1995;Albacete;20230000;Casas de Lázaro;PP;350
1995;Albacete;20230000;Casas de Lázaro;CENSO;813
1995;Albacete;20230000;Casas de Lázaro;PSOE;343
1995;Albacete;20240000;Casas de Ves;PP;1015
1995;Albacete;20240000;Casas de Ves;IU;191
1995;Albacete;20240000;Casas de Ves;OTROS;8
1995;Albacete;20240000;Casas de Ves;PSOE;1335
1995;Albacete;20240000;Casas de Ves;ABSTEN;541
1995;Albacete;20240000;Casas de Ves;CENSO;3136
1995;Albacete;20250000;Caudete;CENSO;6577
1995;Albacete;20250000;Caudete;ABSTEN;1133
1995;Albacete;20250000;Caudete;PSOE;2413
1995;Albacete;20250000;Caudete;PP;2518
1995;Albacete;20250000;Caudete;IU;325
1995;Albacete;20250000;Caudete;OTROS;66
1995;Albacete;20260000;Cenizate;ABSTEN;87
1995;Albacete;20260000;Cenizate;PP;263
1995;Albacete;20260000;Cenizate;OTROS;1
1995;Albacete;20260000;Cenizate;IU;122
1995;Albacete;20260000;Cenizate;CENSO;878
1995;Albacete;20260000;Cenizate;PSOE;396
1995;Albacete;20270000;Corral-Rubio;OTROS;1
1995;Albacete;20270000;Corral-Rubio;ABSTEN;23
1995;Albacete;20270000;Corral-Rubio;IU;14
1995;Albacete;20270000;Corral-Rubio;PP;217
1995;Albacete;20270000;Corral-Rubio;CENSO;411
1995;Albacete;20270000;Corral-Rubio;PSOE;153
1995;Albacete;20280000;Cotillas;PSOE;113
1995;Albacete;20280000;Cotillas;ABSTEN;54
1995;Albacete;20280000;Cotillas;CENSO;223
1995;Albacete;20280000;Cotillas;IU;1
1995;Albacete;20280000;Cotillas;PP;53
1995;Albacete;20280000;Cotillas;OTROS;1
1995;Albacete;20290000;Chinchilla de Monte-Aragón;ABSTEN;465
1995;Albacete;20290000;Chinchilla de Monte-Aragón;CENSO;2562
1995;Albacete;20290000;Chinchilla de Monte-Aragón;IU;163
1995;Albacete;20290000;Chinchilla de Monte-Aragón;PP;795
1995;Albacete;20290000;Chinchilla de Monte-Aragón;OTROS;12
1995;Albacete;20290000;Chinchilla de Monte-Aragón;PSOE;1085
1995;Albacete;20300000;Elche de la Sierra;IU;157
1995;Albacete;20300000;Elche de la Sierra;CENSO;3164
1995;Albacete;20300000;Elche de la Sierra;PSOE;1527
1995;Albacete;20300000;Elche de la Sierra;ABSTEN;601
1995;Albacete;20300000;Elche de la Sierra;PP;839
1995;Albacete;20300000;Elche de la Sierra;OTROS;9
1995;Albacete;20310000;Férez;CENSO;727
1995;Albacete;20310000;Férez;ABSTEN;62
1995;Albacete;20310000;Férez;OTROS;8
1995;Albacete;20310000;Férez;PP;241
1995;Albacete;20310000;Férez;IU;62
1995;Albacete;20310000;Férez;PSOE;353
1995;Albacete;20320000;Fuensanta;PSOE;168
1995;Albacete;20320000;Fuensanta;ABSTEN;39
1995;Albacete;20320000;Fuensanta;CENSO;351
1995;Albacete;20320000;Fuensanta;OTROS;1
1995;Albacete;20320000;Fuensanta;PP;102
1995;Albacete;20320000;Fuensanta;IU;36
1995;Albacete;20330000;Fuente-Álamo;CENSO;1958
1995;Albacete;20330000;Fuente-Álamo;PP;785
1995;Albacete;20330000;Fuente-Álamo;IU;48
