Año;Provincia;Código INE;Municipio;Partido;Votos
2015;Albacete;20010000;Abengibre;OTROS;3
2015;Albacete;20010000;Abengibre;CENSO;660
2015;Albacete;20010000;Abengibre;PP;270
2015;Albacete;20010000;Abengibre;C's;8
2015;Albacete;20010000;Abengibre;IU;8
2015;Albacete;20010000;Abengibre;PSOE;250
2015;Albacete;20010000;Abengibre;ABSTEN;72
2015;Albacete;20010000;Abengibre;Podemos;24
2015;Albacete;20020000;Alatoz;ABSTEN;56
2015;Albacete;20020000;Alatoz;PP;209
2015;Albacete;20020000;Alatoz;OTROS;4
2015;Albacete;20020000;Alatoz;C's;14
2015;Albacete;20020000;Alatoz;CENSO;503
2015;Albacete;20020000;Alatoz;PSOE;184
2015;Albacete;20020000;Alatoz;IU;2
2015;Albacete;20020000;Alatoz;Podemos;23
2015;Albacete;20030000;Albacete;IU;3043
2015;Albacete;20030000;Albacete;PP;28904
2015;Albacete;20030000;Albacete;ABSTEN;43002
2015;Albacete;20030000;Albacete;C's;12948
2015;Albacete;20030000;Albacete;OTROS;3983
2015;Albacete;20030000;Albacete;PSOE;23821
2015;Albacete;20030000;Albacete;CENSO;131814
2015;Albacete;20030000;Albacete;Podemos;13462
2015;Albacete;20040000;Albatana;PP;232
2015;Albacete;20040000;Albatana;IU;7
2015;Albacete;20040000;Albatana;C's;17
2015;Albacete;20040000;Albatana;ABSTEN;65
2015;Albacete;20040000;Albatana;PSOE;265
2015;Albacete;20040000;Albatana;OTROS;7
2015;Albacete;20040000;Albatana;Podemos;22
2015;Albacete;20040000;Albatana;CENSO;637
2015;Albacete;20050000;Alborea;OTROS;3
2015;Albacete;20050000;Alborea;PP;235
2015;Albacete;20050000;Alborea;CENSO;578
2015;Albacete;20050000;Alborea;C's;34
2015;Albacete;20050000;Alborea;IU;28
2015;Albacete;20050000;Alborea;PSOE;159
2015;Albacete;20050000;Alborea;ABSTEN;80
2015;Albacete;20050000;Alborea;Podemos;25
2015;Albacete;20060000;Alcadozo;ABSTEN;56
2015;Albacete;20060000;Alcadozo;PP;249
2015;Albacete;20060000;Alcadozo;OTROS;4
2015;Albacete;20060000;Alcadozo;CENSO;594
2015;Albacete;20060000;Alcadozo;C's;18
2015;Albacete;20060000;Alcadozo;PSOE;218
2015;Albacete;20060000;Alcadozo;IU;4
2015;Albacete;20060000;Alcadozo;Podemos;19
2015;Albacete;20070000;Alcalá del Júcar;IU;10
2015;Albacete;20070000;Alcalá del Júcar;PP;235
2015;Albacete;20070000;Alcalá del Júcar;ABSTEN;196
2015;Albacete;20070000;Alcalá del Júcar;C's;15
2015;Albacete;20070000;Alcalá del Júcar;OTROS;6
2015;Albacete;20070000;Alcalá del Júcar;CENSO;1063
2015;Albacete;20070000;Alcalá del Júcar;PSOE;500
2015;Albacete;20070000;Alcalá del Júcar;Podemos;71
2015;Albacete;20080000;Alcaraz;PP;372
2015;Albacete;20080000;Alcaraz;IU;103
2015;Albacete;20080000;Alcaraz;C's;36
2015;Albacete;20080000;Alcaraz;ABSTEN;279
2015;Albacete;20080000;Alcaraz;PSOE;389
2015;Albacete;20080000;Alcaraz;OTROS;13
2015;Albacete;20080000;Alcaraz;CENSO;1266
2015;Albacete;20080000;Alcaraz;Podemos;42
2015;Albacete;20090000;Almansa;OTROS;358
2015;Albacete;20090000;Almansa;CENSO;19633
2015;Albacete;20090000;Almansa;PP;5688
2015;Albacete;20090000;Almansa;C's;949
2015;Albacete;20090000;Almansa;IU;419
2015;Albacete;20090000;Almansa;PSOE;4412
2015;Albacete;20090000;Almansa;ABSTEN;5643
2015;Albacete;20090000;Almansa;Podemos;1628
2015;Albacete;20100000;Alpera;ABSTEN;275
2015;Albacete;20100000;Alpera;PP;699
2015;Albacete;20100000;Alpera;OTROS;14
2015;Albacete;20100000;Alpera;CENSO;1811
2015;Albacete;20100000;Alpera;C's;58
2015;Albacete;20100000;Alpera;PSOE;605
2015;Albacete;20100000;Alpera;IU;29
2015;Albacete;20100000;Alpera;Podemos;69
2015;Albacete;20110000;Ayna;IU;1
2015;Albacete;20110000;Ayna;PP;255
