Código de mesa;Provincia;"Código 
municipio";Municipio;Distrito;Sección;Mesa;Censo;Primer Avance;Segundo Avance;Total Votantes;Votos Nulos;Votos Blanco;Partido;Nº Votos
05-001-1-0001-A;AVILA;001;ADANERO;1;0001;A;302;116;176;200;5;4;PP;112
05-001-1-0001-A;AVILA;001;ADANERO;1;0001;A;302;116;176;200;5;4;CDS;42
05-001-1-0001-A;AVILA;001;ADANERO;1;0001;A;302;116;176;200;5;4;PSOE;30
05-001-1-0001-A;AVILA;001;ADANERO;1;0001;A;302;116;176;200;5;4;IU;5
05-001-1-0001-A;AVILA;001;ADANERO;1;0001;A;302;116;176;200;5;4;FE-JONS;1
05-001-1-0001-A;AVILA;001;ADANERO;1;0001;A;302;116;176;200;5;4;LV;1
05-002-1-0001-A;AVILA;002;LA ADRADA;1;0001;A;685;324;437;534;7;5;PP;281
05-002-1-0001-A;AVILA;002;LA ADRADA;1;0001;A;685;324;437;534;7;5;PSOE;151
05-002-1-0001-A;AVILA;002;LA ADRADA;1;0001;A;685;324;437;534;7;5;CDS;60
05-002-1-0001-A;AVILA;002;LA ADRADA;1;0001;A;685;324;437;534;7;5;IU;26
05-002-1-0001-A;AVILA;002;LA ADRADA;1;0001;A;685;324;437;534;7;5;LV;3
05-002-1-0001-A;AVILA;002;LA ADRADA;1;0001;A;685;324;437;534;7;5;FE-JONS;1
05-002-1-0001-B;AVILA;002;LA ADRADA;1;0001;B;724;340;482;572;0;6;PP;235
05-002-1-0001-B;AVILA;002;LA ADRADA;1;0001;B;724;340;482;572;0;6;PSOE;228
05-002-1-0001-B;AVILA;002;LA ADRADA;1;0001;B;724;340;482;572;0;6;CDS;66
05-002-1-0001-B;AVILA;002;LA ADRADA;1;0001;B;724;340;482;572;0;6;IU;34
05-002-1-0001-B;AVILA;002;LA ADRADA;1;0001;B;724;340;482;572;0;6;LV;3
05-002-1-0001-B;AVILA;002;LA ADRADA;1;0001;B;724;340;482;572;0;6;FE-JONS;0
05-005-1-0001-A;AVILA;005;ALBORNOS;1;0001;A;259;127;202;222;1;1;PP;115
05-005-1-0001-A;AVILA;005;ALBORNOS;1;0001;A;259;127;202;222;1;1;PSOE;61
05-005-1-0001-A;AVILA;005;ALBORNOS;1;0001;A;259;127;202;222;1;1;CDS;39
05-005-1-0001-A;AVILA;005;ALBORNOS;1;0001;A;259;127;202;222;1;1;IU;5
05-005-1-0001-A;AVILA;005;ALBORNOS;1;0001;A;259;127;202;222;1;1;LV;0
05-005-1-0001-A;AVILA;005;ALBORNOS;1;0001;A;259;127;202;222;1;1;FE-JONS;0
05-007-1-0001-A;AVILA;007;ALDEANUEVA DE SANTA CRUZ;1;0001;A;202;110;125;145;13;1;PP;72
05-007-1-0001-A;AVILA;007;ALDEANUEVA DE SANTA CRUZ;1;0001;A;202;110;125;145;13;1;CDS;57
05-007-1-0001-A;AVILA;007;ALDEANUEVA DE SANTA CRUZ;1;0001;A;202;110;125;145;13;1;PSOE;2
