_id,CODIGO,MUNICIPIO,CENSO,ABSTENCION,VOTOS,NULOS,VALIDOS,BLANCOS,A_CANDID,UCD,PSOE,UPN,HB,NV,P_CARL,UNAI,AETE,PCE-EPK,ORHI-MENDI,AEPM,IFN,ANIZ,ANAI,PTE
1,000,Total Navarra,365080,106761,258319,3399,254920,1043,253877,68040,48289,40764,28244,12845,12165,7419,6407,6231,5954,4921,3729,3725,3165,1979
2,001,Abáigar,92,19,73,0,73,0,73,26,6,13,0,0,11,1,14,2,0,0,0,0,0,0
3,002,Abárzuza,433,79,354,7,347,1,346,171,18,28,0,0,19,2,100,8,0,0,0,0,0,0
4,003,Abaurregaina/Abaurrea Alta,186,68,118,0,118,0,118,29,21,2,0,0,2,1,0,0,22,0,41,0,0,0
5,004,Abaurrepea/Abaurrea Baja,56,10,46,0,46,1,45,25,2,2,0,0,0,0,0,1,11,0,4,0,0,0
6,005,Aberin,295,35,260,7,253,6,247,86,21,46,0,0,18,5,69,2,0,0,0,0,0,0
7,006,Ablitas,1715,306,1409,22,1387,10,1377,586,158,160,0,0,41,417,0,2,0,0,0,0,13,0
8,007,Adiós,117,39,78,1,77,0,77,29,12,22,5,2,4,2,0,1,0,0,0,0,0,0
9,008,Aguilar de Codés,182,30,152,0,152,3,149,114,10,16,0,0,2,3,2,2,0,0,0,0,0,0
10,009,Aibar <> Oibar,817,184,633,11,622,4,618,68,92,166,0,0,16,3,0,5,213,0,52,0,3,0
11,010,Altsasu/Alsasua,5323,1748,3575,52,3523,42,3481,637,1167,200,690,426,63,83,0,201,0,0,0,0,14,0
12,011,Allín,782,242,540,9,531,3,528,258,52,73,0,0,58,3,79,5,0,0,0,0,0,0
13,012,Allo,1079,298,781,10,771,24,747,171,105,139,0,0,57,16,243,16,0,0,0,0,0,0
14,013,Améscoa Baja,937,324,613,18,595,7,588,308,51,69,0,0,30,8,121,1,0,0,0,0,0,0
15,014,Ancín,238,31,207,3,204,2,202,105,10,42,0,0,7,1,28,9,0,0,0,0,0,0
16,015,Andosilla,1876,466,1410,24,1386,6,1380,165,262,430,0,0,52,228,216,27,0,0,0,0,0,0
17,016,Ansoáin,6149,2313,3836,124,3712,16,3696,538,1290,144,862,185,117,280,0,248,0,0,0,0,32,0
18,017,Anue,408,215,193,5,188,0,188,66,2,30,30,46,13,0,0,0,0,0,0,0,1,0
19,018,Añorbe,398,100,298,17,281,4,277,79,30,65,60,9,28,1,0,2,0,0,0,0,3,0
20,019,Aoiz <> Agoitz,1361,351,1010,18,992,3,989,318,124,35,0,0,19,89,0,1,328,0,73,0,2,0
21,020,Araitz,672,232,440,3,437,0,437,60,2,197,117,37,4,16,0,0,0,0,0,0,4,0
22,021,Aranarache,98,25,73,0,73,1,72,44,5,4,0,0,1,0,18,0,0,0,0,0,0,0
