ELECCIONES AL PARLAMENTO DE NAVARRA POR MESAS 1999;;;;;;;;;;;;;;;;;;;

CÓDIGO;MUNICIPIO;DISTRITO;SECCIÓN;MESA;CENSO_ELECTORAL;ABSTENCIONES;V.EMITIDOS;NULOS;V.VÁLIDOS;BLANCOS;A_CAND.;UPN;PSN-PSOE;CDN;IU-EB;EH;EA-EAJ_PNV;EKA;IN
1;ABAIGAR;1;1;U;77;19;58;0;58;2;56;31;7;4;5;6;2;1;0
2;ABARZUZA;1;1;U;452;227;225;1;224;0;224;115;16;34;9;38;11;0;1
3;ABAURREGAINA / ABAURREA ALTA;1;1;U;155;43;112;5;107;4;103;39;14;4;3;39;3;0;1
4;ABAURREPEA / ABAURREA BAJA;1;1;U;44;14;30;0;30;1;29;12;3;6;2;3;1;0;2
5;ABERIN;1;1;U;305;140;165;2;163;2;161;93;33;0;11;23;1;0;0
6;ABLITAS;1;1;U;505;122;383;2;381;5;376;144;196;9;25;2;0;0;0
6;ABLITAS;2;1;A;737;150;587;4;583;6;577;290;203;12;47;13;3;4;5
6;ABLITAS;2;1;B;702;124;578;3;575;18;557;247;234;23;38;7;7;0;1
7;ADIOS;1;1;U;114;27;87;2;85;0;85;54;6;3;9;12;0;1;0
8;AGUILAR DE CODES;1;1;U;99;43;56;0;56;0;56;41;8;2;2;2;0;0;1
9;AIBAR / OIBAR;1;1;A;406;130;276;0;276;8;268;107;64;16;25;46;7;0;3
9;AIBAR / OIBAR;1;1;B;381;108;273;2;271;3;268;102;69;17;20;53;6;1;0
10;ALTSASU / ALSASUA;1;1;A;709;230;479;1;478;12;466;110;57;31;34;151;78;1;4
10;ALTSASU / ALSASUA;1;1;B;711;249;462;4;458;5;453;95;65;33;34;133;86;4;3
10;ALTSASU / ALSASUA;1;2;A;475;178;297;3;294;9;285;73;52;14;30;72;43;0;1
10;ALTSASU / ALSASUA;1;2;B;515;198;317;11;306;8;298;64;54;12;30;101;36;0;1
10;ALTSASU / ALSASUA;2;1;A;521;180;341;5;336;9;327;73;48;16;32;105;51;0;2
10;ALTSASU / ALSASUA;2;1;B;526;154;372;9;363;9;354;67;77;19;44;95;51;0;1
10;ALTSASU / ALSASUA;2;2;A;523;185;338;9;329;1;328;63;100;15;41;72;33;0;4
10;ALTSASU / ALSASUA;2;2;B;531;201;330;9;321;6;315;57;82;11;57;83;23;0;2
10;ALTSASU / ALSASUA;2;2;C;517;197;320;8;312;7;305;48;101;13;44;77;18;1;3
10;ALTSASU / ALSASUA;2;3;U;779;336;443;10;433;4;429;117;94;21;47;95;53;0;2
11;ALLIN;1;1;A;371;151;220;0;220;6;214;125;33;9;14;19;12;1;1
11;ALLIN;1;1;B;368;129;239;1;238;6;232;142;13;19;15;28;6;0;9
12;ALLO;1;1;A;458;118;340;7;333;6;327;178;63;11;48;20;5;0;2
12;ALLO;1;1;B;478;109;369;3;366;7;359;174;86;14;54;25;5;0;1
13;AMESCOA BAJA;1;1;A;361;171;190;4;186;6;180;118;19;8;10;25;0;0;0
13;AMESCOA BAJA;1;1;B;365;186;179;3;176;4;172;104;21;5;7;25;8;1;1
14;ANCIN;1;1;U;261;103;158;0;158;3;155;97;19;8;10;10;10;0;1
15;ANDOSILLA;1;1;A;423;117;306;1;305;6;299;130;54;43;17;23;5;2;25
15;ANDOSILLA;1;1;B;494;154;340;6;334;5;329;123;82;40;6;30;4;5;39
15;ANDOSILLA;2;1;A;578;185;393;5;388;9;379;164;85;35;14;25;2;2;52
15;ANDOSILLA;2;1;B;597;133;464;1;463;18;445;161;132;24;21;35;7;1;64
16;ANSOAIN;1;1;A;756;325;431;1;430;8;422;60;123;32;53;143;7;2;2
16;ANSOAIN;1;1;B;823;367;456;2;454;10;444;79;149;25;53;127;6;1;4
16;ANSOAIN;1;2;A;770;314;456;6;450;11;439;84;112;26;60;135;18;2;2
16;ANSOAIN;1;2;B;893;369;524;2;522;15;507;102;130;40;81;141;10;0;3
16;ANSOAIN;1;3;A;1.135;484;651;7;644;20;624;128;175;42;97;160;17;2;3
16;ANSOAIN;1;3;B;1.124;466;658;8;650;23;627;122;203;35;64;179;19;1;4
17;ANUE;1;1;U;374;145;229;0;229;6;223;88;18;31;11;57;17;0;1
