Codcir;Codmun;Municipio;Mesa;Censo;Certif. Alta;Certif. Correc.;Censo Total;Votos Electores;Votos Interventores;Votos Totales;Votos Nulos;Votos Blancos;NA+;EH Bildu;I-E (n);PSN-PSOE;GBAI;SAIN;VOX;EQUO;RCN-NOK;Ln;PODEMOS
31;1;Abáigar;1-001 -U;80;0;0;80;59;0;59;0;0;18;10;0;4;19;0;0;0;1;0;7
31;2;Abárzuza / Abartzuza;1-001 -U;431;0;0;431;290;0;290;1;3;99;45;4;37;71;1;3;0;2;0;24
31;3;Abaurregaina / Abaurrea Alta;1-001 -U;117;0;0;117;94;0;94;0;1;21;33;1;12;21;2;0;0;0;0;3
31;4;Abaurrepea / Abaurrea Baja;1-001 -U;32;0;0;32;29;0;29;0;0;13;6;0;5;4;0;0;0;0;0;1
31;5;Aberin;1-001 -U;281;0;0;281;177;0;177;2;2;75;23;3;36;22;0;1;0;2;1;10
31;6;Ablitas;1-001 -A;445;0;0;445;326;0;326;5;4;134;9;10;133;20;0;5;0;0;0;6
31;6;Ablitas;1-001 -B;451;0;0;451;341;0;341;3;0;143;8;10;143;10;0;10;2;1;0;11
31;6;Ablitas;2-001 -A;495;0;0;495;412;0;412;7;6;204;3;8;128;26;0;6;4;1;0;19
31;6;Ablitas;2-001 -B;481;0;0;481;399;0;399;1;5;198;7;8;143;17;0;5;0;1;2;12
31;7;Adiós;1-001 -U;126;0;0;126;96;0;96;4;3;42;11;2;14;15;0;0;0;1;0;4
31;8;Aguilar de Codés;1-001 -U;64;0;0;64;52;0;52;0;0;26;2;1;10;7;0;0;0;0;0;6
31;9;Aibar / Oibar;1-001 -U;669;0;0;669;501;0;501;3;0;142;88;16;109;112;1;0;3;3;0;24
31;11;Allín / Allin;1-001 -A;207;0;0;207;165;0;165;0;1;54;25;5;29;28;0;0;0;3;0;20
31;11;Allín / Allin;1-001 -B;245;0;0;245;181;0;181;1;0;84;30;1;19;34;0;3;1;3;1;4
31;11;Allín / Allin;1-001 -C;252;0;0;252;182;0;182;0;0;66;43;10;18;25;0;3;1;0;0;16
31;12;Allo;1-001 -U;765;0;0;765;558;0;558;4;15;177;45;19;188;76;0;4;3;3;1;23
31;10;Altsasu / Alsasua;1-001 -A;753;0;0;753;550;0;550;5;3;64;183;11;42;203;0;3;3;0;0;33
31;10;Altsasu / Alsasua;1-001 -B;728;0;0;728;517;0;517;3;1;61;159;12;35;226;0;2;0;1;0;17
31;10;Altsasu / Alsasua;1-002 -A;522;0;0;522;372;0;372;1;1;48;96;12;34;162;0;1;0;0;0;17
31;10;Altsasu / Alsasua;1-002 -B;609;0;0;609;434;0;434;2;7;44;103;7;50;191;0;2;1;1;0;26
31;10;Altsasu / Alsasua;2-001 -A;466;0;0;466;314;0;314;4;6;35;92;8;33;121;0;1;1;0;0;13
31;10;Altsasu / Alsasua;2-001 -B;465;0;0;465;310;0;310;4;4;37;68;6;32;142;0;2;0;0;0;15
31;10;Altsasu / Alsasua;2-002 -A;636;0;0;636;426;0;426;3;3;53;70;8;59;193;0;3;0;3;0;31
31;10;Altsasu / Alsasua;2-002 -B;641;0;0;641;423;0;423;2;3;46;61;14;76;187;0;1;3;1;0;29
31;10;Altsasu / Alsasua;2-003 -A;471;0;0;471;324;0;324;5;1;35;74;5;35;138;0;3;2;1;0;25
31;10;Altsasu / Alsasua;2-003 -B;428;0;0;428;295;0;295;2;2;62;60;7;40;98;0;1;1;2;0;20
31;13;Améscoa Baja;1-001 -A;344;0;0;344;246;0;246;1;3;65;64;9;28;57;0;0;0;2;0;17
31;13;Améscoa Baja;1-001 -B;279;0;0;279;180;0;180;0;7;50;29;3;35;46;1;0;1;1;0;7
31;14;Ancín / Antzin;1-001 -U;264;0;0;264;181;0;181;1;0;70;53;0;19;24;0;0;1;1;0;12
31;15;Andosilla;1-001 -A;320;0;0;320;234;0;234;3;0;120;24;4;56;14;0;2;0;1;1;9
31;15;Andosilla;1-001 -B;361;0;0;361;258;0;258;2;4;140;22;4;59;20;0;2;0;1;1;3
31;15;Andosilla;2-001 -A;313;0;0;313;228;0;228;0;4;114;17;4;59;19;0;2;0;1;0;8
31;15;Andosilla;2-001 -B;485;0;0;485;367;0;367;2;3;141;23;9;130;42;0;4;1;0;2;10
31;15;Andosilla;2-001 -C;513;0;0;513;400;0;400;4;5;158;31;7;136;40;0;1;0;0;0;18
31;16;Ansoáin / Antsoain;1-001 -A;573;0;0;573;375;0;375;2;0;56;80;14;124;81;0;2;3;0;0;13
31;16;Ansoáin / Antsoain;1-001 -B;593;0;0;593;399;0;399;3;2;60;72;15;129;80;2;4;1;1;1;29
31;16;Ansoáin / Antsoain;1-002 -A;467;0;0;467;359;0;359;5;4;58;87;22;90;62;0;3;1;1;2;24
31;16;Ansoáin / Antsoain;1-002 -B;587;0;0;587;441;0;441;2;1;86;68;19;148;75;1;1;2;2;0;36
31;16;Ansoáin / Antsoain;1-002 -C;505;0;0;505;380;0;380;1;2;56;87;25;103;67;0;2;1;1;2;33
31;16;Ansoáin / Antsoain;1-003 -A;713;0;0;713;516;0;516;8;4;95;109;23;116;111;1;4;3;1;4;37
31;16;Ansoáin / Antsoain;1-003 -B;740;0;0;740;541;0;541;3;2;112;122;19;115;122;0;6;3;1;1;35
31;16;Ansoáin / Antsoain;1-004 -A;603;0;0;603;409;0;409;1;0;54;96;19;126;83;1;1;2;2;0;24
31;16;Ansoáin / Antsoain;1-004 -B;573;0;0;573;386;0;386;1;0;49;67;16;146;68;1;3;2;0;0;33
31;16;Ansoáin / Antsoain;1-005 -A;524;0;0;524;382;0;382;3;0;49;108;17;95;73;0;2;0;1;2;32
31;16;Ansoáin / Antsoain;1-005 -B;544;0;0;544;402;0;402;4;3;68;79;20;105;69;1;1;0;3;0;49
31;16;Ansoáin / Antsoain;1-006 -A;642;0;0;642;485;0;485;5;1;116;103;16;118;90;0;4;3;0;0;29
31;16;Ansoáin / Antsoain;1-006 -B;700;0;0;700;521;0;521;2;4;119;118;22;116;95;0;2;2;4;0;37
31;17;Anue;1-001 -U;367;0;0;367;281;0;281;0;5;78;75;1;24;86;1;4;0;0;1;6
31;18;Añorbe;1-001 -U;419;0;0;419;276;0;276;1;3;95;29;5;68;48;0;1;0;1;0;25
31;19;Aoiz / Agoitz;1-001 -U;729;0;0;729;525;0;525;8;7;124;181;10;48;116;0;6;0;1;1;23
