Codcir,Codmun,Municipio,Censo,Certif_alta,Censo total,Votos_totales,Votos_nulos,Votos_blancos,Abstención,Votos_Válidos,Votos Candidaturas,Geroa Bai,UPN,PSN,EH Bildu,UPyD,I-E,PP,Podemos,Ciudadanos,LN,Equo,PACMA,SAIn,RCN-NOK
31,1,Abáigar,91,0,91,65,1,0,26,64,64,11,13,6,18,0,0,2,13,0,0,0,1,0,0
31,2,Abárzuza - Abartzuza,423,0,423,265,1,10,158,264,254,51,84,10,37,0,2,17,43,5,0,1,2,0,2
31,3,Abaurregaina - Abaurrea Alta,124,0,124,92,1,0,32,91,91,12,12,8,39,0,4,1,14,0,0,1,0,0,0
31,4,Abaurrepea - Abaurrea Baja,36,0,36,25,1,1,11,24,23,9,10,0,3,0,0,0,1,0,0,0,0,0,0
31,5,Aberin,304,0,304,189,2,10,115,187,177,15,53,17,31,1,9,9,28,9,0,0,4,0,1
31,6,Ablitas,1954,0,1954,1449,54,36,505,1395,1359,62,513,425,42,9,43,42,179,30,2,2,3,4,3
31,7,Adiós,136,0,136,94,7,0,42,87,87,11,32,6,13,2,5,4,9,3,0,0,1,0,1
31,8,Aguilar de Codés,82,0,82,56,0,1,26,56,55,7,17,6,3,1,3,10,6,0,0,0,0,1,1
31,9,Aibar - Oibar,700,0,700,568,7,23,132,561,538,92,145,79,99,0,22,12,72,10,0,2,1,0,4
31,11,Allín - Allin,689,0,689,486,6,10,203,480,470,73,140,19,64,5,12,30,97,12,0,8,1,3,6
31,12,Allo,816,0,816,618,10,19,198,608,589,53,135,131,55,4,25,45,113,13,0,4,5,3,3
31,10,Altsasu - Alsasua,5736,0,5736,3884,41,28,1852,3843,3815,1130,434,465,825,17,96,160,582,47,8,17,17,3,14
31,13,Améscoa Baja,664,0,664,427,4,9,237,423,414,67,99,25,96,2,8,13,81,11,2,3,3,1,3
31,14,Ancín - Antzin,280,0,280,181,0,5,99,181,176,17,42,12,47,2,6,18,23,7,1,0,0,1,0
31,15,Andosilla,1997,0,1997,1448,24,29,549,1424,1395,104,569,298,116,6,39,72,134,26,4,3,12,1,11
31,16,Ansoáin - Antsoain,7591,0,7591,5467,52,63,2124,5415,5352,1048,545,835,1061,26,330,102,1147,127,12,38,40,7,34
31,17,Anue,355,0,355,240,3,3,115,237,234,61,48,17,61,2,8,9,21,5,0,2,0,0,0
31,18,Añorbe,411,0,411,342,1,12,69,341,329,66,84,35,46,4,7,9,58,11,1,0,4,0,4
31,19,Aoiz - Agoitz,1827,0,1827,1354,16,29,473,1338,1309,230,295,64,508,3,19,28,128,12,1,8,10,0,3
31,20,Araitz,446,0,446,245,0,5,201,245,240,40,16,1,157,0,2,2,22,0,0,0,0,0,0
31,25,Arakil,770,0,770,577,2,11,193,575,564,119,125,27,154,4,12,16,80,10,1,2,7,0,7
31,21,Aranarache - Aranaratxe,66,0,66,47,0,1,19,47,46,13,9,2,16,0,0,1,5,0,0,0,0,0,0
31,23,Aranguren,6664,0,6664,5173,45,161,1491,5128,4967,893,1590,400,439,29,170,193,761,297,14,60,55,22,44
31,24,Arano,98,0,98,66,0,2,32,66,64,10,6,0,35,0,0,0,11,0,1,0,0,0,1
31,22,Arantza,530,0,530,375,7,5,155,368,363,118,16,8,197,0,4,6,14,0,0,0,0,0,0
31,26,Aras,147,0,147,113,2,0,34,111,111,13,19,32,7,5,4,19,8,4,0,0,0,0,0
31,27,Arbizu,832,0,832,595,10,10,237,585,575,158,37,5,312,2,2,8,40,7,0,0,2,0,2
31,28,Arce - Artzi,210,0,210,141,0,2,69,141,139,27,30,3,49,0,2,3,21,1,0,1,0,0,2
