Codcir,Codmun,Municipio,Censo,Certif. Alta,Censo Total,Votos Totales,Votos Nulos,Votos Blancos,Abstención,Votos Válidos,Votos Candidaturas,NA+,EH Bildu,I-E (n),PSN-PSOE,GBAI,SAIN,VOX,EQUO,RCN-NOK,Ln,PODEMOS
31,1,Abáigar,80,0,80,59,0,0,21,59,59,18,10,0,4,19,0,0,0,1,0,7
31,2,Abárzuza / Abartzuza,431,0,431,290,1,3,141,289,286,99,45,4,37,71,1,3,0,2,0,24
31,3,Abaurregaina / Abaurrea Alta,117,0,117,94,0,1,23,94,93,21,33,1,12,21,2,0,0,0,0,3
31,4,Abaurrepea / Abaurrea Baja,32,0,32,29,0,0,3,29,29,13,6,0,5,4,0,0,0,0,0,1
31,5,Aberin,281,0,281,177,2,2,104,175,173,75,23,3,36,22,0,1,0,2,1,10
31,6,Ablitas,1872,0,1872,1478,16,15,394,1462,1447,679,27,36,547,73,0,26,6,3,2,48
31,7,Adiós,126,0,126,96,4,3,30,92,89,42,11,2,14,15,0,0,0,1,0,4
31,8,Aguilar de Codés,64,0,64,52,0,0,12,52,52,26,2,1,10,7,0,0,0,0,0,6
31,9,Aibar / Oibar,669,0,669,501,3,0,168,498,498,142,88,16,109,112,1,0,3,3,0,24
31,11,Allín / Allin,704,0,704,528,1,1,176,527,526,204,98,16,66,87,0,6,2,6,1,40
31,12,Allo,765,0,765,558,4,15,207,554,539,177,45,19,188,76,0,4,3,3,1,23
31,10,Altsasu / Alsasua,5719,0,5719,3965,31,31,1754,3934,3903,485,966,90,436,1661,0,19,11,9,0,226
31,13,Améscoa Baja,623,0,623,426,1,10,197,425,415,115,93,12,63,103,1,0,1,3,0,24
31,14,Ancín / Antzin,264,0,264,181,1,0,83,180,180,70,53,0,19,24,0,0,1,1,0,12
31,15,Andosilla,1992,0,1992,1487,11,16,505,1476,1460,673,117,28,440,135,0,11,1,3,4,48
