Codcir,Codmun,Municipio,Mesa,Censo,Certif_Alta,Certif_Correc,Censo_Total,Votos_Electores,Votos_Interventores,Votos_Totales,Votos_Nulos,Votos_Blancos,PPN,GEROA_BAI,EH_BILDU,VOX,UPN,PUM_MAS_J,CIUDADANOS,CONTIGO_ZUREKIN,EGUZKILORE,PSN-PSOE,VOLUNTAD_FORAL
31,1,Abáigar,1-001-U,72,0,0,72,54,0,54,2,1,2,8,16,0,14,0,0,2,0,8,1
31,2,Abárzuza/Abartzuza,1-001-U,418,0,0,418,274,0,274,1,8,16,68,53,12,67,0,3,20,0,26,0
31,3,Abaurregaina/Abaurrea Alta,1-001-U,106,0,0,106,79,0,79,1,0,2,17,33,0,13,1,0,1,0,11,0
31,4,Abaurrepea/Abaurrea Baja,1-001-U,29,0,0,29,22,0,22,0,0,1,2,5,0,10,0,0,1,0,3,0
31,5,Aberin,1-001-U,295,0,0,295,177,0,177,1,1,7,10,25,9,64,1,0,10,1,48,0
31,6,Ablitas,1-001-A,462,0,0,462,360,0,360,8,14,14,16,11,24,125,0,1,19,2,125,1
31,6,Ablitas,1-001-B,438,0,0,438,348,0,348,11,8,11,5,16,22,123,1,2,18,1,128,2
31,6,Ablitas,2-001-A,501,0,0,501,413,0,413,10,7,13,11,17,17,181,1,1,16,0,138,1
31,6,Ablitas,2-001-B,487,0,0,487,411,0,411,12,10,13,13,6,22,186,0,0,13,1,135,0
31,7,Adiós,1-001-U,170,0,0,170,139,0,139,8,4,18,11,24,8,44,0,2,2,1,17,0
31,8,Aguilar de Codés,1-001-U,67,0,0,67,50,0,50,1,1,4,5,4,3,13,0,1,1,1,11,5
31,9,Aibar/Oibar,1-001-U,661,0,0,661,445,0,445,8,7,16,80,90,6,106,1,4,42,0,84,1
31,11,Allín/Allin,1-001-A,214,0,0,214,158,0,158,0,8,5,21,23,9,40,0,0,12,3,37,0
31,11,Allín/Allin,1-001-B,271,0,0,271,167,0,167,2,6,17,20,27,4,64,0,1,11,1,14,0
31,11,Allín/Allin,1-001-C,245,0,0,245,149,0,149,0,5,6,22,32,2,53,0,0,7,5,17,0
31,12,Allo,1-001-U,788,0,0,788,542,0,542,1,0,32,57,57,23,121,1,0,22,3,225,0
31,10,Altsasu/Alsasua,1-001-A,768,0,0,768,500,0,500,4,13,8,163,164,10,54,1,0,20,5,58,0
31,10,Altsasu/Alsasua,1-001-B,728,0,0,728,466,2,468,10,6,14,163,164,10,37,1,0,18,1,43,1
31,10,Altsasu/Alsasua,1-002-A,526,0,0,526,346,1,347,6,2,11,131,86,4,27,1,0,26,0,53,0
31,10,Altsasu/Alsasua,1-002-B,599,0,0,599,372,1,373,9,7,7,165,93,0,23,0,1,18,0,48,2
31,10,Altsasu/Alsasua,2-001-A,450,0,0,450,279,1,280,3,5,9,100,88,2,25,0,0,9,1,38,0
31,10,Altsasu/Alsasua,2-001-B,461,0,0,461,286,2,288,3,5,12,113,68,3,23,1,0,19,0,41,0
31,10,Altsasu/Alsasua,2-002-A,623,0,0,623,381,2,383,5,4,17,150,69,9,35,1,0,17,1,74,1
31,10,Altsasu/Alsasua,2-002-B,613,0,0,613,377,1,378,5,7,13,127,66,8,34,1,0,21,0,95,1
31,10,Altsasu/Alsasua,2-003-A,461,0,0,461,271,2,273,1,2,11,107,71,8,16,0,1,14,0,42,0
31,10,Altsasu/Alsasua,2-003-B,424,0,0,424,254,1,255,2,6,15,73,64,7,34,0,0,17,2,35,0
31,13,Améscoa Baja,1-001-A,352,0,0,352,218,0,218,4,7,15,27,63,2,50,0,0,17,10,23,0
31,13,Améscoa Baja,1-001-B,287,0,0,287,135,0,135,2,1,3,29,39,1,27,1,0,10,1,21,0
31,14,Ancín/Antzin,1-001-U,276,0,0,276,184,0,184,4,3,20,20,53,5,40,0,2,8,3,25,1
31,15,Andosilla,1-001-A,323,0,0,323,223,0,223,0,2,17,12,20,7,92,0,0,5,2,66,0
31,15,Andosilla,1-001-B,361,0,0,361,248,0,248,3,5,35,10,16,8,109,0,1,5,1,54,1
31,15,Andosilla,2-001-A,305,0,0,305,228,0,228,3,4,25,8,7,10,96,1,0,6,0,68,0
31,15,Andosilla,2-001-B,493,0,0,493,376,0,376,9,8,19,21,20,13,148,3,0,9,2,124,0
31,15,Andosilla,2-001-C,503,0,0,503,376,0,376,10,6,19,21,25,11,146,1,0,9,0,128,0
31,16,Ansoáin/Antsoain,1-001-A,574,0,0,574,344,1,345,9,1,20,42,78,9,35,4,1,31,0,113,2
