PROVINCIA,PROVINCIA_NOMBRE,Codigo Municipio,Nombre Municipio,Distrito,Seccion,Mesa,Censo,Certificados A,Certificados B,Votantes,Votos Blanco,Votos Nulo,UPN,PSN-PSOE,IUN-NEB,CDN,EKA,RCN-NOK,NA_BAI
31,Navarra,1,Abáigar,1,1,U,89,0,0,68,3,1,24,9,2,3,0,1,25
31,Navarra,2,Abárzuza,1,1,U,448,0,0,301,2,2,140,22,7,18,0,6,104
31,Navarra,3,Abaurregaina/Abaurrea Alta,1,1,U,136,0,0,102,2,10,30,21,1,5,0,0,33
31,Navarra,4,Abaurrepea/Abaurrea Baja,1,1,U,37,0,0,25,0,0,9,3,2,4,0,0,7
31,Navarra,5,Aberin,1,1,U,299,0,0,209,5,8,97,45,13,1,0,6,34
31,Navarra,6,Ablitas,1,1,A,507,0,0,376,2,6,198,114,33,4,2,3,14
31,Navarra,6,Ablitas,1,1,B,480,0,0,368,1,7,173,147,19,3,0,2,16
31,Navarra,6,Ablitas,2,1,A,482,0,0,405,9,2,220,126,12,11,0,3,22
31,Navarra,6,Ablitas,2,1,B,466,0,0,387,5,2,185,148,25,10,0,2,10
31,Navarra,7,Adiós,1,1,U,137,0,0,109,1,3,57,11,7,6,1,2,21
31,Navarra,8,Aguilar de Codés,1,1,U,101,0,0,91,0,2,57,17,0,5,0,2,8
31,Navarra,9,Aibar/Oibar,1,1,A,385,0,0,269,4,6,98,64,7,11,0,7,72
31,Navarra,9,Aibar/Oibar,1,1,B,368,0,0,250,6,14,95,58,4,14,0,3,56
31,Navarra,10,Altsasu/Alsasua,1,1,A,689,0,0,475,13,109,107,50,23,9,1,7,156
31,Navarra,10,Altsasu/Alsasua,1,1,B,694,0,0,489,9,95,106,68,24,9,0,5,173
31,Navarra,10,Altsasu/Alsasua,1,2,A,553,0,0,349,0,63,57,52,24,13,0,8,132
31,Navarra,10,Altsasu/Alsasua,1,2,B,585,0,0,366,6,55,62,64,26,4,0,10,139
31,Navarra,10,Altsasu/Alsasua,2,1,A,496,0,0,317,3,57,67,45,12,2,2,4,125
31,Navarra,10,Altsasu/Alsasua,2,1,B,481,0,0,312,5,37,75,63,14,1,0,7,110
31,Navarra,10,Altsasu/Alsasua,2,2,A,511,0,0,305,4,31,67,95,16,10,0,12,70
31,Navarra,10,Altsasu/Alsasua,2,2,B,496,0,0,308,5,48,69,97,22,3,0,7,57
31,Navarra,10,Altsasu/Alsasua,2,2,C,497,0,0,314,3,46,63,118,17,5,0,8,54
31,Navarra,10,Altsasu/Alsasua,2,3,A,424,0,0,247,0,33,63,55,9,2,0,5,80
31,Navarra,10,Altsasu/Alsasua,2,3,B,474,0,0,300,3,41,92,59,11,6,0,5,83
31,Navarra,11,Allín,1,1,A,166,0,0,121,4,1,45,30,7,5,0,2,27
31,Navarra,11,Allín,1,1,B,265,0,0,169,0,6,97,14,3,8,0,7,34
31,Navarra,11,Allín,1,1,C,223,0,0,136,3,7,69,16,6,11,1,2,21
31,Navarra,12,Allo,1,1,A,457,0,0,381,6,9,179,103,17,7,0,13,47
31,Navarra,12,Allo,1,1,B,451,0,0,384,8,3,183,98,27,7,0,13,45
31,Navarra,13,Améscoa Baja,1,1,A,386,0,0,256,2,1,94,34,16,8,0,2,99
31,Navarra,13,Améscoa Baja,1,1,B,314,0,0,162,2,4,64,20,4,9,1,3,55
31,Navarra,14,Ancín,1,1,U,262,0,0,197,3,7,106,26,6,9,0,3,37
31,Navarra,15,Andosilla,1,1,A,361,0,0,277,7,8,137,70,5,27,0,2,21
31,Navarra,15,Andosilla,1,1,B,405,0,0,304,3,3,146,78,3,23,4,9,35
31,Navarra,15,Andosilla,2,1,A,626,0,0,480,6,3,203,150,10,34,2,3,69
31,Navarra,15,Andosilla,2,1,B,652,0,0,511,9,5,212,206,6,22,1,2,48
31,Navarra,16,Ansoáin,1,1,A,640,0,0,417,1,38,74,115,32,10,1,10,136
31,Navarra,16,Ansoáin,1,1,B,650,0,0,438,4,28,89,135,36,9,0,5,132
31,Navarra,16,Ansoáin,1,2,A,497,0,0,367,3,37,70,84,33,6,0,8,126
31,Navarra,16,Ansoáin,1,2,B,622,0,0,442,3,28,94,138,30,8,1,8,132
31,Navarra,16,Ansoáin,1,2,C,568,0,1,398,2,25,73,101,38,10,0,10,139
31,Navarra,16,Ansoáin,1,3,U,980,0,0,662,14,41,160,129,48,18,0,13,239
31,Navarra,16,Ansoáin,1,4,A,659,0,0,437,3,31,72,135,33,8,2,8,145
31,Navarra,16,Ansoáin,1,4,B,636,0,0,412,3,28,64,146,25,8,0,10,128
31,Navarra,16,Ansoáin,1,5,U,654,0,0,424,5,24,61,112,33,12,0,6,171
31,Navarra,16,Ansoáin,1,6,A,700,0,0,492,6,24,107,112,34,16,0,5,188
31,Navarra,16,Ansoáin,1,6,B,699,0,0,505,8,22,116,98,32,13,0,10,206
31,Navarra,17,Anue,1,1,U,321,0,0,235,5,30,70,19,5,23,0,2,81
31,Navarra,18,Añorbe,1,1,U,407,0,0,333,7,9,130,69,16,13,2,10,77
31,Navarra,19,Aoiz/Agoitz,1,1,U,669,0,0,520,11,92,167,83,16,11,0,15,125
31,Navarra,19,Aoiz/Agoitz,2,1,A,528,0,0,404,7,95,116,59,6,5,0,3,113
31,Navarra,19,Aoiz/Agoitz,2,1,B,509,0,0,382,7,97,121,46,6,8,1,3,93
31,Navarra,20,Araitz,1,1,U,512,0,0,323,4,144,49,7,3,2,0,1,113
31,Navarra,21,Aranarache,1,1,U,74,0,0,54,1,0,23,12,2,0,0,0,16
31,Navarra,22,Arantza,1,1,U,570,0,0,493,10,143,63,21,0,15,0,2,239
