Cód;Municipio;Distr.;Secc.;Mesa;Censo;Al. Cen.;Votantes;Blanco;Nulos;UPN;BATZARRE;PSOE;CDN;EKA;EA/EAJ-PNV;IUN/NEB;PH;ARALAR
1;Abáigar;1;1;U;76;0;56;2;0;27;1;7;4;0;5;3;0;7
2;Abárzuza;1;1;U;444;0;268;3;15;127;4;23;24;0;28;19;6;19
3;Abaurregaina/Abaurrea Alta;1;1;U;148;0;131;3;19;49;3;13;6;0;11;2;2;23
4;Abaurrepea/Abaurrea Baja;1;1;U;39;0;22;1;0;9;0;2;1;1;3;2;1;2
5;Aberin;1;1;U;293;0;226;12;8;103;0;45;5;0;7;26;4;16
6;Ablitas;1;1;A;498;0;380;9;7;202;7;105;6;11;3;27;0;3
6;Ablitas;1;1;B;482;0;385;4;8;189;5;137;3;5;2;29;1;2
6;Ablitas;2;1;A;498;0;428;11;14;228;9;90;27;3;7;33;0;6
6;Ablitas;2;1;B;467;0;389;6;5;208;4;103;15;2;4;40;0;2
7;Adiós;1;1;U;134;0;108;4;13;56;1;6;4;1;5;14;0;4
8;Aguilar de Codés;1;1;U;105;0;79;4;1;50;1;6;9;0;4;2;0;2
9;Aibar/Oibar;1;1;A;404;0;276;6;6;95;3;72;18;0;19;23;0;34
9;Aibar/Oibar;1;1;B;373;0;257;5;15;100;0;60;20;1;7;21;0;28
10;Altsasu/Alsasua;1;1;A;726;0;528;5;106;126;4;59;21;1;75;34;2;95
10;Altsasu/Alsasua;1;1;B;711;0;494;8;86;101;5;65;20;0;89;38;0;82
10;Altsasu/Alsasua;1;2;A;513;0;352;7;52;77;7;58;24;0;57;34;3;33
10;Altsasu/Alsasua;1;2;B;551;0;367;2;51;69;3;78;5;0;37;42;1;79
10;Altsasu/Alsasua;2;1;A;510;0;366;5;55;82;6;52;11;1;51;26;0;77
10;Altsasu/Alsasua;2;1;B;507;0;353;5;51;79;7;64;9;0;39;41;0;58
10;Altsasu/Alsasua;2;2;A;514;0;340;4;31;85;4;86;16;1;30;44;4;35
10;Altsasu/Alsasua;2;2;B;503;0;347;6;48;86;1;90;12;0;29;37;2;36
10;Altsasu/Alsasua;2;2;C;523;0;355;0;44;71;4;112;8;0;24;51;0;41
10;Altsasu/Alsasua;2;3;U;812;0;511;3;72;158;1;98;16;0;61;48;2;52
11;Allín;1;1;A;165;0;114;5;0;46;1;22;7;0;8;18;0;7
11;Allín;1;1;B;274;0;163;4;1;91;8;20;16;0;5;12;2;4
11;Allín;1;1;C;232;0;144;4;5;82;1;13;15;0;6;10;4;4
12;Allo;1;1;A;444;0;344;13;5;145;8;97;23;0;11;32;0;10
12;Allo;1;1;B;447;0;370;9;3;167;9;90;21;0;14;42;3;12
13;Améscoa Baja;1;1;A;368;0;224;4;2;112;11;22;24;0;6;21;0;22
13;Améscoa Baja;1;1;B;342;0;163;4;8;76;1;11;12;1;6;22;0;22
14;Ancín;1;1;U;252;0;162;4;13;93;2;18;6;0;12;8;0;6
15;Andosilla;1;1;A;379;0;289;4;10;143;2;77;32;0;1;13;0;7
15;Andosilla;1;1;B;446;0;330;7;6;152;1;97;33;4;4;8;2;16
15;Andosilla;2;1;A;607;0;461;13;8;196;4;161;31;3;18;18;0;9
15;Andosilla;2;1;B;628;0;491;14;5;202;2;205;22;1;11;14;1;14
16;Ansoáin;1;1;A;660;0;408;13;57;56;32;100;20;1;20;60;1;48
16;Ansoáin;1;1;B;774;0;480;12;57;83;43;109;29;1;27;60;3;56
16;Ansoáin;1;1;C;623;0;392;6;23;55;41;103;35;1;26;47;5;50
16;Ansoáin;1;2;A;522;0;359;9;36;56;29;81;30;0;23;57;3;35
16;Ansoáin;1;2;B;664;0;454;10;37;83;32;131;41;1;16;60;3;40
16;Ansoáin;1;2;C;596;0;422;8;31;74;42;91;24;2;31;74;3;42
16;Ansoáin;1;3;A;844;0;548;17;33;113;23;121;51;0;41;77;4;68
16;Ansoáin;1;3;B;834;0;556;17;45;107;42;124;40;1;36;69;3;72
16;Ansoáin;1;4;A;714;0;472;10;42;65;42;147;25;0;14;81;1;45
16;Ansoáin;1;4;B;712;0;470;12;41;74;33;147;26;0;18;72;4;43
17;Anue;1;1;U;340;0;167;6;19;50;0;12;21;1;13;12;0;33
18;Añorbe;1;1;U;380;0;329;11;3;160;3;51;36;9;7;29;0;20
19;Aoiz/Agoitz;1;1;U;611;0;505;19;91;190;8;52;23;0;61;27;4;30
19;Aoiz/Agoitz;2;1;A;504;0;407;15;107;115;4;51;26;0;51;9;0;29
19;Aoiz/Agoitz;2;1;B;502;0;373;8;104;117;5;36;26;0;32;19;0;26
20;Araitz;1;1;U;523;0;306;3;128;49;6;2;18;0;36;3;0;61
21;Aranarache;1;1;U;81;0;62;1;4;21;5;14;2;0;6;3;0;6
