CODIGO;MUNICIPIO;CENSO;ABSTENCIONES;VOTOS;NULOS;VALIDOS;BLANCOS;A_CANDID;PSOE;UPN;AP-PDP-UL;HB;PNV;AUZOLAN;P_CARL;EE;PCE;LC
000;Total Navarra;379692;110650;269042;3135;265907;1826;264081;94737;62072;37554;28055;18161;8356;6733;6292;1712;409
001;Abáigar;91;19;72;0;72;1;71;21;30;4;1;7;4;1;3;0;0
002;Abárzuza;433;123;310;3;307;10;297;36;93;63;45;39;6;10;5;0;0
003;Abaurregaina/Abaurrea Alta;182;65;117;0;117;0;117;70;6;8;18;4;8;0;2;0;1
004;Abaurrepea/Abaurrea Baja;55;27;28;0;28;0;28;10;1;10;0;2;2;2;1;0;0
005;Aberin;307;57;250;2;248;3;245;61;74;54;35;9;1;9;2;0;0
006;Ablitas;1804;423;1381;36;1345;21;1324;611;432;142;24;12;14;65;12;9;3
007;Adiós;123;49;74;1;73;0;73;19;36;7;5;2;0;4;0;0;0
008;Aguilar de Codés;162;20;142;0;142;2;140;32;34;62;3;0;1;4;3;1;0
009;Aibar <> Oibar;811;229;582;4;578;11;567;200;165;57;79;16;27;8;8;3;4
010;Altsasu/Alsasua;5385;1792;3593;41;3552;33;3519;1701;336;203;566;384;231;11;62;21;4
011;Allín;723;391;332;2;330;0;330;86;103;92;21;5;8;7;2;2;4
012;Allo;1034;502;532;15;517;6;511;295;89;72;8;12;8;6;17;3;1
013;Améscoa Baja;901;338;563;0;563;12;551;130;262;61;38;10;18;15;13;4;0
014;Ancín;246;90;156;0;156;3;153;29;50;55;2;11;0;4;2;0;0
015;Andosilla;1925;535;1390;19;1371;11;1360;680;411;84;96;19;14;12;36;6;2
016;Ansoáin;6682;2258;4424;52;4372;16;4356;2513;341;225;632;148;254;62;79;93;9
017;Anue;371;130;241;5;236;2;234;35;78;34;34;45;3;2;3;0;0
018;Añorbe;387;99;288;3;285;2;283;105;79;33;21;4;10;14;13;3;1
019;Aoiz <> Agoitz;1347;304;1043;21;1022;5;1017;181;293;63;178;240;32;12;18;0;0
020;Araitz;688;315;373;2;371;2;369;18;150;27;105;57;4;0;7;1;0
021;Aranarache;91;30;61;0;61;0;61;19;21;6;9;2;2;1;1;0;0
022;Arantza;566;43;523;3;520;3;517;11;11;29;277;189;0;0;0;0;0
023;Aranguren;850;166;684;5;679;6;673;244;190;78;76;26;25;10;20;4;0
024;Arano;157;61;96;0;96;0;96;4;3;10;14;59;0;0;4;1;1
025;Arakil;2132;630;1502;16;1486;6;1480;381;333;268;305;88;61;17;21;1;5
026;Aras;236;32;204;0;204;0;204;39;74;26;4;1;0;58;2;0;0
027;Arbizu;645;121;524;8;516;0;516;10;45;38;137;201;79;3;3;0;0
028;Arce <> Artzi;221;133;88;0;88;1;87;12;36;11;8;9;10;1;0;0;0
029;Los Arcos;1279;290;989;20;969;8;961;388;255;157;67;25;9;36;14;6;4
030;Arellano;212;33;179;1;178;0;178;77;15;12;34;17;4;11;5;3;0
031;Areso;257;85;172;6;166;0;166;7;73;15;29;35;2;1;4;0;0
032;Arguedas;2013;597;1416;20;1396;7;1389;866;309;89;51;9;34;19;8;4;0
033;Aria;72;39;33;0;33;1;32;7;7;11;3;3;1;0;0;0;0
034;Aribe;60;7;53;0;53;1;52;22;13;4;5;7;0;0;1;0;0
035;Armañanzas;136;23;113;5;108;0;108;36;55;7;6;0;1;3;0;0;0
036;Arróniz;1141;202;939;33;906;8;898;354;282;86;94;17;14;29;16;3;3
037;Arruazu;114;26;88;3;85;0;85;6;24;11;12;28;1;2;1;0;0
038;Artajona;1370;264;1106;19;1087;8;1079;356;323;122;89;16;10;143;15;2;3
039;Artazu;103;31;72;1;71;2;69;18;24;12;9;2;2;2;0;0;0
040;Atez;175;81;94;10;84;0;84;16;19;23;12;8;5;0;0;1;0
041;Ayegui;521;112;409;1;408;2;406;77;124;42;75;52;7;19;9;1;0
042;Azagra;2511;303;2208;25;2183;7;2176;973;986;57;36;10;6;19;9;80;0
043;Azuelo;93;34;59;0;59;1;58;12;40;5;1;0;0;0;0;0;0
044;Bakaiku;281;97;184;1;183;1;182;17;28;20;71;35;0;5;6;0;0
045;Barásoain;383;58;325;2;323;0;323;99;105;35;21;6;14;29;14;0;0
046;Barbarin;117;13;104;4;100;2;98;14;44;13;2;8;2;12;2;1;0
047;Bargota;397;69;328;6;322;4;318;46;52;46;38;31;5;96;4;0;0
048;Barillas;159;24;135;3;132;0;132;34;43;42;4;2;3;3;1;0;0
049;Basaburua;732;133;599;3;596;6;590;49;155;54;197;111;5;6;13;0;0
050;Baztan;6419;1830;4589;69;4520;44;4476;487;1620;501;477;1106;82;29;168;5;1
051;Beire;325;110;215;0;215;0;215;69;42;50;19;7;3;17;8;0;0
052;Belascoáin;63;3;60;1;59;0;59;10;20;21;1;0;0;1;5;0;1
053;Berbinzana;629;140;489;2;487;0;487;188;159;28;60;8;12;3;11;5;13
054;Bertizarana;477;139;338;1;337;0;337;77;46;34;20;127;6;11;15;1;0
055;Betelu;289;116;173;3;170;2;168;16;30;20;18;77;2;1;3;0;1
056;Biurrun-Olcoz;163;63;100;1;99;0;99;14;25;22;10;7;4;15;2;0;0
057;Buñuel;1971;410;1561;14;1547;14;1533;690;350;425;23;10;12;13;8;1;1
058;Auritz/Burguete;272;70;202;3;199;3;196;28;54;37;13;45;12;3;3;1;0
059;Burgui <> Burgi;258;123;135;0;135;0;135;59;26;17;25;2;3;0;3;0;0
060;Burlada <> Burlata;9655;3631;6024;113;5911;35;5876;2714;1099;533;717;306;250;78;116;54;9
061;El Busto;124;21;103;0;103;0;103;34;49;9;6;3;0;2;0;0;0
062;Cabanillas;1123;308;815;6;809;10;799;398;114;196;17;15;27;21;7;4;0
063;Cabredo;160;45;115;3;112;1;111;25;22;48;1;7;2;2;4;0;0
064;Cadreita;1470;229;1241;7;1234;10;1224;517;77;520;36;22;22;5;23;2;0
065;Caparroso;1911;406;1505;26;1479;31;1448;466;444;378;29;12;27;8;73;9;2
