CODIGO;MUNICIPIO;CENSO;ABSTENCIONES;VOTOS;NULOS;VALIDOS;BLANCOS;A_CANDID;PSN-PSOE;UPN;HB;CDS;EA;UDF;FAP;EE;BATZARRE;IU;EAJ-PNV;PTE-UCE
000;Total Navarra;393326;106604;286722;3327;283395;3950;279445;78453;69419;38138;21022;19840;17663;11985;9618;5880;3802;2661;964
001;Abáigar;81;11;70;4;66;2;64;6;39;3;2;7;1;0;4;0;0;0;2
002;Abárzuza;421;158;263;3;260;5;255;35;89;36;32;30;11;11;7;3;1;0;0
003;Abaurregaina/Abaurrea Alta;178;75;103;1;102;0;102;27;16;37;9;6;7;0;0;0;0;0;0
004;Abaurrepea/Abaurrea Baja;47;19;28;0;28;0;28;5;6;3;4;3;6;1;0;0;0;0;0
005;Aberin;307;99;208;1;207;6;201;58;77;19;14;6;10;11;5;0;1;0;0
006;Ablitas;1857;379;1478;25;1453;23;1430;566;288;51;384;14;41;39;24;3;13;2;5
007;Adiós;115;46;69;0;69;2;67;0;44;12;2;7;1;0;0;1;0;0;0
008;Aguilar de Codés;154;38;116;0;116;1;115;52;30;4;8;0;9;11;0;0;1;0;0
009;Aibar <> Oibar;829;191;638;6;632;18;614;178;174;102;32;18;24;46;21;6;6;4;3
010;ALTSASU/ALSASUA;5357;1159;4198;39;4159;54;4105;1537;468;744;256;327;100;130;175;162;45;141;20
011;Allín;693;244;449;2;447;11;436;76;177;27;46;15;30;25;23;9;3;3;2
012;Allo;971;289;682;25;657;22;635;235;154;30;82;30;13;42;33;5;7;2;2
013;Améscoa Baja;837;434;403;6;397;9;388;72;134;30;44;12;46;17;14;12;1;1;5
014;Ancín;245;92;153;2;151;0;151;29;61;11;4;10;11;20;5;0;0;0;0
015;Andosilla;2028;501;1527;18;1509;21;1488;581;357;110;223;33;46;50;60;9;9;9;1
016;Ansoáin;7108;2145;4963;64;4899;71;4828;1943;406;827;295;265;147;76;127;476;208;28;30
017;Anue;368;135;233;52;181;0;181;22;31;42;30;22;13;6;4;6;1;4;0
018;Añorbe;357;100;257;2;255;6;249;85;72;26;18;11;9;6;12;4;3;2;1
019;Aoiz <> Agoitz;1443;277;1166;13;1153;14;1139;206;187;306;50;238;82;27;27;7;3;4;2
020;Araitz;614;239;375;6;369;4;365;6;128;149;9;46;16;3;4;1;0;3;0
021;Aranarache;89;29;60;0;60;0;60;14;23;12;3;1;1;4;0;0;0;0;2
022;Arantza;574;119;455;3;452;4;448;0;12;187;5;50;14;0;5;2;0;173;0
023;Aranguren;905;293;612;9;603;13;590;164;93;98;66;41;50;23;24;18;3;6;4
024;Arano;156;61;95;0;95;0;95;0;4;34;5;37;2;2;5;0;0;6;0
025;Arakil;2116;623;1493;136;1357;19;1338;253;305;363;69;96;85;87;35;16;10;14;5
026;Aras;224;76;148;1;147;2;145;71;18;9;20;0;8;18;1;0;0;0;0
027;Arbizu;692;104;588;2;586;2;584;22;45;251;10;229;4;3;5;7;1;7;0
028;Arce <> Artzi;255;98;157;0;157;1;156;20;36;41;11;12;21;5;2;6;2;0;0
029;Los Arcos;1169;303;866;21;845;19;826;371;198;70;62;16;42;43;14;2;2;3;3
030;Arellano;195;39;156;2;154;2;152;51;18;32;4;24;5;2;12;1;1;2;0
031;Areso;258;34;224;2;222;2;220;18;37;76;13;48;20;5;3;0;0;0;0
032;Arguedas;1961;471;1490;7;1483;26;1457;864;294;120;39;10;43;45;20;4;11;5;2
033;Aria;64;46;18;0;18;0;18;2;4;0;2;3;5;1;1;0;0;0;0
034;Aribe;58;29;29;0;29;1;28;8;4;3;1;4;5;2;1;0;0;0;0
035;Armañanzas;130;40;90;2;88;0;88;30;22;5;17;0;2;8;1;0;2;1;0
036;Arróniz;1125;196;929;10;919;24;895;288;244;137;59;36;34;35;30;13;8;7;4
037;Arruazu;99;21;78;2;76;0;76;2;13;18;4;24;6;7;2;0;0;0;0
038;Artajona;1401;258;1143;32;1111;40;1071;353;378;128;63;31;38;36;23;2;11;5;3
039;Artazu;92;19;73;3;70;2;68;19;13;12;11;5;6;0;1;0;1;0;0
040;Atez;149;76;73;2;71;0;71;9;22;14;10;2;7;1;2;1;2;1;0
041;Ayegui;504;86;418;3;415;7;408;68;111;98;14;47;8;24;24;10;2;1;1
042;Azagra;2567;335;2232;26;2206;15;2191;1057;907;38;59;19;31;45;14;1;18;2;0
043;Azuelo;86;48;38;0;38;0;38;4;21;2;7;0;2;2;0;0;0;0;0
044;Bakaiku;296;60;236;1;235;7;228;10;23;111;11;53;12;1;4;1;0;2;0
045;Barásoain;370;72;298;4;294;2;292;48;109;31;31;12;32;0;20;4;3;2;0
046;Barbarin;120;36;84;1;83;0;83;9;34;3;6;5;6;17;0;2;0;1;0
047;Bargota;370;143;227;0;227;2;225;67;38;46;17;33;2;18;2;0;0;1;1
048;Barillas;178;41;137;1;136;4;132;28;63;4;10;2;9;9;3;0;2;1;1
049;Basaburua;700;152;548;32;516;6;510;24;80;179;7;132;55;9;7;4;0;13;0
050;Baztan;6292;1339;4953;45;4908;55;4853;454;2051;661;134;1039;137;94;179;48;4;40;12
051;Beire;299;92;207;1;206;2;204;75;58;21;13;6;17;1;5;0;5;2;1
052;Belascoáin;70;17;53;1;52;1;51;7;9;4;8;2;10;0;6;4;0;0;1
053;Berbinzana;650;192;458;5;453;12;441;139;146;89;27;3;7;9;15;0;2;2;2
054;Bertizarana;486;146;340;3;337;3;334;37;42;28;10;145;23;5;15;21;0;7;1
055;Betelu;295;130;165;4;161;3;158;10;19;44;11;41;15;1;6;3;0;8;0
056;Biurrun-Olcoz;154;69;85;2;83;1;82;10;26;13;8;5;5;10;5;0;0;0;0
057;Buñuel;2015;378;1637;28;1609;32;1577;585;316;25;145;10;384;79;9;9;11;2;2
058;Auritz/Burguete;267;89;178;23;155;1;154;21;38;29;22;24;7;6;3;3;0;1;0
059;Burgui <> Burgi;245;121;124;2;122;1;121;42;36;18;4;6;8;0;6;0;0;1;0
060;Burlada <> Burlata;9870;3207;6663;49;6614;84;6530;1900;1248;1113;672;416;242;177;289;259;121;61;32
061;El Busto;121;30;91;0;91;1;90;31;37;2;8;2;6;1;3;0;0;0;0
062;Cabanillas;1155;290;865;4;861;21;840;392;180;34;45;14;79;48;13;14;18;0;3
063;Cabredo;150;12;138;3;135;0;135;34;58;2;11;20;3;3;3;0;0;1;0
064;Cadreita;1525;208;1317;12;1305;14;1291;537;504;97;25;20;35;43;15;2;3;8;2
065;Caparroso;1927;414;1513;29;1484;29;1455;612;544;53;55;13;92;53;13;2;2;10;6
066;Cárcar;1027;130;897;13;884;10;874;405;364;12;30;4;22;22;7;1;5;0;2
067;Carcastillo;2104;416;1688;21;1667;21;1646;597;476;43;27;123;41;70;20;15;12;219;3
068;Cascante;2785;566;2219;21;2198;40;2158;911;716;103;138;20;62;93;38;43;25;1;8
069;Cáseda;957;101;856;9;847;5;842;231;372;61;26;15;57;47;21;6;1;4;1
070;Castejón;2585;570;2015;53;1962;24;1938;1019;103;57;177;6;187;50;20;15;293;3;8
071;Castillo-Nuevo;18;3;15;0;15;0;15;7;4;0;4;0;0;0;0;0;0;0;0
072;Cintruénigo;4090;840;3250;58;3192;30;3162;1584;797;128;90;29;323;141;22;19;18;8;3
073;Ziordia;334;121;213;2;211;1;210;63;17;69;24;16;5;7;3;1;1;4;0
074;Cirauqui;431;94;337;9;328;10;318;81;82;71;12;17;14;10;29;0;1;0;1
075;Ciriza;46;10;36;0;36;1;35;3;7;0;3;2;14;2;1;2;1;0;0
076;Cizur;3161;934;2227;16;2211;35;2176;510;446;319;220;177;110;72;131;127;39;10;15
077;Corella;4873;1089;3784;37;3747;32;3715;1307;1813;82;41;22;318;53;38;12;18;3;8
078;Cortes;2579;429;2150;31;2119;48;2071;948;555;150;53;17;142;125;15;12;36;10;8
079;Desojo;155;40;115;1;114;1;113;3;39;8;17;7;7;17;6;0;0;8;1
080;Dicastillo;671;110;561;6;555;7;548;185;123;52;26;19;68;45;20;4;3;2;1
081;Donamaria;310;68;242;2;240;11;229;8;43;47;15;84;13;2;6;3;1;7;0
082;Etxalar;662;251;411;5;406;9;397;40;61;151;17;83;20;10;6;0;1;7;1
083;Echarri;38;13;25;0;25;0;25;2;2;5;6;2;3;2;3;0;0;0;0
084;Etxarri-Aranatz;1708;358;1350;5;1345;36;1309;71;171;563;45;265;44;21;41;11;2;75;0
085;Etxauri;309;34;275;4;271;5;266;35;60;95;16;27;17;8;2;3;1;1;1
086;Egüés;784;247;537;3;534;6;528;66;222;46;55;29;36;21;32;8;7;3;3
087;Elgorriaga;143;22;121;2;119;4;115;4;14;36;6;54;0;0;1;0;0;0;0
088;Noáin (Valle de Elorz) <> Noain (Elortzibar);2245;688;1557;22;1535;32;1503;495;432;182;109;43;89;38;51;23;25;6;10
089;Enériz;158;41;117;1;116;0;116;15;37;9;16;1;19;10;6;3;0;0;0
090;Eratsun;198;80;118;1;117;0;117;0;8;14;11;68;10;1;3;0;0;2;0
091;Ergoiena;484;186;298;1;297;8;289;14;27;169;28;25;12;1;4;4;0;5;0
092;Erro;727;247;480;7;473;5;468;67;129;73;29;39;97;6;15;6;1;6;0
093;Ezcároz <> Ezkaroze;325;103;222;7;215;1;214;135;36;19;9;3;2;4;2;2;2;0;0
094;Eslava;206;58;148;0;148;0;148;25;49;19;17;1;16;14;4;2;1;0;0
095;Esparza de Salazar <> Espartza Zaraitzu;153;46;107;2;105;1;104;39;17;28;6;8;1;2;1;2;0;0;0
096;Espronceda;195;33;162;0;162;1;161;44;58;13;10;13;9;10;2;1;0;1;0
097;Estella <> Lizarra;9432;2723;6709;90;6619;111;6508;1783;1641;952;468;727;246;198;327;96;38;18;14
098;Esteribar;1168;341;827;53;774;22;752;129;221;154;60;56;54;15;43;5;6;8;1
099;Etayo;97;10;87;1;86;1;85;11;13;5;7;34;3;4;4;4;0;0;0
100;Eulate;343;143;200;5;195;7;188;29;48;14;28;9;46;6;7;0;0;1;0
101;Ezcabarte;714;226;488;6;482;15;467;67;119;93;61;38;42;20;12;7;4;2;2
102;Ezkurra;229;47;182;5;177;2;175;0;51;32;12;15;59;0;1;0;1;4;0
