CODIGO;MUNICIPIO;CENSO;ABSTENCION;VOTOS;NULOS;VALIDOS;BLANCOS;A_CANDID;UPN;PSN-PSOE;CDN;IU-EB;EH;EA_EAJ-PNV;EKA;IN
000;Total Navarra;461729;155849;305880;2539;303341;7126;296215;125497;61531;20821;20879;47271;16512;869;2835
001;Abáigar;77;19;58;0;58;2;56;31;7;4;5;6;2;1;0
002;Abárzuza;452;227;225;1;224;0;224;115;16;34;9;38;11;0;1
003;Abaurregaina/Abaurrea Alta;155;43;112;5;107;4;103;39;14;4;3;39;3;0;1
004;Abaurrepea/Abaurrea Baja;44;14;30;0;30;1;29;12;3;6;2;3;1;0;2
005;Aberin;305;140;165;2;163;2;161;93;33;0;11;23;1;0;0
006;Ablitas;1944;396;1548;9;1539;29;1510;681;633;44;110;22;10;4;6
007;Adiós;114;27;87;2;85;0;85;54;6;3;9;12;0;1;0
008;Aguilar de Codés;99;43;56;0;56;0;56;41;8;2;2;2;0;0;1
009;Aibar <> Oibar;787;238;549;2;547;11;536;209;133;33;45;99;13;1;3
010;Altsasu/Alsasua;5807;2108;3699;69;3630;70;3560;767;730;185;393;984;472;6;23
011;Allín;739;280;459;1;458;12;446;267;46;28;29;47;18;1;10
012;Allo;936;227;709;10;699;13;686;352;149;25;102;45;10;0;3
013;Améscoa Baja;726;357;369;7;362;10;352;222;40;13;17;50;8;1;1
014;Ancín;261;103;158;0;158;3;155;97;19;8;10;10;10;0;1
015;Andosilla;2092;589;1503;13;1490;38;1452;578;353;142;58;113;18;10;180
016;Ansoáin;5501;2325;3176;26;3150;87;3063;575;892;200;408;885;77;8;18
017;Anue;374;145;229;0;229;6;223;88;18;31;11;57;17;0;1
018;Añorbe;390;68;322;2;320;8;312;152;69;46;19;20;3;0;3
019;Aoiz <> Agoitz;1558;297;1261;16;1245;46;1199;428;143;64;70;406;80;3;5
020;Araitz;552;187;365;9;356;8;348;90;1;19;5;189;42;0;2
021;Aranarache;89;31;58;0;58;3;55;32;12;0;1;9;1;0;0
022;Arantza;611;122;489;5;484;12;472;53;10;11;8;276;114;0;0
023;Aranguren;2564;692;1872;17;1855;66;1789;727;295;174;181;312;85;2;13
024;Arano;142;63;79;0;79;2;77;10;3;6;0;39;17;2;0
025;Arakil;741;256;485;4;481;13;468;209;39;40;39;110;27;2;2
026;Aras;217;66;151;3;148;0;148;71;36;21;10;9;0;1;0
027;Arbizu;745;109;636;3;633;5;628;82;4;16;13;317;194;1;1
028;Arce <> Artzi;264;78;186;3;183;5;178;54;12;27;16;64;4;0;1
029;Los Arcos;1165;290;875;15;860;14;846;502;148;37;43;66;8;5;37
030;Arellano;182;66;116;0;116;4;112;41;23;8;9;23;5;1;2
031;Areso;256;24;232;4;228;5;223;36;6;67;1;88;25;0;0
032;Arguedas;1886;379;1507;8;1499;29;1470;850;472;46;42;41;9;2;8
033;Aria;57;27;30;0;30;1;29;12;1;4;3;7;2;0;0
034;Aribe;56;20;36;0;36;2;34;15;0;1;3;10;5;0;0
035;Armañanzas;93;27;66;2;64;1;63;30;20;1;3;4;3;1;1
036;Arróniz;1024;312;712;11;701;18;683;295;165;26;65;106;24;0;2
037;Arruazu;95;26;69;0;69;0;69;18;1;2;2;17;28;0;1
038;Artajona;1416;340;1076;11;1065;38;1027;481;259;104;48;90;27;7;11
039;Artazu;87;33;54;2;52;2;50;26;4;5;3;9;2;0;1
040;Atez;196;44;152;1;151;1;150;64;16;20;11;24;14;0;1
041;Ayegui;768;227;541;0;541;18;523;229;77;34;46;73;50;8;6
042;Azagra;2839;522;2317;44;2273;47;2226;1024;1055;32;68;13;7;2;25
043;Azuelo;58;13;45;0;45;4;41;29;3;6;1;1;0;0;1
044;Bakaiku;306;53;253;1;252;2;250;36;12;22;4;136;38;0;2
045;Barásoain;381;109;272;0;272;2;270;110;53;60;19;24;3;0;1
046;Barbarin;92;25;67;2;65;3;62;52;6;2;1;0;1;0;0
047;Bargota;356;129;227;0;227;4;223;105;53;10;2;26;20;7;0
048;Barillas;173;31;142;2;140;4;136;109;13;5;5;3;1;0;0
049;Basaburua;607;147;460;4;456;5;451;140;8;32;7;188;69;0;7
050;Baztan;6516;1946;4570;32;4538;66;4472;1782;205;237;70;893;1280;2;3
051;Beire;277;89;188;1;187;1;186;89;55;12;3;27;0;0;0
052;Belascoáin;87;23;64;0;64;1;63;33;8;3;8;4;2;3;2
053;Berbinzana;620;130;490;4;486;9;477;228;158;18;13;53;3;0;4
054;Bertizarana;537;119;418;9;409;18;391;110;19;31;8;88;134;0;1
055;Betelu;305;29;276;0;276;17;259;35;17;44;2;94;63;1;3
056;Biurrun-Olcoz;161;51;110;0;110;8;102;49;10;17;11;12;1;1;1
057;Buñuel;1985;355;1630;25;1605;27;1578;900;612;31;17;13;2;2;1
058;Auritz/Burguete;282;38;244;2;242;9;233;108;18;29;9;37;31;0;1
