cod_muni;municipio;distrito;seccion;mesa;censo_inicial;certif_alta;certif_correc;electores;votos_electores;votos_interv;votos_nulos;votos_blancos;votos_total;P.P.;P.S.O.E.;ESPAÑA 2000;AES;PODEMOS;ULEG;PCAS-TC;C`s;UPyD;P-LIB;LA COALICIÓN NACIONAL;IUCM - LV;SAIn;PH;P.C.P.E.;FE de las JONS;PACMA;RECORTES CERO;VOX
002;Ajalvir;1;001;A;729;0;0;729;486;0;6;5;486;212;105;0;0;60;0;1;67;8;0;1;12;0;0;0;1;7;0;1
002;Ajalvir;1;001;B;714;0;0;714;426;1;8;6;427;184;89;1;2;52;0;0;47;8;0;0;20;0;0;0;2;6;0;2
002;Ajalvir;1;002;A;710;0;0;710;506;0;7;6;506;196;126;4;0;64;1;0;70;7;0;1;10;0;3;1;1;5;1;3
002;Ajalvir;1;002;B;761;0;0;761;538;1;7;11;539;196;153;4;2;52;1;0;77;10;1;1;14;0;0;1;0;5;0;4
003;Alameda del Valle;1;001;U;185;0;0;185;155;0;5;5;155;47;55;0;0;26;0;0;13;0;0;0;3;0;0;0;0;0;0;1
005;Alcalá de Henares;1;001;A;531;0;0;531;364;1;5;3;365;143;62;6;0;66;0;0;39;5;0;0;12;2;0;0;3;4;1;14
005;Alcalá de Henares;1;001;B;578;1;0;579;389;1;4;5;390;140;75;2;0;79;0;0;46;8;0;0;14;1;3;4;0;1;0;8
005;Alcalá de Henares;1;002;U;699;0;0;699;516;2;6;6;518;171;117;7;0;116;0;0;58;6;0;0;20;1;0;1;1;4;0;4
005;Alcalá de Henares;1;003;A;586;0;0;586;425;0;9;5;425;131;108;1;0;99;0;0;42;5;0;1;19;0;0;0;1;3;0;1
005;Alcalá de Henares;1;003;B;638;0;0;638;431;1;3;4;432;116;104;5;0;99;0;1;48;12;0;1;26;0;1;2;0;4;1;5
005;Alcalá de Henares;1;004;U;986;0;0;986;740;1;7;6;741;370;137;14;3;71;0;0;82;21;2;0;13;1;0;0;0;2;1;11
005;Alcalá de Henares;1;005;U;973;0;0;973;703;0;4;17;703;314;129;8;1;88;0;0;71;16;0;0;17;0;0;0;0;5;0;33
005;Alcalá de Henares;1;006;U;999;0;0;999;711;2;6;7;713;211;187;8;0;162;0;0;84;16;2;0;17;0;1;0;0;3;1;8
005;Alcalá de Henares;1;007;U;982;0;0;982;658;1;11;7;659;172;211;16;2;113;0;1;70;11;0;0;32;2;2;0;0;4;0;5
005;Alcalá de Henares;1;008;U;610;0;0;610;371;2;4;5;373;92;134;10;0;69;0;0;29;6;0;0;18;1;1;0;0;1;3;0
005;Alcalá de Henares;1;009;U;837;0;0;837;541;1;7;5;542;114;193;18;0;96;0;0;47;17;0;0;35;0;2;0;0;6;2;0
005;Alcalá de Henares;1;010;U;717;0;0;717;438;2;6;4;440;116;96;6;0;92;0;0;69;20;1;1;15;1;1;0;1;3;2;6
005;Alcalá de Henares;1;011;A;476;0;0;476;328;2;3;6;330;126;85;1;0;50;0;0;40;5;0;0;12;0;1;0;0;0;0;1
005;Alcalá de Henares;1;011;B;522;0;0;522;341;1;1;2;342;124;99;2;0;56;0;0;27;2;0;0;20;0;1;0;1;1;1;5
005;Alcalá de Henares;1;012;A;694;0;0;694;482;1;4;9;483;170;105;15;0;74;0;0;63;14;0;0;8;0;0;1;1;3;5;11
005;Alcalá de Henares;1;012;B;660;0;0;660;464;1;4;4;465;179;91;9;0;78;0;0;66;8;0;0;12;0;2;1;0;4;0;7
005;Alcalá de Henares;1;013;U;683;0;0;683;477;1;2;2;478;197;98;5;0;94;0;1;42;8;0;0;16;0;0;3;0;3;1;6
005;Alcalá de Henares;1;014;U;934;0;0;934;653;0;4;4;653;301;124;7;0;104;0;0;68;9;0;3;21;1;0;0;1;3;1;2
005;Alcalá de Henares;1;015;A;748;0;0;748;518;1;7;4;519;184;99;9;1;97;0;1;50;14;0;2;29;2;0;1;2;11;0;6
005;Alcalá de Henares;1;015;B;821;0;0;821;545;2;4;6;547;175;153;4;3;92;0;1;63;8;0;2;27;0;0;1;1;1;1;5
005;Alcalá de Henares;1;016;U;798;0;0;798;536;2;6;5;538;159;138;11;1;103;1;0;66;7;0;0;26;0;0;2;2;5;1;5
005;Alcalá de Henares;1;017;U;628;0;0;628;412;2;8;6;414;141;101;5;0;76;0;1;44;5;0;0;14;0;0;2;1;5;2;3
005;Alcalá de Henares;1;018;U;742;0;0;742;481;1;4;9;482;164;149;7;0;67;0;0;40;9;0;1;25;0;0;0;0;5;0;2
005;Alcalá de Henares;1;020;U;967;0;0;967;618;1;6;9;619;204;185;14;0;100;1;2;47;7;0;3;24;1;0;0;1;8;1;6
005;Alcalá de Henares;1;021;A;554;0;0;554;410;1;9;3;411;138;100;4;0;61;0;0;54;11;0;0;14;1;0;0;1;4;0;11
005;Alcalá de Henares;1;021;B;572;0;0;572;412;1;1;2;413;185;87;8;0;54;0;0;52;3;0;0;11;0;0;0;1;2;0;7
005;Alcalá de Henares;1;022;A;597;0;0;597;411;2;5;7;413;159;106;5;0;43;0;1;49;6;0;1;20;0;1;1;2;0;0;7
005;Alcalá de Henares;1;022;B;619;0;0;619;420;0;3;5;420;175;107;7;0;53;0;0;32;13;0;0;16;0;5;0;2;0;2;0
005;Alcalá de Henares;1;023;U;928;0;0;928;664;1;10;5;665;341;94;5;1;78;0;0;69;15;0;3;19;0;0;0;0;3;0;22
005;Alcalá de Henares;1;024;A;503;0;0;503;358;1;2;5;359;182;61;1;1;53;0;0;33;8;0;0;5;0;0;0;0;4;0;4
005;Alcalá de Henares;1;024;B;520;0;0;520;375;1;5;4;376;169;82;1;0;42;0;0;46;8;0;0;7;3;1;1;2;4;0;1
005;Alcalá de Henares;2;001;U;927;0;0;927;584;1;6;3;585;169;211;16;0;112;1;0;39;4;0;0;14;0;2;0;0;5;1;2
005;Alcalá de Henares;2;002;U;824;0;0;824;531;2;8;8;533;127;178;9;0;104;0;1;60;4;1;0;26;0;0;1;1;4;0;1
005;Alcalá de Henares;2;003;A;551;0;0;551;380;2;2;2;382;81;139;5;0;92;0;0;34;0;0;1;20;2;0;0;0;2;0;2
