cod_muni;municipio;distrito;seccion;mesa;censo_inicial;certif_alta;certif_correc;electores;votos_electores;votos_interv;votos_blanco;votos_nulos;votos_total;PACMA;MÁS MADRID;PSOE;PH;ULEG;Cs;FE de las JONS;PCAS-TC;PUM+J;P-LIB;PP;PCTE;VOX;UPYD;PODEMOS-IU
001;La Acebeda;1;001;U;77;0;0;77;70;0;0;3;70;0;10;11;0;0;14;0;0;0;0;25;0;2;0;5
002;Ajalvir;1;001;A;818;0;0;818;507;0;3;0;507;6;51;126;0;0;98;2;0;2;0;132;1;66;0;20
002;Ajalvir;1;001;B;844;1;0;845;497;1;4;3;498;3;42;105;0;0;121;0;1;1;0;125;1;71;0;21
002;Ajalvir;1;002;A;789;0;0;789;580;0;8;4;580;5;63;152;0;0;114;4;0;1;0;137;0;68;1;23
002;Ajalvir;1;002;B;831;0;0;831;591;2;12;5;593;14;68;149;1;0;123;1;0;2;0;127;3;69;2;17
003;Alameda del Valle;1;001;U;169;0;0;169;140;0;0;0;140;3;12;54;0;0;19;0;0;0;0;41;0;8;0;3
004;El Álamo;1;001;A;613;0;0;613;352;1;0;5;353;5;27;107;0;0;55;0;0;0;0;91;1;42;0;20
004;El Álamo;1;001;B;731;0;0;731;392;2;3;3;394;3;33;134;0;0;61;0;0;0;0;95;0;46;1;15
004;El Álamo;1;001;C;739;0;0;739;423;1;4;3;424;2;27;133;0;0;74;0;0;0;1;104;0;62;0;14
004;El Álamo;1;002;A;653;0;0;653;441;4;4;2;445;2;43;128;2;1;56;0;0;0;0;120;0;56;2;29
004;El Álamo;1;002;B;762;0;0;762;516;1;3;5;517;7;45;157;0;0;80;2;0;0;0;123;0;68;0;27
004;El Álamo;1;002;C;753;0;0;753;521;1;4;2;522;3;44;123;1;0;77;0;0;0;1;143;0;90;2;32
004;El Álamo;1;003;A;669;0;0;669;462;2;0;1;464;1;30;139;1;0;89;2;0;0;0;122;0;52;0;27
004;El Álamo;1;003;B;599;0;0;599;415;1;1;2;416;5;26;110;0;0;61;0;0;1;0;119;1;52;0;38
004;El Álamo;1;004;A;524;0;0;524;352;3;0;1;355;0;39;116;0;0;58;0;0;0;0;90;0;34;0;17
004;El Álamo;1;004;B;516;0;0;516;372;2;6;2;374;4;40;111;0;0;63;0;0;0;1;95;0;35;0;17
005;Alcalá de Henares;1;001;A;549;0;0;549;395;0;8;1;395;5;53;78;0;0;71;4;0;0;0;105;0;54;0;16
005;Alcalá de Henares;1;001;B;655;0;0;655;453;0;2;0;453;4;74;104;1;0;95;1;0;2;0;104;0;42;1;23
005;Alcalá de Henares;1;002;U;706;0;0;706;477;0;4;3;477;4;74;131;0;0;79;0;0;1;0;104;0;39;0;38
005;Alcalá de Henares;1;003;A;595;0;0;595;403;0;3;3;403;1;69;125;1;0;55;0;0;0;0;80;0;34;2;30
005;Alcalá de Henares;1;003;B;656;0;0;656;450;0;2;2;450;4;98;137;0;1;72;1;0;0;1;74;0;34;0;24
005;Alcalá de Henares;1;004;A;506;0;0;506;385;0;2;4;385;2;40;80;0;0;70;0;1;0;0;141;0;34;0;11
005;Alcalá de Henares;1;004;B;481;0;0;481;354;0;0;5;354;3;27;80;0;1;60;2;0;0;0;128;0;38;0;10
005;Alcalá de Henares;1;005;A;537;0;0;537;375;0;4;1;375;3;42;63;0;0;51;1;1;0;0;140;0;49;0;20
005;Alcalá de Henares;1;005;B;475;0;0;475;329;0;5;2;329;1;36;80;0;0;52;1;1;0;0;103;0;37;0;11
005;Alcalá de Henares;1;006;A;485;0;0;485;365;0;2;4;365;3;50;120;0;0;54;0;0;1;1;72;0;34;1;23
005;Alcalá de Henares;1;006;B;483;0;0;483;337;1;1;2;338;2;49;106;0;0;67;0;0;0;0;77;0;14;0;20
005;Alcalá de Henares;1;007;A;502;0;0;502;340;0;1;3;340;2;33;144;0;0;60;1;2;0;0;58;0;10;3;23
005;Alcalá de Henares;1;007;B;449;0;0;449;297;0;0;3;297;3;23;112;1;0;51;0;0;0;0;53;0;20;0;31
005;Alcalá de Henares;1;008;U;592;0;0;592;383;0;3;1;383;2;31;161;0;0;65;0;0;0;0;59;0;32;2;27
005;Alcalá de Henares;1;009;U;814;0;0;814;525;0;1;5;525;5;52;240;1;0;89;0;0;3;0;70;0;27;1;31
005;Alcalá de Henares;1;010;U;694;0;0;694;447;0;3;2;447;11;59;123;0;0;95;2;1;0;0;86;0;44;2;19
005;Alcalá de Henares;1;011;A;479;0;0;479;320;0;0;8;320;3;30;89;0;0;52;0;0;0;0;89;0;25;0;24
005;Alcalá de Henares;1;011;B;513;0;0;513;351;0;0;2;351;3;24;113;0;0;69;0;0;0;0;83;1;27;1;28
005;Alcalá de Henares;1;012;A;724;0;0;724;488;0;1;1;488;7;48;133;0;0;104;1;0;0;0;102;0;64;2;25
005;Alcalá de Henares;1;012;B;651;0;0;651;459;0;2;2;459;3;36;133;0;0;94;0;0;0;0;115;0;56;1;17
005;Alcalá de Henares;1;013;U;674;0;0;674;470;0;3;1;470;7;61;106;0;0;59;0;0;1;0;162;0;47;0;23
005;Alcalá de Henares;1;014;A;487;1;0;488;320;0;1;0;320;6;25;75;0;0;55;2;0;0;0;109;0;27;0;20
005;Alcalá de Henares;1;014;B;442;0;0;442;313;0;0;3;313;2;25;74;0;0;66;1;0;0;0;89;0;38;0;15
005;Alcalá de Henares;1;015;A;756;0;0;756;514;0;2;2;514;6;67;119;0;0;102;0;0;1;0;127;3;49;0;36
005;Alcalá de Henares;1;015;B;817;0;0;817;580;0;2;7;580;3;76;176;0;0;110;0;1;0;0;125;2;49;1;28
005;Alcalá de Henares;1;016;U;793;0;0;793;508;0;3;3;508;4;81;159;0;0;98;0;0;0;0;95;3;34;1;27
005;Alcalá de Henares;1;017;U;607;0;0;607;378;0;1;6;378;5;40;119;0;0;68;0;0;0;0;98;0;21;1;19
005;Alcalá de Henares;1;018;U;766;0;0;766;474;0;2;6;474;4;53;142;0;1;80;0;0;0;0;101;3;43;1;38
005;Alcalá de Henares;1;020;A;489;0;0;489;288;0;1;3;288;1;35;93;0;0;56;0;0;1;0;53;0;28;1;16
005;Alcalá de Henares;1;020;B;459;0;0;459;280;0;0;1;280;4;23;104;0;0;46;2;0;0;0;59;0;23;1;17
005;Alcalá de Henares;1;021;A;589;0;0;589;424;1;0;1;425;3;33;146;0;0;72;1;0;0;0;117;0;33;0;19
005;Alcalá de Henares;1;021;B;510;0;0;510;373;0;0;1;373;1;31;101;0;0;79;0;0;0;1;100;0;41;2;16
005;Alcalá de Henares;1;022;A;595;0;0;595;376;0;2;4;376;1;34;109;2;0;72;1;0;0;0;96;0;40;0;15
005;Alcalá de Henares;1;022;B;624;0;0;624;418;0;1;1;418;2;34;122;1;0;74;0;0;0;0;121;0;47;0;15
005;Alcalá de Henares;1;023;A;473;0;0;473;354;0;4;2;354;2;32;56;0;0;73;1;0;0;0;118;0;52;0;14
005;Alcalá de Henares;1;023;B;447;0;0;447;330;0;4;0;330;2;28;59;1;0;58;0;0;0;1;124;0;47;0;6
005;Alcalá de Henares;1;024;A;500;0;0;500;379;0;1;2;379;0;32;93;0;0;75;0;0;0;1;130;0;32;0;13
005;Alcalá de Henares;1;024;B;528;0;0;528;387;0;5;1;387;10;33;95;0;0;63;0;0;1;1;126;0;39;0;13
005;Alcalá de Henares;2;001;A;421;0;0;421;219;0;1;0;219;1;15;97;0;0;29;0;0;0;0;45;0;20;1;10
005;Alcalá de Henares;2;001;B;476;0;0;476;283;0;0;2;283;3;29;112;0;0;40;0;1;0;0;57;1;17;3;18
005;Alcalá de Henares;2;002;U;789;0;0;789;498;0;1;4;498;2;53;196;0;0;69;0;0;0;0;85;0;58;0;30
005;Alcalá de Henares;2;003;A;533;0;0;533;364;0;1;2;364;4;48;146;0;0;50;0;0;0;0;62;0;30;1;20
005;Alcalá de Henares;2;003;B;485;0;0;485;303;0;0;2;303;2;41;118;0;0;49;0;0;0;0;45;0;24;0;22
005;Alcalá de Henares;2;004;A;446;0;0;446;231;0;1;1;231;5;14;87;0;0;40;1;0;0;0;40;1;24;0;17
005;Alcalá de Henares;2;004;B;411;0;0;411;203;0;1;4;203;2;16;79;0;0;38;0;0;0;0;28;0;20;0;15
005;Alcalá de Henares;2;005;U;826;0;0;826;412;0;3;2;412;4;31;210;2;0;45;1;0;0;0;58;0;21;1;34
005;Alcalá de Henares;2;006;A;593;0;0;593;353;0;1;1;353;7;45;146;0;0;53;1;2;1;0;40;0;35;0;21
005;Alcalá de Henares;2;006;B;589;0;0;589;323;0;0;1;323;7;47;134;0;0;39;1;0;0;1;43;1;21;0;28
005;Alcalá de Henares;2;007;A;604;0;0;604;315;0;1;0;315;8;34;140;0;0;57;1;0;0;0;33;0;21;1;19
005;Alcalá de Henares;2;007;B;595;0;0;595;286;0;3;2;286;5;29;146;0;0;31;0;0;1;0;34;0;16;0;19
005;Alcalá de Henares;2;008;A;864;0;0;864;482;0;1;4;482;7;52;179;1;0;107;1;0;0;1;47;0;42;1;39
005;Alcalá de Henares;2;008;B;806;0;0;806;421;0;2;1;421;3;53;139;0;0;98;1;0;0;1;42;1;39;0;41
005;Alcalá de Henares;2;010;A;664;0;0;664;311;1;1;2;312;5;34;136;0;0;48;2;0;1;0;43;1;24;1;14
005;Alcalá de Henares;2;010;B;739;0;0;739;363;0;2;1;363;5;38;159;0;0;54;2;0;1;0;43;1;28;0;29
005;Alcalá de Henares;2;011;A;453;0;0;453;152;0;2;2;152;1;12;54;0;0;14;0;0;0;0;42;0;11;0;14
005;Alcalá de Henares;2;011;B;425;0;0;425;137;0;0;0;137;0;20;55;0;0;14;0;0;0;0;25;0;18;0;5
005;Alcalá de Henares;2;012;U;816;0;0;816;342;0;0;2;342;8;30;115;0;0;61;1;0;1;0;59;0;35;2;28
005;Alcalá de Henares;2;013;U;578;0;0;578;276;0;0;0;276;5;15;141;0;0;35;3;0;0;0;34;1;18;0;24
005;Alcalá de Henares;2;014;U;669;0;0;669;372;0;0;1;372;5;56;115;2;0;52;2;0;2;0;74;0;30;1;32
005;Alcalá de Henares;2;015;U;612;0;0;612;299;0;3;1;299;4;24;151;0;0;28;0;0;0;1;40;1;21;3;22
005;Alcalá de Henares;2;016;A;477;0;0;477;276;0;1;1;276;4;44;95;0;0;30;0;0;0;0;41;2;34;2;22
005;Alcalá de Henares;2;016;B;463;0;0;463;292;0;3;0;292;3;35;124;0;0;43;0;0;1;0;36;0;26;1;20
005;Alcalá de Henares;2;017;U;765;0;0;765;381;0;5;7;381;4;44;180;0;0;62;0;0;0;0;38;0;23;1;17
005;Alcalá de Henares;2;018;A;669;0;0;669;436;0;1;1;436;3;52;183;2;0;59;1;0;1;0;68;0;37;0;28
005;Alcalá de Henares;2;018;B;603;0;0;603;391;0;0;2;391;2;54;146;0;0;63;0;2;0;1;63;0;29;0;29
005;Alcalá de Henares;2;019;A;681;0;0;681;425;0;1;3;425;2;57;173;1;0;47;1;0;0;0;76;0;34;1;29
005;Alcalá de Henares;2;019;B;734;0;0;734;457;0;0;0;457;3;55;197;0;0;60;2;1;3;0;83;0;22;0;31
005;Alcalá de Henares;2;020;A;654;0;0;654;449;0;2;6;449;8;58;146;0;0;78;1;0;0;0;71;0;49;0;30
005;Alcalá de Henares;2;020;B;604;0;0;604;380;0;1;3;380;11;37;125;0;0;61;1;0;1;0;74;1;45;0;20
005;Alcalá de Henares;2;021;A;545;0;0;545;318;0;0;1;318;1;64;112;0;0;50;1;0;0;0;46;0;19;0;24
005;Alcalá de Henares;2;021;B;527;0;0;527;313;0;3;6;313;2;51;120;1;0;38;1;0;0;0;38;0;24;0;29
005;Alcalá de Henares;2;022;A;445;0;0;445;265;0;2;0;265;4;30;96;0;0;50;0;0;0;0;37;1;25;0;20
005;Alcalá de Henares;2;022;B;404;0;0;404;261;0;0;0;261;2;32;96;0;0;45;0;1;0;0;41;1;26;0;17
005;Alcalá de Henares;2;023;U;721;0;0;721;406;1;1;0;407;8;42;193;0;1;49;1;1;0;0;60;0;29;0;22
005;Alcalá de Henares;2;024;A;530;0;0;530;282;0;2;0;282;3;22;130;0;0;44;2;0;0;0;40;0;19;0;20
