_id,CODIGO,MUNICIPIO,CENSO,ABSTENCIONES,VOTOS,NULOS,VALIDOS,BLANCOS,A_CANDID,UPN,PSN-PSOE,HB,EA,IU,BATZARRE,EE,CDS,PAG,EAJ-PNV,P_CARL
1,000,Total Navarra,414922,138149,276773,2091,274682,3637,271045,96005,91645,30762,15170,11167,6543,5824,5650,3855,3071,1353
2,001,Abáigar,78,16,62,4,58,1,57,35,11,2,3,1,0,1,0,4,0,0
3,002,Abárzuza,423,147,276,2,274,3,271,125,51,28,23,6,5,9,4,13,6,1
4,003,Abaurregaina/Abaurrea Alta,179,67,112,1,111,1,110,19,37,42,2,2,1,1,2,4,0,0
5,004,Abaurrepea/Abaurrea Baja,46,21,25,0,25,0,25,9,9,2,1,0,0,1,1,2,0,0
6,005,Aberin,311,113,198,2,196,5,191,102,56,14,5,6,0,2,2,4,0,0
7,006,Ablitas,1894,413,1481,39,1442,16,1426,371,699,24,3,41,15,4,243,6,1,19
8,007,Adiós,116,45,71,0,71,3,68,42,15,6,0,3,0,1,1,0,0,0
9,008,Aguilar de Codés,132,58,74,2,72,0,72,25,32,2,0,0,1,1,1,10,0,0
10,009,Aibar <> Oibar,801,140,661,1,660,11,649,221,278,70,7,25,4,8,13,22,1,0
11,010,Altsasu/Alsasua,5551,1733,3818,47,3771,50,3721,526,1426,762,262,198,156,85,65,15,223,3
12,011,Allín,684,275,409,2,407,11,396,207,120,20,10,8,11,5,4,8,0,3
13,012,Allo,945,277,668,2,666,17,649,201,305,15,19,32,12,9,19,34,3,0
14,013,Améscoa Baja,787,424,363,4,359,3,356,187,94,17,3,10,9,5,14,14,2,1
15,014,Ancín,233,94,139,2,137,5,132,77,26,10,3,4,0,1,2,6,2,1
16,015,Andosilla,2031,514,1517,20,1497,20,1477,429,620,78,8,40,2,16,249,31,3,1
17,016,Ansoáin,3637,1504,2133,12,2121,16,2105,176,1060,265,45,209,271,45,21,3,7,3
18,017,Anue,389,148,241,8,233,18,215,85,45,28,29,5,3,4,4,7,5,0
19,018,Añorbe,361,125,236,0,236,10,226,95,84,16,3,5,4,9,5,2,3,0
20,019,Aoiz <> Agoitz,1502,235,1267,24,1243,16,1227,312,303,320,152,33,17,15,21,9,40,5
21,020,Araitz,606,246,360,6,354,7,347,121,13,142,57,4,3,3,0,0,4,0
22,021,Aranarache,90,25,65,0,65,1,64,26,23,5,0,5,0,0,0,5,0,0
23,022,Arantza,596,50,546,3,543,4,539,22,10,202,127,0,2,1,2,0,172,1
24,023,Aranguren,1122,501,621,15,606,20,586,164,148,60,16,34,118,12,17,7,9,1
25,024,Arano,151,73,78,0,78,0,78,6,4,24,26,0,1,1,0,0,14,2
26,025,Arakil,2207,631,1576,6,1570,23,1547,550,431,287,118,42,43,18,28,13,15,2
27,026,Aras,216,64,152,1,151,2,149,32,64,6,1,4,0,1,3,36,1,1
28,027,Arbizu,722,96,626,4,622,4,618,38,34,251,275,4,5,4,1,0,5,1
29,028,Arce <> Artzi,252,91,161,1,160,0,160,52,42,45,3,2,6,3,5,0,1,1
30,029,Los Arcos,1158,325,833,3,830,24,806,315,319,38,11,34,4,5,18,52,5,5
31,030,Arellano,190,65,125,1,124,1,123,15,46,17,6,4,2,10,1,20,1,1
32,031,Areso,265,33,232,3,229,6,223,58,32,75,38,1,2,3,7,0,7,0
33,032,Arguedas,1944,480,1464,7,1457,24,1433,368,853,60,4,37,19,5,20,62,3,2
34,033,Aria,63,42,21,0,21,0,21,4,3,2,4,0,1,0,0,5,1,1
35,034,Aribe,58,30,28,0,28,0,28,10,10,4,2,0,0,0,2,0,0,0
36,035,Armañanzas,114,32,82,0,82,1,81,13,36,5,1,0,0,1,6,19,0,0
37,036,Arróniz,1107,340,767,21,746,12,734,203,326,93,12,43,6,13,8,26,4,0
38,037,Arruazu,100,19,81,0,81,0,81,24,2,20,33,1,0,1,0,0,0,0
39,038,Artajona,1435,348,1087,14,1073,24,1049,435,356,92,13,34,5,19,14,29,4,48
40,039,Artazu,90,23,67,1,66,3,63,17,30,9,4,2,0,1,0,0,0,0
41,040,Atez,155,72,83,0,83,0,83,41,17,14,2,0,0,2,3,4,0,0
42,041,Ayegui,572,153,419,0,419,12,407,147,100,68,38,20,9,7,6,8,1,3
43,042,Azagra,2624,401,2223,13,2210,22,2188,870,1182,11,5,34,1,6,18,61,0,0
44,043,Azuelo,74,27,47,0,47,2,45,31,9,0,1,3,0,0,0,1,0,0
45,044,Bakaiku,293,65,228,4,224,6,218,29,16,97,58,1,2,3,7,0,4,1
46,045,Barásoain,372,56,316,0,316,8,308,150,86,30,3,11,1,14,11,2,0,0
47,046,Barbarin,118,22,96,2,94,4,90,50,15,0,2,5,0,0,1,12,4,1
48,047,Bargota,369,120,249,3,246,6,240,63,85,27,19,5,1,3,7,11,6,13
49,048,Barillas,167,16,151,5,146,2,144,83,34,4,1,8,2,1,7,3,1,0
50,049,Basaburua,697,107,590,15,575,3,572,193,53,214,79,3,3,10,4,2,11,0
51,050,Baztan,6357,1435,4922,39,4883,35,4848,1977,607,638,1304,16,26,172,41,37,27,3
52,051,Beire,303,84,219,0,219,3,216,91,78,19,1,11,1,3,3,7,1,1
53,052,Belascoáin,71,10,61,2,59,0,59,21,11,2,3,1,6,6,5,4,0,0
54,053,Berbinzana,660,110,550,5,545,8,537,219,207,62,6,18,4,8,3,7,0,3
55,054,Bertizarana,506,129,377,4,373,12,361,85,72,33,129,0,7,10,10,4,10,1
56,055,Betelu,294,129,165,1,164,6,158,39,16,43,41,5,0,2,3,2,7,0
57,056,Biurrun-Olcoz,142,46,96,0,96,1,95,53,14,11,2,7,0,4,0,1,1,2
58,057,Buñuel,1977,426,1551,6,1545,21,1524,567,645,15,0,21,12,11,28,221,1,3
