_id,CODIGO,MUNICIPIO,CENSO,ABSTENCIONES,VOTOS,NULOS,VALIDOS,BLANCOS,CANDIDATURAS,UPN,PSN-PSOE,CDN,IU-EB,HB,EA,BATZARRE,NA,PIE,P_CARLISTA
1,000,Total Navarra,437776,138231,299545,2366,297179,5761,291418,93163,62021,55153,27773,27404,13568,6509,2943,2041,843
2,001,Abáigar,73,15,58,0,58,2,56,27,4,14,1,5,2,0,3,0,0
3,002,Abárzuza,428,115,313,1,312,7,305,107,24,98,22,26,17,1,1,7,2
4,003,Abaurregaina/Abaurrea Alta,168,70,98,0,98,0,98,25,17,17,4,32,3,0,0,0,0
5,004,Abaurrepea/Abaurrea Baja,43,18,25,0,25,2,23,9,1,10,0,1,0,0,2,0,0
6,005,Aberin,301,129,172,0,172,5,167,84,36,9,20,12,2,0,1,3,0
7,006,Ablitas,1893,361,1532,22,1510,29,1481,491,642,188,116,17,4,13,1,8,1
8,007,Adiós,109,28,81,3,78,4,74,35,7,15,10,5,0,0,0,0,2
9,008,Aguilar de Codés,112,31,81,0,81,2,79,42,21,9,2,1,0,1,0,3,0
10,009,Aibar <> Oibar,783,201,582,4,578,25,553,181,155,79,64,47,15,9,2,1,0
11,010,Altsasu/Alsasua,5640,1903,3737,53,3684,57,3627,458,1017,460,427,666,262,107,211,15,4
12,011,Allín,713,339,374,0,374,5,369,182,44,73,28,24,4,10,0,1,3
13,012,Allo,928,284,644,9,635,20,615,222,174,78,104,11,13,2,6,5,0
14,013,Améscoa Baja,748,300,448,3,445,13,432,190,51,105,40,19,6,7,4,9,1
15,014,Ancín,262,114,148,0,148,2,146,67,14,30,13,9,6,3,1,3,0
16,015,Andosilla,2074,528,1546,20,1526,38,1488,414,346,437,175,78,13,1,8,13,3
17,016,Ansoáin,4118,1607,2511,13,2498,47,2451,240,774,351,487,285,50,239,13,9,3
18,017,Anue,397,163,234,2,232,8,224,49,20,79,17,31,21,4,1,2,0
19,018,Añorbe,356,117,239,0,239,7,232,76,49,71,20,11,1,2,2,0,0
20,019,Aoiz <> Agoitz,1536,227,1309,9,1300,25,1275,321,178,198,122,306,84,28,24,13,1
21,020,Araitz,553,207,346,2,344,2,342,134,6,62,6,104,22,4,3,0,1
22,021,Aranarache,79,26,53,0,53,1,52,18,12,4,2,8,0,4,0,1,3
23,022,Arantza,614,82,532,2,530,7,523,46,26,54,3,163,76,1,153,1,0
24,023,Aranguren,1720,492,1228,15,1213,37,1176,207,181,385,166,120,31,74,5,4,3
25,024,Arano,149,66,83,0,83,3,80,10,0,12,1,35,16,1,4,0,1
26,025,Arakil,732,287,445,1,444,10,434,152,39,120,32,54,20,11,4,0,2
27,026,Aras,217,33,184,0,184,5,179,55,52,42,15,3,0,1,0,9,2
28,027,Arbizu,737,103,634,1,633,8,625,38,9,57,5,252,251,6,6,0,1
29,028,Arce <> Artzi,252,68,184,1,183,2,181,25,25,55,17,44,5,7,2,1,0
30,029,Los Arcos,1183,293,890,12,878,21,857,386,186,99,62,50,3,12,7,48,4
31,030,Arellano,187,70,117,1,116,3,113,25,35,27,6,13,3,0,4,0,0
32,031,Areso,241,27,214,0,214,2,212,34,2,93,2,65,12,0,4,0,0
33,032,Arguedas,1889,372,1517,13,1504,27,1477,620,568,124,91,42,4,20,6,2,0
34,033,Aria,61,28,33,1,32,0,32,8,1,9,6,5,0,1,1,1,0
35,034,Aribe,63,34,29,0,29,1,28,7,2,11,3,3,1,1,0,0,0
36,035,Armañanzas,103,30,73,0,73,1,72,29,21,6,5,0,1,3,0,7,0
37,036,Arróniz,1048,263,785,17,768,18,750,249,220,71,99,79,14,8,4,6,0
38,037,Arruazu,105,22,83,0,83,0,83,24,1,14,1,16,26,1,0,0,0
39,038,Artajona,1418,287,1131,13,1118,35,1083,442,245,224,73,55,22,3,4,2,13
40,039,Artazu,88,16,72,2,70,7,63,21,12,11,6,10,2,0,1,0,0
41,040,Atez,200,37,163,1,162,0,162,43,12,55,9,23,12,4,2,2,0
42,041,Ayegui,663,223,440,5,435,9,426,146,60,80,45,28,55,2,7,2,1
43,042,Azagra,2760,394,2366,23,2343,21,2322,837,1159,221,68,8,6,4,3,14,2
44,043,Azuelo,64,14,50,0,50,3,47,36,4,2,5,0,0,0,0,0,0
45,044,Bakaiku,294,52,242,1,241,3,238,25,13,36,6,94,59,1,3,1,0
46,045,Barásoain,367,99,268,0,268,1,267,58,36,140,13,14,0,3,2,1,0
47,046,Barbarin,105,44,61,0,61,1,60,31,7,16,3,0,0,0,1,2,0
48,047,Bargota,369,84,285,1,284,9,275,91,73,19,13,32,16,1,8,9,13
49,048,Barillas,171,27,144,2,142,2,140,95,27,4,8,1,1,1,2,1,0
50,049,Basaburua,636,146,490,2,488,8,480,106,16,109,6,146,92,1,3,1,0
51,050,Baztan,6505,2323,4182,35,4147,54,4093,1471,299,541,66,489,1141,43,38,5,0
52,051,Beire,303,78,225,1,224,3,221,89,60,29,16,20,0,2,1,3,1
53,052,Belascoáin,78,23,55,0,55,0,55,12,6,22,5,2,1,3,0,4,0
54,053,Berbinzana,631,89,542,3,539,10,529,235,157,52,29,41,7,6,0,2,0
55,054,Bertizarana,521,127,394,3,391,16,375,52,37,85,12,42,140,1,5,1,0
56,055,Betelu,285,119,166,2,164,5,159,22,13,48,3,46,18,0,8,1,0
57,056,Biurrun-Olcoz,151,41,110,1,109,3,106,27,13,42,4,9,7,2,0,2,0
58,057,Buñuel,1958,379,1579,26,1553,23,1530,769,583,93,54,8,2,6,3,7,5
59,058,Auritz/Burguete,263,47,216,3,213,7,206,48,22,72,7,21,19,8,8,0,1
60,059,Burgui <> Burgi,223,70,153,1,152,5,147,39,26,53,8,16,3,1,0,0,1
61,060,Burlada <> Burlata,12414,5412,7002,44,6958,141,6817,1616,1439,1429,1006,855,202,193,37,36,4
62,061,El Busto,100,15,85,0,85,1,84,24,25,28,0,1,2,0,1,3,0
63,062,Cabanillas,1168,128,1040,1,1039,19,1020,358,533,33,63,20,1,10,0,0,2
64,063,Cabredo,132,28,104,2,102,1,101,65,18,10,1,0,4,0,2,0,1
65,064,Cadreita,1539,245,1294,15,1279,23,1256,533,474,107,64,55,16,3,0,4,0
66,065,Caparroso,1946,360,1586,18,1568,35,1533,615,597,195,47,49,7,11,3,8,1
67,066,Cárcar,1053,99,954,8,946,17,929,439,369,56,47,10,2,1,2,2,1
68,067,Carcastillo,2124,411,1713,14,1699,26,1673,571,586,212,94,56,38,22,16,72,6
69,068,Cascante,2942,505,2437,19,2418,40,2378,873,1050,194,140,46,4,37,5,23,6
70,069,Cáseda,902,125,777,10,767,16,751,312,203,129,69,29,3,4,0,2,0
71,070,Castejón,2658,582,2076,37,2039,36,2003,455,983,85,432,23,3,9,2,8,3
72,071,Castillo-Nuevo,26,4,22,0,22,0,22,5,13,1,2,0,0,0,0,1,0
73,072,Cintruénigo,4402,1047,3355,14,3341,53,3288,1724,1203,114,160,44,7,28,2,4,2
74,073,Ziordia,328,111,217,0,217,5,212,28,37,31,10,81,12,1,7,4,1
75,074,Cirauqui,417,90,327,0,327,9,318,87,45,52,30,43,12,5,1,4,39
76,075,Ciriza,48,17,31,0,31,0,31,10,5,7,4,0,2,3,0,0,0
77,076,Cizur,878,202,676,6,670,17,653,230,55,249,51,21,24,17,1,3,2
