_id,C. Municipio,Municipio,Censo,Participacion,Abstencion,Validos,Blanco,Nulos,UPN,PSN-PSOE,CDN,EKA,IUN-NEB,RCN-NOK,NA-BAI
1,0,Total Navarra,471647,347851,123796,329755,4580,18096,139122,74157,14418,541,14337,4707,77893
2,1,Abáigar,89,68,21,67,3,1,24,9,3,0,2,1,25
3,2,Abárzuza,448,301,147,299,2,2,140,22,18,0,7,6,104
4,3,Abaurregaina/Abaurrea Alta,136,102,34,92,2,10,30,21,5,0,1,0,33
5,4,Abaurrepea/Abaurrea Baja,37,25,12,25,0,0,9,3,4,0,2,0,7
6,5,Aberin,299,209,90,201,5,8,97,45,1,0,13,6,34
7,6,Ablitas,1935,1536,399,1519,17,17,776,535,28,2,89,10,62
8,7,Adiós,137,109,28,106,1,3,57,11,6,1,7,2,21
9,8,Aguilar de Codés,101,91,10,89,0,2,57,17,5,0,0,2,8
10,9,Aibar/Oibar,753,519,234,499,10,20,193,122,25,0,11,10,128
11,10,Altsasu/Alsasua,5900,3782,2118,3167,51,615,828,766,64,3,198,78,1179
12,11,Allín,654,426,228,412,7,14,211,60,24,1,16,11,82
13,12,Allo,908,765,143,753,14,12,362,201,14,0,44,26,92
14,13,Améscoa Baja,700,418,282,413,4,5,158,54,17,1,20,5,154
15,14,Ancín,262,197,65,190,3,7,106,26,9,0,6,3,37
16,15,Andosilla,2044,1572,472,1553,25,19,698,504,106,7,24,16,173
17,16,Ansoáin,7305,4994,2311,4668,52,326,980,1305,118,4,374,93,1742
18,17,Anue,321,235,86,205,5,30,70,19,23,0,5,2,81
19,18,Añorbe,407,333,74,324,7,9,130,69,13,2,16,10,77
20,19,Aoiz/Agoitz,1706,1306,400,1022,25,284,404,188,24,1,28,21,331
21,20,Araitz,512,323,189,179,4,144,49,7,2,0,3,1,113
22,21,Aranarache,74,54,20,54,1,0,23,12,0,0,2,0,16
23,22,Arantza,570,493,77,350,10,143,63,21,15,0,0,2,239
24,23,Aranguren,4516,3557,959,3455,79,102,1470,523,240,7,172,56,908
25,24,Arano,122,50,72,34,0,16,3,1,4,0,0,0,26
26,25,Arakil,758,542,216,469,5,73,180,55,15,0,14,8,192
27,26,Aras,175,146,29,143,1,3,68,57,2,1,2,1,11
28,27,Arbizu,782,599,183,352,7,247,54,14,8,0,6,1,262
29,28,Arce/Artzi,237,179,58,165,2,14,46,17,15,1,2,5,77
30,29,Arcos (Los),1051,849,202,834,10,15,461,178,28,2,36,15,104
31,30,Arellano,158,133,25,130,1,3,30,27,7,1,6,3,55
32,31,Areso,245,215,30,154,3,61,14,11,45,0,4,0,77
33,32,Arguedas,1836,1525,311,1505,31,20,742,573,30,4,33,16,76
34,33,Aria,57,31,26,26,0,5,13,3,5,0,1,0,4
35,34,Aribe,54,41,13,35,2,6,13,3,0,0,2,1,14
36,35,Armañanzas,66,53,13,52,0,1,31,16,0,0,0,2,3
37,36,Arróniz,981,713,268,703,8,10,287,174,31,0,42,8,153
38,37,Arruazu,91,72,19,58,0,14,13,1,1,0,1,0,42
39,38,Artajona,1379,1142,237,1118,26,24,517,268,45,1,57,16,188
40,39,Artazu,95,76,19,73,1,3,26,14,3,0,4,3,22
41,40,Atez,202,174,28,156,3,18,55,32,15,0,5,0,46
42,41,Ayegui,1180,879,301,852,19,27,343,133,43,3,47,26,238
43,42,Azagra,2714,2124,590,2104,28,20,924,1007,29,2,63,10,41
44,43,Azuelo,54,45,9,45,0,0,18,15,7,0,2,0,3
45,44,Bakaiku,285,250,35,169,5,81,30,6,8,0,4,0,116
46,45,Barásoain,438,382,56,373,9,9,126,87,46,1,17,6,81
47,46,Barbarin,71,60,11,60,0,0,47,10,3,0,0,0,0
48,47,Bargota,307,220,87,205,1,15,103,60,6,0,1,1,33
49,48,Barillas,165,146,19,146,1,0,109,16,2,0,8,0,10
50,49,Basaburua,720,534,186,388,0,146,121,22,12,0,10,6,217
51,50,Baztan,6369,4606,1763,4066,66,540,1557,264,97,1,41,24,2016
52,51,Beire,257,190,67,188,1,2,83,55,15,0,4,4,26
53,52,Belascoáin,79,64,15,61,1,3,31,8,5,2,4,2,8
54,53,Berbinzana,585,502,83,496,3,6,210,135,15,0,16,10,107
55,54,Bertizarana,517,316,201,316,0,0,92,36,8,2,10,2,166
56,55,Betelu,279,194,85,183,3,11,26,13,3,2,1,0,135
57,56,Biurrun-Olcoz,172,117,55,113,4,4,44,12,18,0,2,5,28
58,57,Buñuel,1900,1705,195,1692,18,13,1022,551,40,1,16,7,37
59,58,Auritz/Burguete,263,209,54,205,2,4,77,15,5,0,5,2,99
60,59,Burgui/Burgi,210,171,39,145,0,26,40,32,24,0,5,6,38
61,60,Burlada/Burlata,13125,8817,4308,8311,112,506,2665,1898,468,12,454,221,2481
62,61,Busto (El),73,62,11,62,2,0,27,14,13,0,0,3,3
63,62,Cabanillas,1113,984,129,962,20,22,388,432,9,7,40,26,40
64,63,Cabredo,96,84,12,80,0,4,50,16,0,0,1,1,12
65,64,Cadreita,1499,1337,162,1328,13,9,626,546,24,0,20,11,88
66,65,Caparroso,1917,1616,301,1584,18,32,784,598,20,0,19,24,121
67,66,Cárcar,976,888,88,874,11,14,398,380,9,1,16,8,51
68,67,Carcastillo,2038,1665,373,1651,18,14,830,499,61,3,55,33,152
69,68,Cascante,3053,2505,548,2459,27,46,1121,1006,36,8,67,40,154
70,69,Cáseda,894,768,126,739,11,29,370,197,24,0,23,11,103
71,70,Castejón,2761,2123,638,2092,34,31,871,882,18,0,167,30,90
72,71,Castillonuevo,18,15,3,15,0,0,10,5,0,0,0,0,0
73,72,Cintruénigo,4809,3929,880,3909,41,20,1989,1426,181,2,87,44,139
74,73,Ziordia,306,242,64,157,3,85,52,12,1,0,3,0,86
75,74,Cirauqui,421,326,95,299,11,27,125,38,9,10,0,6,100
76,75,Ciriza,99,62,37,57,0,5,18,6,2,0,2,0,29
77,76,Cizur,1735,1421,314,1386,28,35,745,184,83,0,37,33,276
78,77,Corella,5420,4478,942,4420,38,58,2829,1214,40,0,151,28,120
79,78,Cortes,2556,2067,489,2028,43,39,887,843,48,0,49,27,131
80,79,Desojo,102,94,8,94,0,0,63,15,1,1,2,0,12
81,80,Dicastillo,571,446,125,437,4,9,191,109,15,7,16,11,84
82,81,Donamaria,334,223,111,202,2,21,51,12,13,0,2,0,122
83,82,Etxalar,649,487,162,382,14,105,89,15,11,0,4,0,249
84,83,Echarri,54,43,11,38,3,5,14,2,0,0,3,2,14
85,84,Etxarri-Aranatz,1930,1385,545,926,10,459,207,61,34,1,11,5,597
86,85,Etxauri,424,335,89,271,5,64,53,36,12,0,13,5,147
87,86,Eg és,4904,3804,1100,3699,53,105,1971,463,197,3,161,63,788
88,87,Elgorriaga,170,156,14,133,0,23,28,5,14,0,1,1,84
89,88,Noáin (Valle de Elorz)/Noain (Elortzibar),4088,2831,1257,2737,42,94,1250,523,125,4,115,72,606
90,89,Enériz,217,172,45,172,4,0,89,9,44,0,5,0,21
91,90,Eratsun,161,85,76,84,0,1,19,4,4,0,2,0,55
92,91,Ergoiena,393,290,103,231,8,59,33,19,10,5,2,0,154
93,92,Erro,648,492,156,450,5,42,148,57,35,0,8,1,196
94,93,Ezcároz/Ezkaroze,323,290,33,269,1,21,58,54,29,0,7,2,118
95,94,Eslava,133,98,35,93,4,5,58,18,2,0,0,0,11
96,95,Esparza de Salazar,98,85,13,66,1,19,12,23,1,0,2,2,25
97,96,Espronceda,140,113,27,100,1,13,58,17,2,4,4,2,12
98,97,Estella/Lizarra,10454,7512,2942,7080,72,432,3240,1261,356,16,289,140,1706
99,98,Esteribar,1519,1180,339,1111,31,69,419,122,63,0,32,20,424
100,99,Etayo,70,69,1,69,0,0,35,10,3,0,2,0,19
101,100,Eulate,308,211,97,209,1,2,122,24,10,0,4,5,43
102,101,Ezcabarte,1230,897,333,819,10,78,304,97,69,2,34,16,287
103,102,Ezkurra,180,92,88,81,1,11,16,5,3,0,7,3,46
104,103,Ezprogui,52,39,13,37,2,2,25,8,0,0,1,0,1
105,104,Falces,2038,1523,515,1475,25,48,617,489,61,2,70,16,195
106,105,Fitero,1723,1542,181,1533,13,9,860,594,14,0,15,4,33
107,106,Fontellas,635,546,89,544,1,2,278,219,6,1,7,4,28
108,107,Funes,1706,1459,247,1451,18,8,1050,292,36,1,17,7,30
109,108,Fustiñana,1980,1704,276,1688,24,16,966,568,10,3,31,15,71
110,109,Galar,1147,910,237,833,12,77,284,142,73,2,46,15,259
111,110,Gallipienzo,123,83,40,81,1,2,32,26,5,0,5,0,12
112,111,Gallués/Galoze,104,84,20,79,0,5,23,12,9,0,2,6,27
113,112,Garaioa,112,76,36,73,0,3,25,6,12,0,5,2,23
114,113,Garde,160,109,51,108,0,1,45,23,5,0,3,2,30
115,114,Garínoain,368,296,72,285,5,11,104,64,23,1,19,19,50
116,115,Garralda,179,128,51,120,2,8,30,9,9,0,8,1,61
117,116,Genevilla,91,66,25,64,2,2,46,8,0,0,1,1,6
118,117,Goizueta,699,586,113,302,8,284,18,10,11,0,4,2,249
119,118,Goñi,169,113,56,113,3,0,37,16,5,1,8,1,42
120,119,G esa/Gorza,62,35,27,35,0,0,13,6,4,0,2,1,9
121,120,Guesálaz,415,302,113,289,4,13,118,31,18,2,7,3,106
122,121,Guirguillano,80,58,22,57,3,1,24,5,5,0,4,1,15
123,122,Huarte/Uharte,3888,2914,974,2691,45,223,885,424,172,0,122,52,991
124,123,Uharte-Arakil,621,448,173,391,16,57,123,50,28,0,7,14,153
125,124,Ibargoiti,222,174,48,171,2,3,95,17,11,0,4,7,35
126,125,Igúzquiza,276,193,83,180,3,13,106,22,10,2,0,4,33
127,126,Imotz,380,214,166,213,3,1,51,23,6,0,5,3,122
128,127,Irañeta,139,94,45,78,4,16,39,7,3,0,2,6,17
129,128,Isaba/Izaba,401,346,55,317,16,29,111,48,21,1,29,10,81
130,129,Ituren,394,274,120,217,6,57,32,18,7,0,0,1,153
131,130,Iturmendi,300,218,82,182,2,36,90,22,7,0,4,0,57
132,131,Iza,727,560,167,547,10,13,229,49,40,2,24,8,185
133,132,Izagaondoa,157,127,30,119,4,8,46,14,13,0,5,2,35
134,133,Izalzu/Itzaltzu,45,37,8,26,0,11,6,10,1,0,0,0,9
135,134,Jaurrieta,203,148,55,135,1,13,58,22,7,0,5,2,40
136,135,Javier,101,77,24,77,5,0,46,14,7,0,1,1,3
137,136,Juslapeña,421,288,133,249,9,39,79,30,18,0,16,6,91
138,137,Beintza-Labaien,222,123,99,122,1,1,52,7,5,0,1,1,55
139,138,Lakuntza,895,752,143,517,10,235,94,59,16,2,17,7,312
