_id,C. Municipio,Municipio,Censo,Participacion,Abstencion,Validos,Blanco,Nulos,UPN,ECOLO,PP,PSN-PSOE,UPyD,SAIn,NA-BAI2011,CDN,IXN,BILDU,RCN-NOK,IZQ-EZK,DNE
1,0,Total Navarra ,485386,327278,158109,323254,8161,4027,111474,4235,23551,51238,2212,1054,49827,4654,1332,42916,3166,18457,977
2,1,Abáigar,89,64,25,63,3,1,18,3,3,6,0,0,14,3,0,13,0,0,0
3,2,Abárzuza/Abartzuza,419,311,108,307,12,4,116,1,18,18,0,0,74,10,1,43,2,8,4
4,3,Abaurregaina/Abaurrea Alta,132,83,49,83,1,0,21,2,4,9,0,0,25,0,0,20,0,1,0
5,4,Abaurrepea/Abaurrea Baja,38,23,15,23,1,0,14,0,0,1,0,0,4,0,0,3,0,0,0
6,5,Aberin,304,193,111,191,10,2,62,2,21,26,0,1,28,3,0,21,2,15,0
7,6,Ablitas,1978,1465,514,1441,53,24,648,9,117,366,6,2,72,9,2,15,4,129,9
8,7,Adiós,138,99,39,94,3,5,37,3,9,10,1,0,11,2,2,11,1,4,0
9,8,Aguilar de Codés,99,68,31,67,1,1,26,0,19,12,0,0,7,0,0,1,0,1,0
10,9,Aibar,714,583,131,573,16,10,177,4,35,100,3,1,113,13,1,77,3,30,0
11,10,Altsasu/Alsasua,5786,3474,2312,3409,61,65,489,52,257,506,12,2,805,19,5,964,29,194,14
12,11,Allín,683,441,242,437,20,4,162,11,28,31,8,2,67,18,0,58,6,25,1
13,12,Allo,837,681,156,662,13,19,198,18,82,166,2,2,57,9,4,62,18,31,0
14,13,Améscoa Baja,678,435,244,430,10,5,128,15,29,27,1,8,91,12,2,79,1,26,1
15,14,Ancín,279,181,98,179,1,2,61,3,22,21,1,2,20,2,0,37,3,6,0
16,15,Andosilla,1983,1449,535,1430,42,19,645,11,95,350,4,1,108,39,5,62,4,60,4
17,16,Ansoáin/Antsoain,7353,4770,2583,4716,100,54,778,93,191,1003,24,10,1083,49,13,818,74,473,7
18,17,Anue,354,195,159,193,6,2,51,1,7,5,6,1,52,0,0,61,3,0,0
19,18,Añorbe,421,314,107,307,10,7,112,6,20,48,2,0,44,6,4,34,11,10,0
20,19,Aoiz/Agoitz,1835,1393,442,1383,40,10,334,12,45,94,9,0,205,22,1,549,16,56,0
21,20,Araitz,483,264,219,263,1,1,21,4,3,0,0,0,44,2,0,187,0,1,0
22,21,Aranarache,76,52,24,52,2,0,18,0,2,5,0,0,8,0,0,16,0,1,0
23,22,Arantza,546,404,142,392,4,12,25,4,24,12,0,0,76,0,1,241,0,5,0
24,23,Aranguren,5252,3885,1367,3846,149,39,1540,124,241,364,54,16,692,80,7,318,54,198,9
25,24,Arano,114,48,66,48,0,0,2,0,0,0,1,0,13,0,0,29,0,3,0
26,25,Arakil,755,509,246,507,13,2,130,10,17,19,3,0,143,8,1,129,12,18,4
27,26,Aras,157,112,45,111,1,1,26,3,26,36,1,0,7,0,0,7,1,2,1
28,27,Arbizu,824,575,249,571,2,4,41,1,8,4,2,2,145,1,0,354,0,6,5
29,28,Arce/Artzi,220,185,35,184,1,1,45,2,8,9,0,1,38,8,0,60,3,8,1
30,29,Los Arcos,1006,764,242,754,19,10,362,5,48,149,5,0,77,12,1,50,0,25,1
31,30,Arellano,153,104,49,104,3,0,15,2,9,15,1,0,19,0,0,33,2,4,1
32,31,Areso,237,169,68,166,6,3,20,1,8,1,0,1,32,9,0,86,0,1,1
33,32,Arguedas,1795,1453,342,1431,43,22,579,3,63,609,2,0,45,14,1,24,3,45,0
34,33,Aria,54,28,26,27,1,1,10,0,3,0,0,0,4,1,0,5,0,3,0
35,34,Aribe,43,30,12,29,1,1,7,0,2,0,1,0,7,0,0,9,0,2,0
36,35,Armañanzas,61,44,17,44,0,0,18,1,6,11,0,0,1,1,0,0,1,1,4
37,36,Arróniz,949,679,269,658,28,21,189,11,51,145,0,2,79,4,2,88,6,50,3
38,37,Arruazu,93,71,22,70,0,1,3,1,2,1,0,1,19,0,0,40,3,0,0
39,38,Artajona,1366,1085,281,1076,30,9,425,5,44,132,12,0,109,13,201,66,9,30,0
40,39,Artazu,93,57,36,56,0,1,17,3,4,6,0,0,12,0,1,7,0,5,1
41,40,Atez,199,174,25,174,13,0,51,4,6,14,0,1,39,1,0,33,2,8,2
42,41,Ayegui,1334,883,451,878,34,5,277,24,81,112,12,0,133,22,0,125,5,49,4
43,42,Azagra,2694,2048,646,2006,54,42,857,3,150,790,5,3,45,41,3,21,9,22,3
44,43,Azuelo,42,34,8,34,1,0,15,0,2,7,0,0,3,5,0,0,0,1,0
45,44,Bakaiku,276,222,54,218,2,4,28,0,10,4,0,0,55,2,0,116,0,1,0
46,45,Barásoain,492,375,117,374,15,1,118,4,9,62,5,0,62,9,15,43,7,25,0
47,46,Barbarin,59,43,16,43,3,0,24,1,4,5,1,0,1,2,0,1,1,0,0
48,47,Bargota,283,200,84,198,3,2,62,0,27,47,1,0,14,4,0,35,0,4,1
49,48,Barillas,156,135,21,134,4,1,84,0,22,6,0,0,6,1,0,0,0,11,0
50,49,Basaburua,739,471,268,469,2,2,75,3,12,9,0,1,90,3,0,265,1,8,0
51,50,Baztan,6260,4503,1757,4450,89,53,1446,20,159,229,5,7,900,39,2,1401,23,124,6
52,51,Beire,269,181,88,180,7,1,47,1,14,26,0,1,11,45,1,20,4,3,0
53,52,Belascoáin,86,56,30,54,3,2,20,2,7,4,0,1,4,0,0,4,3,5,1
54,53,Berbinzana,596,472,124,465,5,7,187,5,21,103,1,2,74,7,4,42,4,10,0
55,54,Bertizarana,503,360,143,355,7,5,63,1,20,22,2,0,78,4,2,150,2,4,0
56,55,Betelu,264,177,87,176,5,1,12,0,9,9,0,1,73,1,0,65,1,0,0
57,56,Biurrun-Olcoz,178,114,61,114,2,0,39,2,11,8,0,2,15,7,1,22,2,3,0
58,57,Buñuel,1862,1575,287,1555,31,20,815,1,151,422,5,1,44,17,1,20,5,38,4
59,58,Auritz/Burguete,241,197,44,196,12,1,55,0,8,8,2,0,77,0,0,27,2,4,1
60,59,Burgui/Burgi,207,143,64,142,0,1,35,2,6,21,1,0,32,4,0,34,3,4,0
61,60,Burlada/Burlata,12897,7968,4931,7877,204,91,2078,131,581,1219,50,23,1549,92,21,1276,148,496,9
62,61,El Busto,67,54,13,53,1,1,22,1,5,14,0,0,2,6,0,1,1,0,0
63,62,Cabanillas,1104,895,208,876,28,19,316,9,66,329,2,0,35,2,1,13,5,67,3
64,63,Cabredo,98,92,6,89,1,3,46,4,2,10,1,0,10,0,1,13,0,1,0
65,64,Cadreita,1502,1324,178,1310,15,14,643,1,55,450,0,1,84,8,0,24,12,17,0
66,65,Caparroso,1906,1559,347,1539,42,20,646,2,152,412,4,1,74,6,89,77,4,30,0
67,66,Cárcar,931,766,165,761,34,5,306,0,62,248,0,1,35,11,2,20,7,34,1
68,67,Carcastillo,1991,1515,476,1481,37,34,625,11,108,392,1,6,164,13,4,47,14,53,6
69,68,Cascante,3005,2300,705,2238,54,62,883,14,159,802,20,2,110,14,7,55,10,105,3
70,69,Cáseda,861,714,147,697,12,17,288,5,58,143,3,1,59,15,2,81,8,22,0
71,70,Castejón,2723,2069,654,2027,47,42,705,9,198,657,7,0,86,16,1,70,18,209,4
72,71,Castillonuevo,17,17,0,17,0,0,13,0,1,3,0,0,0,0,0,0,0,0,0
73,72,Cintruénigo,5068,3877,1191,3826,118,51,1692,36,345,1156,16,6,146,117,11,69,22,90,2
74,73,Ziordia,334,274,60,273,0,1,39,2,25,13,0,0,74,0,0,115,2,3,0
75,74,Cirauqui,429,336,93,333,11,3,97,8,15,27,2,1,63,2,1,92,3,10,1
76,75,Ciriza/Ziritza,97,68,29,66,3,2,17,2,8,5,0,0,14,0,0,11,0,6,0
77,76,Cizur,2273,1754,519,1742,30,12,875,38,141,122,22,6,218,38,10,154,26,50,12
78,77,Corella,5347,4038,1312,3954,96,84,2083,41,274,1013,27,8,158,20,7,52,22,142,11
79,78,Cortes,2518,1980,539,1950,49,30,786,13,208,663,4,1,91,6,3,61,9,45,11
80,79,Desojo,98,78,20,78,2,0,50,3,1,7,0,0,6,1,0,3,0,5,0
81,80,Dicastillo,539,460,79,457,16,3,122,6,44,89,3,2,78,2,2,47,3,40,3
