Codcir,Codmun,Municipio,Censo,Certif_Alta,Censo_Total,Votos_Totales,Votos_Nulos,Votos_Blancos,Abstención,Votos_Validos,Votos_Candidaturas,PPN,GEROA_BAI,EH_BILDU,VOX,UPN,PUM_MAS_J,CIUDADANOS,CONTIGO_ZUREKIN,EGUZKILORE,PSN-PSOE,VOLUNTAD_FORAL
31,1,Abáigar,72,0,72,54,2,1,18,52,51,2,8,16,0,14,0,0,2,0,8,1
31,2,Abárzuza/Abartzuza,418,0,418,274,1,8,144,273,265,16,68,53,12,67,0,3,20,0,26,0
31,3,Abaurregaina/Abaurrea Alta,106,0,106,79,1,0,27,78,78,2,17,33,0,13,1,0,1,0,11,0
31,4,Abaurrepea/Abaurrea Baja,29,0,29,22,0,0,7,22,22,1,2,5,0,10,0,0,1,0,3,0
31,5,Aberin,295,0,295,177,1,1,118,176,175,7,10,25,9,64,1,0,10,1,48,0
31,6,Ablitas,1888,0,1888,1532,41,39,356,1491,1452,51,45,50,85,615,2,4,66,4,526,4
31,7,Adiós,170,0,170,139,8,4,31,131,127,18,11,24,8,44,0,2,2,1,17,0
31,8,Aguilar de Codés,67,0,67,50,1,1,17,49,48,4,5,4,3,13,0,1,1,1,11,5
31,9,Aibar/Oibar,661,0,661,445,8,7,216,437,430,16,80,90,6,106,1,4,42,0,84,1
31,11,Allín/Allin,730,0,730,474,2,19,256,472,453,28,63,82,15,157,0,1,30,9,68,0
31,12,Allo,788,0,788,542,1,0,246,541,541,32,57,57,23,121,1,0,22,3,225,0
31,10,Altsasu/Alsasua,5653,0,5653,3545,48,57,2108,3497,3440,117,1292,933,61,308,6,2,179,10,527,5
31,13,Améscoa Baja,639,0,639,353,6,8,286,347,339,18,56,102,3,77,1,0,27,11,44,0
31,14,Ancín/Antzin,276,0,276,184,4,3,92,180,177,20,20,53,5,40,0,2,8,3,25,1
31,15,Andosilla,1985,0,1985,1451,25,25,534,1426,1401,115,72,88,49,591,5,1,34,5,440,1
31,16,Ansoáin/Antsoain,8003,7,8010,5345,79,55,2665,5266,5211,190,784,1362,141,649,24,11,483,24,1525,18
31,17,Anue,383,0,383,240,3,11,143,237,226,8,63,54,10,55,2,0,9,2,23,0
31,18,Añorbe,457,0,457,267,5,11,190,262,251,19,38,38,10,60,1,0,18,5,62,0
31,19,Aoiz/Agoitz,1908,0,1908,1248,32,31,660,1216,1185,7,176,529,23,230,1,3,63,8,144,1
31,20,Araitz,436,0,436,233,2,2,203,231,229,2,53,150,2,9,0,0,4,2,7,0
31,25,Arakil,789,0,789,515,3,7,274,512,505,13,101,188,17,100,0,4,29,4,46,3
31,21,Aranarache/Aranaratxe,60,0,60,36,0,0,24,36,36,1,6,14,0,11,0,0,0,0,4,0
31,23,Aranguren,8709,0,8709,6219,77,168,2490,6142,5974,454,870,570,291,2187,66,39,437,25,1021,14
31,24,Arano,88,0,88,55,1,0,33,54,54,0,11,35,0,1,0,1,3,0,3,0
31,22,Arantza,473,0,473,252,1,3,221,251,248,4,69,144,4,8,1,0,7,1,9,1
31,26,Aras,132,0,132,108,2,1,24,106,105,13,9,10,0,26,0,0,6,0,41,0
31,27,Arbizu,822,0,822,510,14,11,312,496,485,2,139,296,4,25,0,1,5,0,13,0
31,28,Arce/Artzi,247,0,247,198,1,7,49,197,190,0,49,66,2,31,0,0,15,12,14,1
31,30,Arellano,140,0,140,92,0,2,48,92,90,2,16,28,6,11,0,0,12,0,15,0
31,31,Areso,210,0,210,121,0,4,89,121,117,2,26,67,2,7,0,0,2,0,11,0
31,32,Arguedas,1633,0,1633,1310,35,27,323,1275,1248,58,34,42,47,541,4,0,53,1,463,5
31,33,Aria,41,0,41,27,1,0,14,26,26,1,5,11,0,2,0,0,2,0,5,0
31,34,Aribe,29,0,29,24,0,0,5,24,24,1,5,9,0,4,0,0,2,0,3,0
31,35,Armañanzas,48,0,48,38,1,1,10,37,36,2,3,3,0,9,0,1,2,0,16,0
