MERINDAD;MUNICIPIO;DISTRITO;SECCION;MESA;CENSO;PARTICIPACION;ABSTENCION;VALIDOS;BLANCOS;NULOS;UPN;UPN_P;ECOLO;ECOLO_P;PP;PP_P;PSN_PSOE;PSN_PSOE_P;UPYD;UPYD_P;SAIN;SAIN_P;NA_BAI2011;NA_BAI2011_P;CDN;CDN_P;IXN;IXN_P;BILDU;BILDU_P;RCN_NOK;RCN_NOK_P;IZQ_EZK;IZQ_EZK_P;DNE;DNE_P
1;1;1;1;U;89;64;25;63;3;1;18;28,12;3;4,68;3;4,68;6;9,37;0;0;0;0;14;21,87;3;4,68;0;0;13;20,31;0;0;0;0;0;0
1;2;1;1;U;419;311;108;307;12;4;116;37,29;1;0,32;18;5,78;18;5,78;0;0;0;0;74;23,79;10;3,21;1;0,32;43;13,82;2;0,64;8;2,57;4;1,28
1;5;1;1;U;304;193;111;191;10;2;62;32,12;2;1,03;21;10,88;26;13,47;0;0;1;0,51;28;14,5;3;1,55;0;0;21;10,88;2;1,03;15;7,77;0;0
1;8;1;1;U;99;68;31;67;1;1;26;38,23;0;0;19;27,94;12;17,64;0;0;0;0;7;10,29;0;0;0;0;1;1,47;0;0;1;1,47;0;0
1;11;1;1;A;194;123;71;122;6;1;39;31,7;7;5,69;6;4,87;9;7,31;3;2,43;0;0;22;17,88;1;0,81;0;0;15;12,19;1;0,81;13;10,56;0;0
1;11;1;1;B;272;174;98;173;8;1;71;40,8;1;0,57;14;8,04;12;6,89;3;1,72;0;0;27;15,51;6;3,44;0;0;18;10,34;4;2,29;8;4,59;1;0,57
1;11;1;1;C;217;144;73;142;6;2;52;36,11;3;2,08;8;5,55;10;6,94;2;1,38;2;1,38;18;12,5;11;7,63;0;0;25;17,36;1;0,69;4;2,77;0;0
1;12;1;1;A;419;340;79;330;7;10;94;27,64;11;3,23;42;12,35;91;26,76;0;0;0;0;25;7,35;3;0,88;2;0,58;33;9,7;12;3,52;10;2,94;0;0
1;12;1;1;B;418;341;77;332;6;9;104;30,49;7;2,05;40;11,73;75;21,99;2;0,58;2;0,58;32;9,38;6;1,75;2;0,58;29;8,5;6;1,75;21;6,15;0;0
1;13;1;1;A;371;260;111;259;5;1;82;31,53;13;5;13;5;14;5,38;0;0;4;1,53;59;22,69;5;1,92;1;0,38;46;17,69;1;0,38;15;5,76;1;0,38
1;13;1;1;B;307;175;133;171;5;4;46;26,28;2;1,14;16;9,14;13;7,42;1;0,57;4;2,28;32;18,28;7;4;1;0,57;33;18,85;0;0;11;6,28;0;0
1;14;1;1;U;279;181;98;179;1;2;61;33,7;3;1,65;22;12,15;21;11,6;1;0,55;2;1,1;20;11,04;2;1,1;0;0;37;20,44;3;1,65;6;3,31;0;0
1;15;1;1;A;343;253;90;252;9;1;112;44,26;3;1,18;14;5,53;56;22,13;2;0,79;0;0;14;5,53;17;6,71;2;0,79;13;5,13;0;0;9;3,55;1;0,39
1;15;1;1;B;351;262;90;259;7;3;127;48,47;3;1,14;17;6,48;60;22,9;0;0;0;0;21;8,01;6;2,29;2;0,76;7;2,67;3;1,14;6;2,29;0;0
1;15;2;1;A;453;316;137;309;7;7;136;43,03;3;0,94;29;9,17;75;23,73;0;0;1;0,31;22;6,96;4;1,26;1;0,31;16;5,06;0;0;14;4,43;1;0,31
1;15;2;1;B;402;302;100;298;10;4;137;45,36;0;0;20;6,62;72;23,84;2;0,66;0;0;28;9,27;6;1,98;0;0;9;2,98;1;0,33;12;3,97;1;0,33
1;15;2;1;C;434;316;118;312;9;4;133;42,08;2;0,63;15;4,74;87;27,53;0;0;0;0;23;7,27;6;1,89;0;0;17;5,37;0;0;19;6,01;1;0,31
1;21;1;1;U;76;52;24;52;2;0;18;34,61;0;0;2;3,84;5;9,61;0;0;0;0;8;15,38;0;0;0;0;16;30,76;0;0;1;1,92;0;0
1;26;1;1;U;157;112;45;111;1;1;26;23,21;3;2,67;26;23,21;36;32,14;1;0,89;0;0;7;6,25;0;0;0;0;7;6,25;1;0,89;2;1,78;1;0,89
1;29;1;1;A;548;418;130;411;14;7;193;46,17;5;1,19;21;5,02;86;20,57;4;0,95;0;0;39;9,33;7;1,67;0;0;26;6,22;0;0;15;3,58;1;0,23
1;29;1;1;B;458;346;112;343;5;3;169;48,84;0;0;27;7,8;63;18,2;1;0,28;0;0;38;10,98;5;1,44;1;0,28;24;6,93;0;0;10;2,89;0;0
1;30;1;1;U;153;104;49;104;3;0;15;14,42;2;1,92;9;8,65;15;14,42;1;0,96;0;0;19;18,26;0;0;0;0;33;31,73;2;1,92;4;3,84;1;0,96
1;35;1;1;U;61;44;17;44;0;0;18;40,9;1;2,27;6;13,63;11;25;0;0;0;0;1;2,27;1;2,27;0;0;0;0;1;2,27;1;2,27;4;9,09
1;36;1;1;A;529;374;155;364;18;10;101;27;5;1,33;31;8,28;87;23,26;0;0;1;0,26;41;10,96;1;0,26;1;0,26;49;13,1;4;1,06;24;6,41;1;0,26
1;36;1;1;B;420;305;114;294;10;11;88;28,85;6;1,96;20;6,55;58;19,01;0;0;1;0,32;38;12,45;3;0,98;1;0,32;39;12,78;2;0,65;26;8,52;2;0,65
1;39;1;1;U;93;57;36;56;0;1;17;29,82;3;5,26;4;7,01;6;10,52;0;0;0;0;12;21,05;0;0;1;1,75;7;12,28;0;0;5;8,77;1;1,75
1;41;1;1;A;709;469;240;468;23;1;126;26,86;12;2,55;50;10,66;77;16,41;8;1,7;0;0;68;14,49;13;2,77;0;0;57;12,15;3;0,63;28;5,97;3;0,63
1;41;1;1;B;625;414;211;410;11;4;151;36,47;12;2,89;31;7,48;35;8,45;4;0,96;0;0;65;15,7;9;2,17;0;0;68;16,42;2;0,48;21;5,07;1;0,24
1;42;1;1;A;493;363;130;357;10;6;186;51,23;0;0;30;8,26;105;28,92;0;0;0;0;14;3,85;5;1,37;0;0;2;0,55;3;0,82;2;0,55;0;0
