CÓD. PROVINCIA;PROVINCIA;CÓD. MUNICIPIO;MUNICIPIO;DISTRITO;SECCIÓN;MESA;CENSO;TOTAL VOTOS;TOTAL ABSTENCIÓN;VOTOS EN BRANCO;VOTOS NULOS;VOTOS A CANDIDATURAS;VOTOS VÁLIDOS;AU.TO.NO.MO (PARTIDO DE LOS AUTÓNOMOS Y PROFESIONALES);BNG (BLOQUE NACIONALISTA GALEGO);CDS (CENTRO DEMOCRÁTICO Y SOCIAL);D.N. (DEMOCRACIA NACIONAL);D.O. (DEMOCRACIA OURENSANA);EU-IU (ESQUERDA UNIDA - IZQUIERDA UNIDA);FE de las JONS (FALANGE ESPAÑOLA DE LAS J.O.N.S.);FPG (FRENTE POPULAR GALEGA);IDEGA (IDENTIDADE GALEGA);IR-ERG (IZQUIERDA REPUBLICANA-ESQUERDA REPUBLICANA GALEGA);NÓS-UP (NÓS-UNIDADE POPULAR);PH (PARTIDO HUMANISTA);PP (PARTIDO POPULAR);PSdeG - PSOE (PARTIDO DOS SOCIALISTAS DE GALICIA - PARTIDO SOCIALISTA OBRERO ESPAÑOL);S.E.P. (PARTIDO SOCIAL ESPAÑOL POPULAR);SDD (PARTIDO SOCIAL Y DEMOCRÁTICO DE DERECHO)
15;A Coruña;1;Abegondo;1;1;U;769;518;251;5;5;508;513;2;88;1;0;;2;1;0;0;;0;0;288;126;;
15;A Coruña;1;Abegondo;1;2;A;342;225;117;2;0;223;225;0;59;2;0;;29;0;0;0;;0;0;133;0;;
15;A Coruña;1;Abegondo;1;2;B;406;264;142;5;1;258;263;0;49;2;0;;1;1;0;0;;1;0;154;50;;
15;A Coruña;1;Abegondo;2;1;U;707;455;252;4;1;450;454;0;93;1;0;;0;0;1;0;;0;0;220;135;;
15;A Coruña;1;Abegondo;2;2;A;462;275;187;1;2;272;273;0;22;1;0;;0;0;0;0;;0;0;190;59;;
15;A Coruña;1;Abegondo;2;2;B;357;224;133;3;1;220;223;0;48;0;0;;0;0;0;0;;0;0;122;50;;
15;A Coruña;1;Abegondo;3;1;A;862;587;275;10;0;577;587;4;75;0;0;;3;0;0;0;;0;1;324;170;;
15;A Coruña;1;Abegondo;3;1;B;450;309;141;3;1;305;308;2;87;1;0;;2;0;0;0;;0;3;127;83;;
15;A Coruña;1;Abegondo;3;2;U;783;553;230;5;3;545;550;1;112;0;0;;6;0;1;0;;2;0;278;145;;
15;A Coruña;2;Ames;1;1;A;450;336;114;2;1;333;335;0;46;1;0;;3;0;0;0;;1;0;180;102;;
15;A Coruña;2;Ames;1;1;B;479;339;140;6;3;330;336;0;61;1;1;;4;0;1;0;;0;0;169;93;;
15;A Coruña;2;Ames;1;3;A;234;183;51;2;1;180;182;0;87;0;0;;22;0;0;0;;0;0;71;0;;
15;A Coruña;2;Ames;1;3;B;332;239;93;7;2;230;237;0;26;0;0;;1;0;0;0;;0;0;146;57;;
15;A Coruña;2;Ames;2;1;U;578;400;178;7;2;391;398;0;44;0;0;;2;1;1;0;;5;1;227;110;;
15;A Coruña;2;Ames;2;2;A;393;282;111;6;1;275;281;0;42;0;0;;0;0;0;0;;1;0;156;76;;
15;A Coruña;2;Ames;2;2;B;605;415;190;3;0;412;415;0;112;0;2;;1;1;1;1;;3;1;182;108;;
15;A Coruña;2;Ames;2;2;C;329;232;97;0;2;230;230;0;43;0;0;;0;0;0;0;;0;0;129;58;;
15;A Coruña;2;Ames;3;1;A;416;306;110;3;1;302;305;2;58;1;0;;1;0;0;0;;0;0;174;66;;
15;A Coruña;2;Ames;3;1;B;467;331;136;5;1;325;330;0;56;0;0;;0;0;1;0;;3;0;162;103;;
15;A Coruña;2;Ames;3;1;C;258;189;69;0;4;185;185;0;36;0;0;;1;0;1;1;;0;0;89;57;;
15;A Coruña;2;Ames;3;2;A;685;459;226;14;3;442;456;0;124;0;0;;6;0;0;0;;0;1;180;131;;
15;A Coruña;2;Ames;3;2;B;781;551;230;10;1;540;550;2;142;0;0;;5;0;2;0;;1;0;215;173;;
15;A Coruña;2;Ames;3;3;U;637;443;194;10;3;430;440;0;73;0;1;;4;0;0;2;;1;1;226;122;;
15;A Coruña;2;Ames;3;4;A;354;265;89;2;1;262;264;1;66;1;0;;4;0;0;0;;0;1;133;56;;
15;A Coruña;2;Ames;3;4;B;475;337;138;8;0;329;337;2;49;1;0;;4;0;1;0;;1;1;147;123;;
15;A Coruña;2;Ames;3;4;C;562;412;150;5;1;406;411;2;73;2;0;;5;0;1;1;;0;0;189;133;;
15;A Coruña;2;Ames;3;5;A;576;414;162;8;0;406;414;1;113;1;0;;6;0;1;0;;0;0;155;129;;
15;A Coruña;2;Ames;3;5;B;663;451;212;5;0;446;451;6;123;0;0;;6;0;1;0;;2;2;172;134;;
15;A Coruña;2;Ames;3;6;A;827;550;277;13;1;536;549;1;128;1;0;;5;0;0;0;;1;0;219;181;;
15;A Coruña;2;Ames;3;6;B;956;642;314;12;0;630;642;2;158;0;0;;11;0;1;0;;0;1;255;202;;
15;A Coruña;2;Ames;3;7;A;722;500;222;6;2;492;498;1;122;3;0;;10;1;1;0;;1;0;201;152;;
15;A Coruña;2;Ames;3;7;B;862;597;265;12;3;582;594;0;141;2;0;;6;0;1;0;;1;2;242;187;;
15;A Coruña;2;Ames;3;8;A;819;521;298;5;3;513;518;0;152;1;0;;4;0;3;0;;5;2;159;187;;
