C¢d. Cir.;C¢d. Con.;Concello;Mesa;Censo;Certif. Alta;Certif. Correc.;Censo Total;Votos electores;Votos interventores;Votos Totais;Votos nulos;Votos brancos;PCTG;PUM+J;PACMA;B.N.G.;PODEMOS-ESQUERDA UNIDA-ANOVA;PP;CCD-AU.TO.NO.MO;PSdeG-PSOE;EQUO;VOX;EN MAREA-COMPROMISO POR GALICIA-PARTIDO GALEGUISTA;RECORTES CERO-ESCO-OV-M;Cs;P-LIB
15;7;A Ba¤a;1-001 -A;479;0;0;479;309;0;309;3;3;0;0;0;64;6;165;0;63;0;3;0;0;2;0
15;7;A Ba¤a;1-001 -B;487;0;0;487;270;0;270;0;0;1;1;0;53;4;168;0;38;0;5;0;0;0;0
15;7;A Ba¤a;1-002 -A;410;0;0;410;259;0;259;1;5;0;0;1;32;2;151;0;58;0;6;2;0;1;0
15;7;A Ba¤a;1-002 -B;440;0;0;440;293;0;293;4;2;0;0;0;48;2;159;0;76;0;2;0;0;0;0
15;7;A Ba¤a;1-002 -C;357;0;0;357;224;0;224;0;2;0;0;0;24;3;129;0;66;0;0;0;0;0;0
15;7;A Ba¤a;2-001 -A;348;0;0;348;215;0;215;1;0;1;0;0;48;1;107;0;54;0;3;0;0;0;0
15;7;A Ba¤a;2-001 -B;273;0;0;273;166;0;166;0;0;0;0;0;27;4;101;0;34;0;0;0;0;0;0
15;7;A Ba¤a;2-001 -C;336;0;0;336;198;0;198;2;0;0;0;0;30;3;129;0;30;0;2;0;0;2;0
15;18;A Capela;1-001 -A;727;0;0;727;439;0;439;7;1;0;1;0;143;15;136;0;134;0;1;1;0;0;0
15;18;A Capela;1-001 -B;360;0;0;360;220;0;220;2;3;1;0;0;53;3;92;0;59;1;6;0;0;0;0
15;30;A Coru¤a;1-001 -U;786;0;0;786;519;0;519;0;4;0;0;2;83;28;312;0;60;1;25;0;0;4;0
15;30;A Coru¤a;1-002 -U;684;0;0;684;451;0;451;1;4;0;0;3;91;20;257;0;54;2;17;0;0;2;0
15;30;A Coru¤a;1-003 -A;558;0;0;558;351;1;352;1;5;0;0;4;100;29;141;0;56;2;9;2;0;3;0
15;30;A Coru¤a;1-003 -B;492;0;0;492;303;0;303;3;2;0;0;1;88;27;138;0;34;1;5;1;0;3;0
15;30;A Coru¤a;1-004 -A;671;0;0;671;433;0;433;1;4;0;0;5;77;25;248;0;59;2;10;0;0;2;0
15;30;A Coru¤a;1-004 -B;588;0;0;588;369;0;369;2;6;1;0;0;78;20;196;0;48;5;11;0;0;2;0
15;30;A Coru¤a;1-005 -A;609;1;0;610;356;0;356;2;4;0;0;0;58;21;204;0;40;0;25;1;0;1;0
15;30;A Coru¤a;1-005 -B;536;0;0;536;343;0;343;2;4;0;0;1;65;18;196;0;39;0;14;2;0;2;0
15;30;A Coru¤a;1-006 -U;783;0;0;783;453;0;453;5;9;1;0;3;127;23;187;0;77;1;13;3;0;4;0
15;30;A Coru¤a;1-007 -A;735;0;0;735;352;0;352;0;2;0;0;3;63;20;192;0;52;0;14;2;0;4;0
15;30;A Coru¤a;1-007 -B;846;0;0;846;388;0;388;6;3;1;1;3;93;26;173;0;56;2;17;2;0;5;0
15;30;A Coru¤a;1-008 -A;647;0;0;647;429;0;429;2;2;0;0;2;97;28;234;0;54;1;6;0;0;3;0
