C¢d. Cir.;C¢d. Con.;Concello;Mesa;Censo;Certif. Alta;Certif. Correc.;Censo Total;Votos electores;Votos interventores;Votos Totais;Votos nulos;Votos brancos;PODEMOS-ESQUERDA UNIDA-ANOVA;PUM+J;VOX;C 21;PCTG;B.N.G.;PSdeG-PSOE;EQUO;mg;RECORTES CERO-ESCO-OV-M;PP;Cs;PACMA
27;18;A Fonsagrada;1-001 -A;230;0;0;230;127;0;127;3;2;0;1;0;0;0;17;36;0;0;0;68;0;0
27;18;A Fonsagrada;1-001 -B;278;0;0;278;158;0;158;1;2;2;0;1;0;0;19;47;0;0;0;86;0;0
27;18;A Fonsagrada;1-001 -C;652;0;0;652;453;0;453;3;4;7;0;3;0;0;96;153;0;0;0;185;2;0
27;18;A Fonsagrada;1-001 -D;585;0;0;585;398;0;398;7;3;5;0;1;0;0;75;147;1;0;0;155;2;2
27;18;A Fonsagrada;2-001 -A;200;0;0;200;134;0;134;0;3;4;0;3;0;0;18;41;0;0;0;65;0;0
27;18;A Fonsagrada;2-001 -B;305;0;0;305;158;0;158;2;3;3;0;3;0;0;35;56;0;0;0;55;1;0
27;18;A Fonsagrada;2-001 -C;246;0;0;246;160;0;160;1;0;2;0;6;0;0;14;47;0;0;0;89;1;0
27;18;A Fonsagrada;3-001 -A;236;0;0;236;130;0;130;0;0;0;0;3;0;0;9;46;1;0;0;71;0;0
27;18;A Fonsagrada;3-001 -B;414;0;0;414;230;0;230;1;2;2;1;1;0;0;29;100;0;0;0;94;0;0
27;44;A Pastoriza;1-001 -A;429;0;0;429;274;0;274;5;1;6;0;6;0;0;72;35;0;2;0;146;0;1
27;44;A Pastoriza;1-001 -B;654;0;0;654;345;0;345;2;1;1;0;7;0;0;85;33;0;1;0;215;0;0
27;44;A Pastoriza;1-002 -A;449;0;0;449;258;0;258;7;4;4;0;2;0;0;45;57;0;0;1;136;0;2
27;44;A Pastoriza;1-002 -B;380;0;0;380;166;0;166;1;0;1;0;3;0;0;39;26;0;0;0;95;0;1
27;44;A Pastoriza;1-003 -A;375;0;0;375;218;0;218;2;1;0;0;3;0;0;48;29;0;0;0;135;0;0
27;44;A Pastoriza;1-003 -B;380;0;0;380;208;0;208;3;4;3;3;7;0;0;56;23;0;0;0;109;0;0
27;47;A Pobra do Broll¢n;1-001 -A;443;0;0;443;278;0;278;3;3;6;0;2;0;0;83;47;0;2;0;130;1;1
27;47;A Pobra do Broll¢n;1-001 -B;229;0;0;229;135;0;135;2;0;5;0;2;0;0;46;13;0;0;0;66;1;0
27;47;A Pobra do Broll¢n;1-002 -A;351;0;0;351;215;0;215;1;1;3;0;4;0;0;63;37;0;1;0;104;0;1
27;47;A Pobra do Broll¢n;1-002 -B;200;0;0;200;106;0;106;0;0;0;0;1;0;0;28;22;1;0;0;52;1;1
27;47;A Pobra do Broll¢n;1-002 -C;259;1;0;260;150;0;150;2;1;4;0;3;0;0;41;26;0;0;0;72;1;0
27;48;A Pontenova;1-001 -A;506;0;0;506;325;1;326;9;6;4;0;7;0;0;47;104;0;0;0;149;0;0
27;48;A Pontenova;1-001 -B;629;0;0;629;395;1;396;7;8;12;0;8;0;0;63;116;0;1;0;177;1;3
27;48;A Pontenova;1-001 -C;236;0;0;236;158;1;159;1;1;0;0;0;0;0;18;60;0;0;0;79;0;0
27;48;A Pontenova;1-002 -A;377;0;0;377;230;0;230;6;2;1;1;5;0;0;20;89;0;0;0;104;1;1
27;48;A Pontenova;1-002 -B;217;0;0;217;141;1;142;2;2;6;0;3;0;0;5;39;0;0;0;85;0;0
27;1;Abad¡n;1-001 -U;671;0;0;671;377;0;377;4;8;5;0;15;0;0;48;38;0;1;0;256;2;0
27;1;Abad¡n;1-002 -U;562;0;0;562;269;0;269;4;1;4;0;5;0;0;48;35;0;0;0;172;0;0
27;1;Abad¡n;1-003 -A;390;0;0;390;182;0;182;1;2;1;0;5;0;0;17;18;0;0;0;138;0;0
27;1;Abad¡n;1-003 -B;525;0;0;525;296;0;296;11;4;6;0;8;0;0;27;40;0;0;0;199;1;0
27;2;Alfoz;1-001 -U;662;0;0;662;400;0;400;10;5;3;0;5;0;0;91;83;0;2;1;200;0;0
27;2;Alfoz;1-002 -A;429;0;0;429;240;0;240;3;2;1;0;5;0;0;45;41;0;2;0;141;0;0
27;2;Alfoz;1-002 -B;424;0;0;424;245;0;245;6;2;5;2;2;0;0;39;80;0;0;1;107;1;0
27;3;Antas de Ulla;1-001 -U;560;0;0;560;392;0;392;11;2;9;0;6;0;0;74;60;2;0;0;226;0;2
27;3;Antas de Ulla;1-002 -U;543;0;0;543;321;0;321;2;1;9;0;9;0;0;37;35;0;0;0;226;0;2
27;3;Antas de Ulla;1-003 -A;208;0;0;208;139;0;139;5;3;1;0;3;0;0;18;18;0;1;0;90;0;0
27;3;Antas de Ulla;1-003 -B;416;0;0;416;251;0;251;1;3;0;0;2;1;0;36;35;0;0;0;172;1;0
27;37;As Nogais;1-001 -A;458;0;0;458;317;0;317;2;0;3;0;6;0;1;27;56;0;1;0;220;1;0
27;37;As Nogais;1-001 -B;514;0;0;514;363;0;363;5;3;5;0;3;0;0;26;72;0;1;0;247;0;1
