Cód. Cir.;Cód. Con.;Concello;Mesa;Censo;Certif. Alta;Certif. Correc.;Censo Total;Votos electores;Votos interventores;Votos Totais;Votos nulos;Votos brancos;PUM+J;VOX;PSdeG-PSOE;PCTG;CONTIGO;PODEMOS-ESQUERDA UNIDA-ANOVA;PP;Cs;BNG;PACMA;EB;ESCO-RC-OV-M;EN MAREA-COMPROMISO POR GALICIA-PARTIDO GALEGUISTA
32;3;A Arnoia;1-001 -A;217;0;0;217;166;0;166;3;0;0;0;41;0;0;5;102;0;15;0;0;0;0
32;3;A Arnoia;1-001 -B;643;0;0;643;459;0;459;8;2;0;3;72;0;0;12;287;4;70;0;0;0;1
32;14;A Bola;1-001 -A;228;0;0;228;160;1;161;2;1;0;3;18;0;0;1;96;0;39;1;0;0;0
32;14;A Bola;1-001 -B;439;0;0;439;297;0;297;2;0;1;9;28;0;0;1;205;0;50;1;0;0;0
32;14;A Bola;1-001 -C;331;0;0;331;249;0;249;7;2;0;5;25;0;0;4;170;0;36;0;0;0;0
32;34;A Gudiña;1-001 -A;607;0;0;607;438;0;438;2;3;0;4;108;0;0;1;208;1;108;2;0;1;0
32;34;A Gudiña;1-001 -B;249;0;0;249;178;1;179;0;1;0;0;38;0;0;2;99;0;39;0;0;0;0
32;34;A Gudiña;1-001 -C;201;0;0;201;150;1;151;4;1;0;3;34;0;0;2;82;0;25;0;0;0;0
32;47;A Merca;1-001 -A;341;0;0;341;214;1;215;3;0;0;0;21;0;0;2;165;2;22;0;0;0;0
32;47;A Merca;1-001 -B;372;0;0;372;245;0;245;1;2;0;2;26;0;0;4;168;0;42;0;0;0;0
32;47;A Merca;1-001 -C;382;0;0;382;265;0;265;1;3;0;2;25;0;1;0;199;1;31;0;0;0;2
32;47;A Merca;1-002 -U;623;0;0;623;406;0;406;3;1;1;7;62;0;1;6;230;4;89;0;1;1;0
32;48;A Mezquita;1-001 -A;591;0;0;591;359;0;359;2;0;0;7;69;0;0;1;132;1;146;1;0;0;0
32;48;A Mezquita;1-001 -B;246;0;0;246;143;1;144;1;3;0;4;50;0;0;2;46;0;37;0;0;1;0
32;59;A Peroxa;1-001 -A;284;0;0;284;182;0;182;1;2;0;1;42;1;0;2;107;0;26;0;0;0;0
32;59;A Peroxa;1-001 -B;308;0;0;308;216;0;216;3;1;0;2;29;0;0;2;151;0;25;1;0;0;2
32;59;A Peroxa;2-001 -A;621;0;0;621;372;1;373;3;2;0;3;58;0;0;11;260;2;33;1;0;0;0
32;59;A Peroxa;2-001 -B;200;0;0;200;151;0;151;0;3;0;0;29;0;0;3;103;0;13;0;0;0;0
32;59;A Peroxa;2-001 -C;264;0;0;264;187;0;187;1;1;0;5;19;0;0;2;136;1;22;0;0;0;0
32;63;A Pobra de Trives;1-001 -A;590;0;0;590;371;1;372;8;3;0;4;93;0;0;12;189;2;57;0;0;0;4
32;63;A Pobra de Trives;1-001 -B;469;0;0;469;307;1;308;1;4;0;6;97;0;0;9;140;0;50;1;0;0;0
32;63;A Pobra de Trives;1-002 -A;346;0;0;346;191;1;192;1;1;0;2;51;0;0;2;97;2;36;0;0;0;0
32;63;A Pobra de Trives;1-002 -B;363;0;0;363;215;0;215;1;1;1;1;48;0;0;5;131;3;23;0;0;0;1
32;72;A Rúa;1-001 -A;511;0;0;511;311;2;313;2;1;0;4;55;0;0;10;163;1;75;0;1;1;0
32;72;A Rúa;1-001 -B;460;0;0;460;282;2;284;3;3;0;8;41;0;1;4;166;2;56;0;0;0;0
32;72;A Rúa;1-002 -U;721;0;0;721;411;2;413;1;5;0;6;108;1;0;6;215;2;66;1;0;2;0
32;72;A Rúa;1-003 -U;531;0;0;531;279;1;280;3;3;0;7;55;0;0;12;131;1;68;0;0;0;0
32;72;A Rúa;1-004 -U;529;0;0;529;317;1;318;5;2;0;14;83;0;0;11;136;3;61;2;0;1;0
32;72;A Rúa;1-005 -A;457;0;0;457;278;2;280;2;3;2;10;73;0;0;8;122;3;56;1;0;0;0
32;72;A Rúa;1-005 -B;416;0;0;416;246;1;247;3;0;0;3;42;0;0;9;119;2;68;0;0;0;1
32;80;A Teixeira;1-001 -U;287;0;0;287;214;0;214;4;0;0;3;17;0;0;7;148;1;29;2;0;0;3
32;83;A Veiga;1-001 -A;484;0;0;484;321;0;321;2;1;0;9;69;0;0;2;200;0;36;1;0;1;0
32;83;A Veiga;1-001 -B;301;0;0;301;199;0;199;2;2;0;1;16;0;0;1;143;0;34;0;0;0;0
32;1;Allariz;1-001 -A;691;0;0;691;480;3;483;4;4;0;7;51;0;0;21;135;1;256;3;0;1;0
32;1;Allariz;1-001 -B;618;0;0;618;391;2;393;1;1;0;5;32;0;0;15;126;1;208;2;0;2;0
32;1;Allariz;1-002 -A;260;0;0;260;129;1;130;1;1;0;1;13;0;0;4;40;1;68;0;1;0;0
32;1;Allariz;1-002 -B;302;0;0;302;176;2;178;3;6;0;4;16;0;0;3;61;1;84;0;0;0;0
32;1;Allariz;1-002 -C;309;0;0;309;202;1;203;3;2;0;7;24;1;0;3;73;0;90;0;0;0;0
32;1;Allariz;1-003 -A;613;0;0;613;397;3;400;6;2;0;8;41;0;0;14;118;2;206;2;0;1;0
32;1;Allariz;1-003 -B;638;0;0;638;413;1;414;6;3;0;5;50;0;1;20;100;3;221;2;2;1;0
32;1;Allariz;1-003 -C;656;0;0;656;410;2;412;9;1;0;8;39;0;0;12;125;4;212;1;0;1;0
32;1;Allariz;2-001 -A;597;0;0;597;345;2;347;2;4;0;10;43;0;0;7;159;0;119;1;0;0;2
32;1;Allariz;2-001 -B;202;0;0;202;124;1;125;1;1;0;0;7;0;0;3;55;0;57;0;0;1;0
32;1;Allariz;2-001 -C;204;0;0;204;126;1;127;1;0;0;1;5;0;0;0;81;0;39;0;0;0;0
