Cód. Cir.;Cód. Con.;Concello;Mesa;Censo;Certif. Alta;Certif. Correc.;Censo Total;Votos electores;Votos interventores;Votos Totais;Votos nulos;Votos brancos;UPYD;PUM+J;BNG;ADCG;UNIDOS SI-UDP-DEf;PCTG;VOX;Cs;PSdeG-PSOE;PACMA;PODEMOS-ESQUERDA UNIDA-ANOVA;PP;EQUO;EN MAREA-COMPROMISO POR GALICIA-PARTIDO GALEGUISTA;EB;RECORTES CERO-ESCO-OV-M
36;9;A Cañiza;1-001 -A;519;0;0;519;331;0;331;3;2;0;0;59;0;1;1;6;4;79;3;0;170;0;2;0;1
36;9;A Cañiza;1-001 -B;291;0;0;291;173;0;173;1;0;0;1;26;0;0;1;2;5;44;0;8;85;0;0;0;0
36;9;A Cañiza;1-002 -A;902;0;0;902;532;1;533;13;1;0;0;90;0;0;0;10;2;134;1;18;262;0;2;0;0
36;9;A Cañiza;1-002 -B;825;0;0;825;471;0;471;11;4;0;1;79;2;0;0;11;8;99;1;21;234;0;0;0;0
36;9;A Cañiza;1-003 -A;281;0;0;281;175;0;175;1;1;0;0;10;0;0;0;2;0;29;3;1;128;0;0;0;0
36;9;A Cañiza;1-003 -B;268;0;0;268;132;1;133;1;2;0;1;10;0;0;0;7;1;15;0;3;93;0;0;0;0
36;9;A Cañiza;2-001 -A;321;0;0;321;169;0;169;0;3;0;0;10;0;0;0;1;0;52;3;10;89;0;0;0;1
36;9;A Cañiza;2-001 -B;258;0;0;258;144;0;144;2;1;0;0;13;0;0;0;4;3;25;0;1;95;0;0;0;0
36;9;A Cañiza;3-001 -U;719;0;0;719;369;0;369;10;5;0;0;38;0;0;0;9;5;112;0;6;184;0;0;0;0
36;17;A Estrada;1-001 -U;837;0;0;837;544;0;544;10;5;0;0;141;0;0;0;3;4;97;2;4;276;1;0;1;0
36;17;A Estrada;1-002 -A;477;0;0;477;297;0;297;3;5;0;0;76;0;0;1;4;5;53;0;7;143;0;0;0;0
36;17;A Estrada;1-002 -B;577;0;0;577;356;0;356;7;3;0;0;111;0;0;0;5;0;52;0;11;165;1;0;0;1
36;17;A Estrada;1-003 -A;406;0;0;406;275;0;275;4;2;0;0;48;1;0;0;5;2;52;0;5;151;0;5;0;0
36;17;A Estrada;1-003 -B;210;0;0;210;143;0;143;3;2;0;1;25;0;0;0;1;1;28;0;2;79;0;0;0;1
36;17;A Estrada;1-003 -C;241;0;0;241;164;0;164;0;3;0;0;44;0;0;0;0;1;30;1;3;82;0;0;0;0
36;17;A Estrada;1-004 -A;344;0;0;344;217;0;217;0;1;0;1;61;0;0;0;2;2;27;2;5;116;0;0;0;0
36;17;A Estrada;1-004 -B;312;0;0;312;201;0;201;1;2;0;0;59;0;0;0;1;1;24;0;7;104;0;1;1;0
36;17;A Estrada;1-004 -C;430;0;0;430;271;0;271;2;1;0;1;58;0;1;0;4;3;73;2;7;119;0;0;0;0
36;17;A Estrada;1-006 -A;599;0;0;599;354;0;354;1;3;0;0;105;0;0;2;2;2;58;3;13;164;0;1;0;0
36;17;A Estrada;1-006 -B;645;1;0;646;384;0;384;3;2;0;0;96;0;2;0;7;1;78;4;15;174;0;2;0;0
36;17;A Estrada;1-007 -A;459;0;0;459;256;0;256;3;2;0;0;80;1;0;0;2;3;42;0;6;116;0;1;0;0
36;17;A Estrada;1-007 -B;592;0;0;592;353;0;353;3;4;0;0;123;0;0;0;7;2;51;2;7;153;0;1;0;0
36;17;A Estrada;1-008 -A;536;0;0;536;320;0;320;7;1;0;0;94;2;0;0;5;2;58;1;16;133;0;0;0;1
36;17;A Estrada;1-008 -B;600;0;0;600;349;0;349;3;1;0;1;100;0;0;0;2;1;67;4;12;157;0;1;0;0
36;17;A Estrada;1-009 -A;586;0;0;586;375;0;375;1;3;0;0;130;0;0;0;3;3;37;2;13;179;1;2;1;0
36;17;A Estrada;1-009 -B;657;0;0;657;421;0;421;1;3;0;0;127;0;0;0;7;1;68;1;15;198;0;0;0;0
36;17;A Estrada;1-010 -A;454;0;0;454;265;0;265;3;4;0;0;57;0;0;0;1;2;45;4;14;133;0;2;0;0
36;17;A Estrada;1-010 -B;610;0;0;610;358;0;358;6;2;0;1;104;0;0;0;4;3;65;0;6;167;0;0;0;0
36;17;A Estrada;2-001 -A;325;0;0;325;211;0;211;2;1;0;0;52;0;0;0;2;2;29;2;1;120;0;0;0;0
36;17;A Estrada;2-001 -B;446;0;0;446;282;0;282;0;3;0;0;47;0;0;0;5;2;46;1;5;173;0;0;0;0
36;17;A Estrada;2-002 -A;287;0;0;287;194;0;194;2;1;0;0;40;0;0;0;3;2;37;1;4;104;0;0;0;0
36;17;A Estrada;2-002 -B;235;0;0;235;150;0;150;0;0;0;0;39;0;0;0;2;1;27;0;2;79;0;0;0;0
36;17;A Estrada;2-003 -A;455;0;0;455;256;0;256;0;4;0;0;57;0;0;0;3;1;48;0;8;134;0;1;0;0
36;17;A Estrada;2-003 -B;353;0;0;353;213;0;213;0;1;0;0;33;0;0;0;2;4;31;0;8;132;0;1;0;1
36;17;A Estrada;3-001 -A;246;0;0;246;157;0;157;1;0;0;1;32;0;0;0;3;1;20;0;3;96;0;0;0;0
36;17;A Estrada;3-001 -B;289;0;0;289;178;0;178;0;1;0;0;33;0;0;0;2;2;43;0;3;93;0;0;0;1
36;17;A Estrada;3-001 -C;244;0;0;244;124;0;124;2;0;0;0;24;1;0;0;3;3;17;2;0;71;1;0;0;0
36;17;A Estrada;3-002 -A;349;0;0;349;200;0;200;0;1;0;0;54;0;0;1;6;2;22;0;5;109;0;0;0;0
36;17;A Estrada;3-002 -B;416;0;0;416;265;0;265;1;2;0;1;64;1;0;0;7;0;40;0;3;146;0;0;0;0
