Cód Cir;Cód Con;Concello;;Censo;Certif Alta;Censo Total;Votos Totais;Votos nulos;Votos brancos;Abstención;Votos Válidos;Votos Candidaturas;BNG;ECG;ESCANOS EN BRANCO;PACMA;PODEMOS-ALIANZA VERDE;PP;PSdeG-PSOE;PUM+J;SUMAR GALICIA;VOX
27;18;A Fonsagrada;;2870;0;2870;2034;14;14;836;2020;2006;385;1;1;0;5;826;761;0;7;20
27;44;A Pastoriza;;2480;0;2480;1727;25;17;753;1702;1685;325;5;2;1;2;1116;215;2;4;13
27;47;A Pobra do Brollón;;1417;0;1417;1026;5;8;391;1021;1013;362;0;1;2;2;481;147;0;1;17
27;48;A Pontenova;;1857;0;1857;1347;11;11;510;1336;1325;227;1;1;2;3;640;423;1;7;20
27;1;Abadín;;2011;0;2011;1182;8;17;829;1174;1157;218;1;1;2;0;748;147;1;6;33
27;2;Alfoz;;1409;0;1409;1045;25;7;364;1020;1013;224;2;1;1;0;513;250;2;4;16
27;3;Antas de Ulla;;1621;0;1621;1208;18;9;413;1190;1181;126;6;1;3;2;684;267;0;86;6
27;37;As Nogais;;887;0;887;708;7;6;179;701;695;108;0;1;1;2;434;137;0;4;8
27;4;Baleira;;1035;0;1035;698;6;2;337;692;690;117;2;0;0;0;424;137;2;0;8
27;901;Baralla;;2169;0;2169;1590;11;21;579;1579;1558;272;7;3;2;0;1082;162;0;3;27
27;5;Barreiros;;2575;0;2575;1833;16;23;742;1817;1794;599;2;3;8;3;933;204;1;10;31
27;6;Becerreá;;2268;0;2268;1625;13;13;643;1612;1599;359;55;4;5;0;926;200;0;3;47
27;7;Begonte;;2614;0;2614;2030;31;18;584;1999;1981;369;1;2;5;3;1320;236;0;4;41
27;902;Burela;;6989;0;6989;4461;61;26;2528;4400;4374;1432;2;10;12;9;2153;640;4;26;86
27;8;Bóveda;;1271;0;1271;915;14;6;356;901;895;212;0;2;0;2;508;148;0;2;21
27;9;Carballedo;;1895;0;1895;1485;16;9;410;1469;1460;271;4;3;2;1;1004;150;1;5;19
27;10;Castro de Rei;;4200;0;4200;2812;57;34;1388;2755;2721;659;1;4;8;1;1542;405;3;12;86
27;11;Castroverde;;2235;0;2235;1694;17;9;541;1677;1668;314;1;3;5;0;849;467;0;0;29
27;12;Cervantes;;1152;0;1152;793;6;9;359;787;778;136;3;0;0;1;403;219;0;2;14
27;13;Cervo;;3598;0;3598;2868;37;22;730;2831;2809;957;1;1;11;8;1275;504;2;17;33
27;16;Chantada;;6666;0;6666;4689;47;57;1977;4642;4585;1392;4;4;15;4;2350;682;4;36;94
27;15;Cospeito;;3707;0;3707;2632;45;25;1075;2587;2562;508;0;6;4;1;1559;428;0;12;44
27;17;Folgoso do Courel;;917;0;917;699;4;2;218;695;693;141;0;0;1;0;429;116;0;1;5
27;19;Foz;;8262;0;8262;5482;70;59;2780;5412;5353;1654;5;10;17;14;2480;993;8;30;142
27;20;Friol;;3202;0;3202;2687;34;25;515;2653;2628;339;1;2;3;1;1958;281;2;2;39
27;22;Guitiriz;;4441;5;4446;2940;43;24;1506;2897;2873;758;4;3;4;2;1504;542;0;16;40
27;23;Guntín;;2307;0;2307;1811;18;15;496;1793;1778;269;1;0;3;0;1289;191;0;3;22
27;27;Lourenzá;;1710;0;1710;1306;18;11;404;1288;1277;313;2;2;2;0;631;302;3;5;17
27;28;Lugo;;77599;17;77616;53331;515;506;24285;52816;52310;14024;58;373;186;126;26531;9563;45;422;982
27;26;Láncara;;2140;0;2140;1482;16;8;658;1466;1458;313;1;1;1;3;834;275;0;3;27
27;29;Meira;;1381;0;1381;1048;11;17;333;1037;1020;167;10;1;2;2;581;237;1;2;17
27;30;Mondoñedo;;2942;0;2942;1978;25;13;964;1953;1940;549;2;5;4;0;1015;317;1;8;39
27;31;Monforte de Lemos;;14715;0;14715;9557;145;93;5158;9412;9319;2634;11;23;26;25;4590;1726;16;56;212
27;32;Monterroso;;3079;0;3079;2184;19;17;895;2165;2148;520;3;6;3;1;1241;329;0;5;40
27;33;Muras;;535;0;535;375;5;4;160;370;366;97;0;1;1;1;203;60;0;0;3
27;34;Navia de Suarna;;924;0;924;635;15;2;289;620;618;115;1;0;1;0;299;193;0;1;8
27;35;Negueira de Muñiz;;197;0;197;101;0;0;96;101;101;25;0;0;0;0;33;42;1;0;0
27;14;O Corgo;;3049;0;3049;2161;24;22;888;2137;2115;430;5;2;3;3;1267;354;0;6;45
27;24;O Incio;;1387;0;1387;1043;10;5;344;1033;1028;249;0;0;0;1;586;176;1;4;11
27;43;O Páramo;;1172;0;1172;794;6;7;378;788;781;193;6;0;0;0;449;115;0;4;14
27;58;O Saviñao;;3065;0;3065;2253;27;14;812;2226;2212;417;0;2;5;1;1414;335;1;2;35
27;63;O Valadouro;;1605;0;1605;1128;15;11;477;1113;1102;320;0;0;2;1;533;218;1;4;23
27;64;O Vicedo;;1429;0;1429;969;18;12;460;951;939;205;1;1;2;2;568;142;1;7;10
27;38;Ourol;;862;0;862;621;8;5;241;613;608;123;0;0;0;0;284;178;1;5;17
27;39;Outeiro de Rei;;4537;0;4537;3480;44;32;1057;3436;3404;821;1;5;14;5;2071;390;1;12;84
27;40;Palas de Rei;;2874;5;2879;2138;15;14;741;2123;2109;400;1;1;1;4;1367;304;2;6;23
27;41;Pantón;;2064;0;2064;1543;8;13;521;1535;1522;399;0;6;1;4;909;177;2;4;20
27;42;Paradela;;1480;0;1480;1166;11;8;314;1155;1147;173;1;0;0;2;786;172;0;1;12
27;45;Pedrafita do Cebreiro;;857;0;857;610;6;3;247;604;601;72;0;2;0;0;239;279;0;2;7
27;46;Pol;;1362;0;1362;1058;16;6;304;1042;1036;225;0;0;0;3;489;302;0;3;14
27;49;Portomarín;;1210;0;1210;902;11;3;308;891;888;134;0;0;1;0;602;135;2;1;13
27;50;Quiroga;;2677;0;2677;1840;26;10;837;1814;1804;358;0;3;6;4;1085;310;0;8;30
27;51;Ribadeo;;7991;1;7992;5352;47;37;2640;5305;5268;1562;3;11;13;9;2808;702;3;53;104
27;52;Ribas de Sil;;811;0;811;576;2;2;235;574;572;97;0;0;0;0;283;179;1;2;10
27;53;Ribeira de Piquín;;464;0;464;381;7;2;83;374;372;29;1;0;0;0;145;189;0;1;7
27;54;Riotorto;;1052;0;1052;845;13;4;207;832;828;193;0;0;2;0;482;144;0;2;5
27;56;Rábade;;1177;0;1177;826;9;4;351;817;813;189;0;0;1;2;454;152;1;4;10
27;55;Samos;;1100;0;1100;859;5;3;241;854;851;251;9;1;0;2;464;118;0;0;6
27;57;Sarria;;10826;0;10826;7528;89;64;3298;7439;7375;2148;5;8;12;17;4047;954;7;38;139
27;59;Sober;;1885;0;1885;1366;31;10;519;1335;1325;286;0;2;1;2;864;133;1;5;31
27;60;Taboada;;2266;0;2266;1626;10;3;640;1616;1613;421;0;3;2;1;805;352;0;7;22
27;61;Trabada;;986;0;986;804;14;4;182;790;786;77;0;2;0;3;387;303;0;2;12
27;62;Triacastela;;539;0;539;441;4;2;98;437;435;64;1;1;0;0;279;80;0;0;10
27;65;Vilalba;;11640;4;11644;7890;124;97;3754;7766;7669;1828;3;8;9;5;4582;1044;7;31;152
27;66;Viveiro;;12266;0;12266;8050;108;59;4216;7942;7883;2595;10;16;24;23;3580;1413;14;78;130
27;21;Xermade;;1519;0;1519;1016;20;7;503;996;989;212;2;1;0;1;554;197;0;4;18
27;25;Xove;;2648;0;2648;1941;26;12;707;1915;1903;614;0;4;7;4;1032;202;1;11;28
27;990;Residentes ausentes-Lugo;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Total;;;;268077;32;268109;187225;2182;1634;80884;185043;183409;46575;247;560;449;323;98803;31845;147;1112;3348
