Cód Cir;Cód Con;Concello;Mesa;Censo;Certif Alta;Censo Total;Votos Totais;Votos nulos;Votos brancos;Abstención;Votos Válidos;Votos Candidaturas;BNG;ECG;ESCANOS EN BRANCO;PACMA;PODEMOS-ALIANZA VERDE;PP;PSdeG-PSOE;PUM+J;SUMAR GALICIA;VOX
15;007;A Baña;01-001-A;449;0;449;333;3;4;116;330;326;92;0;0;0;1;184;46;0;2;1
15;007;A Baña;01-001-B;460;0;460;301;2;2;159;299;297;98;0;0;0;0;173;18;0;2;6
15;007;A Baña;01-002-A;397;0;397;274;0;0;123;274;274;54;0;0;1;0;157;57;1;0;4
15;007;A Baña;01-002-B;418;0;418;296;2;2;122;294;292;79;0;1;1;0;145;63;0;2;1
15;007;A Baña;01-002-C;321;0;321;243;2;2;78;241;239;54;1;0;1;0;120;56;0;1;6
15;007;A Baña;02-001-A;365;0;365;291;2;2;74;289;287;70;0;0;1;1;136;69;0;4;6
15;007;A Baña;02-001-B;252;0;252;181;1;1;71;180;179;35;0;3;0;0;111;27;0;1;2
15;007;A Baña;02-001-C;313;0;313;207;0;1;106;207;206;58;0;0;0;0;122;21;0;3;2
15;018;A Capela;01-001-A;699;0;699;461;5;7;238;456;449;160;1;0;0;1;158;105;0;11;13
15;018;A Capela;01-001-B;353;0;353;219;1;7;134;218;211;52;0;2;0;0;95;54;0;4;4
15;030;A Coruña;01-001-U;780;0;780;558;2;11;222;556;545;118;0;0;4;1;334;52;1;11;24
15;030;A Coruña;01-002-U;658;0;658;463;1;9;195;462;453;113;0;1;1;0;261;54;1;14;8
15;030;A Coruña;01-003-A;544;0;544;379;2;7;165;377;370;124;0;1;2;2;156;58;1;15;11
15;030;A Coruña;01-003-B;496;0;496;326;1;4;170;325;321;131;0;0;0;0;140;37;0;8;5
15;030;A Coruña;01-004-A;688;0;688;470;2;6;218;468;462;124;0;2;4;5;247;47;1;21;11
15;030;A Coruña;01-004-B;601;0;601;399;5;6;202;394;388;114;1;1;1;4;201;44;0;14;8
15;030;A Coruña;01-005-A;572;0;572;389;1;3;183;388;385;92;0;0;1;2;232;34;1;9;14
15;030;A Coruña;01-005-B;535;0;535;370;0;2;165;370;368;104;0;3;0;2;201;34;1;11;12
15;030;A Coruña;01-006-U;780;0;780;558;5;5;222;553;548;200;0;1;2;6;222;88;1;14;14
15;030;A Coruña;01-007-A;784;0;784;372;2;3;412;370;367;105;2;1;2;0;187;44;1;8;17
15;030;A Coruña;01-007-B;901;0;901;438;3;2;463;435;433;159;0;0;2;1;191;57;0;11;12
15;030;A Coruña;01-008-A;621;0;621;436;1;3;185;435;432;122;0;1;2;1;232;46;0;17;11
15;030;A Coruña;01-008-B;553;1;554;384;0;3;170;384;381;131;0;0;2;3;184;36;2;11;12
15;030;A Coruña;01-009-A;546;0;546;358;1;0;188;357;357;109;0;0;2;1;186;46;0;6;7
15;030;A Coruña;01-009-B;646;0;646;430;5;6;216;425;419;127;0;1;2;4;204;56;1;14;10
15;030;A Coruña;01-012-U;999;0;999;718;2;10;281;716;706;148;0;1;5;3;451;65;0;14;19
15;030;A Coruña;02-001-U;854;0;854;599;3;8;255;596;588;232;1;2;4;5;240;70;2;21;11
15;030;A Coruña;02-002-U;635;0;635;435;1;3;200;434;431;189;0;0;3;4;166;54;1;11;3
15;030;A Coruña;02-003-A;730;0;730;554;3;6;176;551;545;160;0;0;1;1;288;67;2;17;9
15;030;A Coruña;02-003-B;680;0;680;522;2;2;158;520;518;132;0;0;0;0;293;70;2;11;10
15;030;A Coruña;02-004-U;658;0;658;466;2;3;192;464;461;165;0;0;1;2;192;76;1;12;12
15;030;A Coruña;02-005-U;891;0;891;580;5;2;311;575;573;226;2;2;7;3;226;78;1;21;7
15;030;A Coruña;02-006-A;577;0;577;375;2;3;202;373;370;154;0;0;1;1;149;55;0;5;5
15;030;A Coruña;02-006-B;594;0;594;412;5;7;182;407;400;135;0;2;3;2;175;62;0;13;8
15;030;A Coruña;02-007-A;741;0;741;525;3;6;216;522;516;188;0;0;4;2;213;80;1;19;9
15;030;A Coruña;02-007-B;685;0;685;495;3;3;190;492;489;202;0;3;5;1;176;77;0;14;11
15;030;A Coruña;02-008-A;773;0;773;505;0;3;268;505;502;195;0;0;1;2;192;86;0;10;16
15;030;A Coruña;02-008-B;814;0;814;572;5;3;242;567;564;231;0;0;5;0;204;87;1;21;15
15;030;A Coruña;02-009-A;685;0;685;466;0;1;219;466;465;199;0;0;3;1;177;61;0;15;9
15;030;A Coruña;02-009-B;818;0;818;533;3;6;285;530;524;215;0;1;3;1;190;76;1;26;11
15;030;A Coruña;02-010-A;578;0;578;370;2;3;208;368;365;139;0;1;4;1;139;61;0;13;7
15;030;A Coruña;02-010-B;525;0;525;354;2;3;171;352;349;141;0;2;4;3;127;62;0;7;3
15;030;A Coruña;02-011-U;886;0;886;615;6;6;271;609;603;206;0;2;11;3;252;101;1;11;16
15;030;A Coruña;02-012-U;824;0;824;526;3;5;298;523;518;225;0;0;3;3;174;84;4;13;12
15;030;A Coruña;02-013-U;850;0;850;551;8;6;299;543;537;266;0;0;3;3;166;66;1;20;12
15;030;A Coruña;02-014-U;787;0;787;499;5;5;288;494;489;166;0;4;4;3;217;70;1;15;9
15;030;A Coruña;02-015-A;572;0;572;331;1;2;241;330;328;142;0;1;2;3;111;50;2;7;10
15;030;A Coruña;02-015-B;578;0;578;333;0;4;245;333;329;145;0;1;2;4;112;49;0;11;5
15;030;A Coruña;02-016-U;848;0;848;512;3;6;336;509;503;192;0;0;11;6;176;83;1;22;12
15;030;A Coruña;02-017-A;707;0;707;447;2;6;260;445;439;190;1;1;4;2;134;87;0;9;11
15;030;A Coruña;02-017-B;634;0;634;410;1;2;224;409;407;166;0;2;5;4;139;59;3;16;13
15;030;A Coruña;02-018-A;715;0;715;440;3;4;275;437;433;187;0;5;3;0;144;79;1;9;5
15;030;A Coruña;02-018-B;686;0;686;432;6;3;254;426;423;174;0;0;5;1;144;74;2;15;8
15;030;A Coruña;02-019-U;632;0;632;368;1;1;264;367;366;156;0;0;2;2;125;64;1;11;5
