Cód Cir;Cód Con;Concello;Mesa;Censo;Certif Alta;Censo Total;Votos Totais;Votos nulos;Votos brancos;Abstención;Votos Válidos;Votos Candidaturas;BNG;ECG;ESCANOS EN BRANCO;PACMA;PODEMOS-ALIANZA VERDE;PP;PSdeG-PSOE;PUM+J;SUMAR GALICIA;VOX
27;018;A Fonsagrada;01-001-A;715;0;715;538;7;5;177;531;526;120;0;0;0;1;216;184;0;2;3
27;018;A Fonsagrada;01-001-B;700;0;700;502;3;4;198;499;495;114;0;0;0;1;193;183;0;2;2
27;018;A Fonsagrada;01-001-C;244;0;244;164;1;1;80;163;162;28;0;1;0;0;63;63;0;1;6
27;018;A Fonsagrada;02-001-A;200;0;200;140;1;1;60;139;138;25;0;0;0;2;64;47;0;0;0
27;018;A Fonsagrada;02-001-B;236;0;236;169;0;2;67;169;167;28;0;0;0;0;51;85;0;1;2
27;018;A Fonsagrada;02-001-C;220;0;220;162;0;0;58;162;162;24;0;0;0;0;80;54;0;0;4
27;018;A Fonsagrada;03-001-A;209;0;209;132;0;1;77;132;131;16;0;0;0;0;63;51;0;0;1
27;018;A Fonsagrada;03-001-B;346;0;346;227;2;0;119;225;225;30;1;0;0;1;96;94;0;1;2
27;044;A Pastoriza;01-001-A;403;0;403;305;5;3;98;300;297;74;0;0;0;1;183;39;0;0;0
27;044;A Pastoriza;01-001-B;594;0;594;382;2;3;212;380;377;68;0;1;1;0;258;43;0;2;4
27;044;A Pastoriza;01-002-A;417;0;417;297;6;2;120;291;289;43;1;0;0;0;188;53;1;1;2
27;044;A Pastoriza;01-002-B;352;0;352;231;5;0;121;226;226;44;0;1;0;1;153;23;0;1;3
27;044;A Pastoriza;01-003-A;350;0;350;266;5;4;84;261;257;49;1;0;0;0;179;27;0;0;1
27;044;A Pastoriza;01-003-B;364;0;364;246;2;5;118;244;239;47;3;0;0;0;155;30;1;0;3
27;047;A Pobra do Brollón;01-001-A;422;0;422;314;3;3;108;311;308;115;0;0;0;0;141;44;0;1;7
27;047;A Pobra do Brollón;01-001-B;224;0;224;160;1;3;64;159;156;65;0;0;0;1;71;15;0;0;4
27;047;A Pobra do Brollón;01-002-A;337;0;337;243;0;0;94;243;243;72;0;1;1;1;124;39;0;0;5
27;047;A Pobra do Brollón;01-002-B;204;0;204;148;0;0;56;148;148;46;0;0;0;0;75;26;0;0;1
27;047;A Pobra do Brollón;01-002-C;230;0;230;161;1;2;69;160;158;64;0;0;1;0;70;23;0;0;0
27;048;A Pontenova;01-001-A;500;0;500;369;3;5;131;366;361;79;0;0;1;1;157;118;0;1;4
27;048;A Pontenova;01-001-B;597;0;597;438;4;2;159;434;432;100;0;0;0;0;192;134;0;1;5
27;048;A Pontenova;01-001-C;212;0;212;161;2;2;51;159;157;23;0;0;0;0;87;46;0;0;1
27;048;A Pontenova;01-002-U;548;0;548;379;2;2;169;377;375;25;1;1;1;2;204;125;1;5;10
