Cód Cir;Cód Con;Concello;Mesa;Censo;Certif Alta;Censo Total;Votos Totais;Votos nulos;Votos brancos;Abstención;Votos Válidos;Votos Candidaturas;BNG;DO;ECG;ESCANOS EN BRANCO;PACMA;PODEMOS-ALIANZA VERDE;PP;PSdeG-PSOE;PUM+J;SUMAR GALICIA;VOX
32;3;A Arnoia;01-001-A;221;0;221;173;3;1;48;170;169;26;4;0;0;0;0;100;39;0;0;0
32;3;A Arnoia;01-001-B;643;0;643;471;2;1;172;469;468;110;9;0;1;0;0;296;49;0;1;2
32;14;A Bola;01-001-A;210;0;210;158;1;0;52;157;157;43;2;0;1;1;0;98;10;0;0;2
32;14;A Bola;01-001-B;430;0;430;325;1;0;105;324;324;69;12;2;0;0;1;209;22;0;0;9
32;14;A Bola;01-001-C;311;0;311;240;0;1;71;240;239;60;5;0;0;1;0;161;11;0;0;1
32;34;A Gudiña;01-001-A;577;0;577;414;4;5;163;410;405;112;7;0;1;0;0;206;70;0;3;6
32;34;A Gudiña;01-001-B;415;0;415;305;2;1;110;303;302;68;4;0;0;0;0;163;61;0;1;5
32;47;A Merca;01-001-A;329;0;329;234;0;0;95;234;234;36;17;0;1;0;0;154;22;0;0;4
32;47;A Merca;01-001-B;363;0;363;264;0;0;99;264;264;68;16;0;0;0;0;159;18;0;1;2
32;47;A Merca;01-001-C;361;0;361;270;0;1;91;270;269;45;9;0;0;0;0;193;19;0;0;3
32;47;A Merca;01-002-U;660;0;660;474;1;0;186;473;473;136;41;1;0;2;0;244;38;0;4;7
32;48;A Mezquita;01-001-A;577;0;577;366;1;0;211;365;365;133;9;0;0;0;1;159;60;0;0;3
32;48;A Mezquita;01-001-B;234;0;234;141;2;0;93;139;139;44;0;2;0;0;0;56;33;0;0;4
32;59;A Peroxa;01-001-A;287;0;287;205;1;0;82;204;204;54;8;0;0;1;0;110;27;0;0;4
32;59;A Peroxa;01-001-B;284;0;284;228;3;2;56;225;223;32;38;1;0;0;0;121;30;0;0;1
32;59;A Peroxa;02-001-A;568;0;568;354;2;3;214;352;349;54;22;0;0;3;0;226;39;0;1;4
32;59;A Peroxa;02-001-B;211;0;211;168;0;2;43;168;166;23;12;0;0;0;0;89;41;0;0;1
32;59;A Peroxa;02-001-C;243;0;243;188;0;0;55;188;188;26;14;0;1;0;0;126;13;0;1;7
32;63;A Pobra de Trives;01-001-A;570;0;570;402;3;4;168;399;395;79;10;1;3;1;0;208;88;0;0;5
32;63;A Pobra de Trives;01-001-B;467;0;467;323;1;5;144;322;317;82;7;0;1;1;0;136;82;0;3;5
32;63;A Pobra de Trives;01-002-A;331;0;331;215;1;0;116;214;214;53;2;0;0;0;0;104;50;0;2;3
32;63;A Pobra de Trives;01-002-B;345;0;345;223;2;4;122;221;217;27;5;0;0;1;0;128;50;0;1;5
32;72;A Rúa;01-001-A;485;0;485;323;5;2;162;318;316;90;7;0;0;1;0;167;40;0;2;9
32;72;A Rúa;01-001-B;433;0;433;296;3;2;137;293;291;56;9;0;0;0;0;176;40;0;4;6
32;72;A Rúa;01-002-U;596;0;596;389;8;3;207;381;378;97;8;2;0;0;0;200;63;0;2;6
32;72;A Rúa;01-003-U;638;0;638;380;0;1;258;380;379;111;9;0;0;0;0;189;60;0;7;3
32;72;A Rúa;01-004-U;526;0;526;342;3;2;184;339;337;99;5;0;0;2;0;156;61;0;2;12
32;72;A Rúa;01-005-A;425;0;425;275;1;4;150;274;270;78;7;0;0;0;0;123;53;1;3;5
32;72;A Rúa;01-005-B;403;0;403;264;4;1;139;260;259;86;6;0;0;2;1;117;41;0;2;4
32;80;A Teixeira;01-001-U;303;0;303;230;2;2;73;228;226;79;10;0;0;0;0;115;13;0;4;5
32;83;A Veiga;01-001-A;488;0;488;315;4;0;173;311;311;54;2;0;0;0;0;199;50;1;2;3
32;83;A Veiga;01-001-B;312;0;312;209;1;0;103;208;208;51;2;0;1;0;0;137;13;0;1;3
32;1;Allariz;01-001-A;865;0;865;613;7;5;252;606;601;351;21;0;1;1;2;175;41;0;5;4
32;1;Allariz;01-001-B;813;0;813;594;3;4;219;591;587;341;21;0;0;2;1;170;37;0;9;6
32;1;Allariz;01-002-A;260;0;260;169;1;2;91;168;166;82;9;0;0;1;0;59;12;0;0;3
32;1;Allariz;01-002-B;320;0;320;210;3;0;110;207;207;107;8;0;0;0;1;76;13;0;0;2
32;1;Allariz;01-002-C;317;0;317;215;0;0;102;215;215;114;3;0;1;0;0;88;7;0;0;2
32;1;Allariz;01-003-A;518;0;518;388;1;3;130;387;384;210;16;1;0;1;0;124;26;0;3;3
