Anio_Electoral;C.A.;Codigo_Municipio;Municipio;Distrito;Seccion;Mesa;Censo;Votos_Emitidos;Votos_Nulos;Votos_en_blanco;Votos_Validos;Porc_Escrutado;AP-ALIANZA_POPULAR_P.DEMOCRATA;AP-FEDERACION_PARTIDOS_DE_ALIA;PP-PARTIDO_POPULAR;PP-PARTIDO_POPULAR_DE_LA_RIOJA;PSOE-PARTIDO_SOCIALISTA_OBRERO;PR-PARTIDO_RIOJANO;PR-PARTIDO_RIOJANO_PROGRESISTA;PRx-PARTIDO_RIOJANO;PRxE-PARTIDO_RIOJANO_x_ESPANA_;I.U.-IZQUIERDA_UNIDA;IU-IZQUIERDA_UNIDA;IU-IZQUIERDA_UNIDA_LA_RIOJA;PCE-PARTIDO_COMUNISTA_DE_ESPAN;MASH-MOVIMIENTO_AL_SOCIALISMO_;MASH-MVTO_AL_SOCIALISMO_HUMANI;VERDES-LOS_VERDES;VERDES-LOS_VERDES_DE_LA_RIOJA;AR.-ALTERNATIVA_RIOJANA;IZQ.-COALICION_ELECTORAL_IZQ_-;CDS-CENTRO_DEMOCRATICO_Y_SOCIA;PTE-UC-P.TRABAJADORES_ESPANA-U;PDP-PARTIDO_DEMOCRATA_POPULAR;P.C.P.E.-PARTIDO_COMUNISTA_LOS;PCPE-PARTIDO_COMUNISTA_LOS_PUE;PUMxJ-POR_UN_MUNDO_MAS_JUSTO;UPYD-UNION_PROGRESO_Y_DEMOCRAC;UPyD-UNION_PROGRESO_Y_DEMOCRAC_1;ECOLO-VERDE-COALICION_VERDES_D;PACMA-ANTITAURINO_CONTRA_MALTR;PACMA-PART._ANIMALISTA_CONTRA_;PACMA-PARTIDO_ANIMALISTA_CON_E;PACMA-PARTIDO_ANIMALISTA_CONTR;Cs-CIUDADANOS-PARTIDO_DE_LA_CI;PODEMOS-PODEMOS;PODEMOS-I.U.-PODEMOS-IZQUIERDA;PODEMOS-IU-EQUO-UNIDAS_PODEMOS;CR-IU-EQUO-CAMBIA_LA_RIOJA-IU-;EB-PARTIDO_ESCANOS_EN_BLANCO;ESCANOS_EN_BLANCO-ESCANOS_EN_B;VOX-VOX;VINEA-VINEA_La_Rioja;PLRi-POR_LA_RIOJA;p43;p44;p45;p46;p47;p48;p49;p50
2023;La Rioja;1;Ábalos;01;001;U;183;157;1;7;156;100.0;;;60;;72;;;;4;;;;;;;;;;;;;;;;;;;;;;0;;0;;4;;;;1;7;0;1;;;;;;;;
2023;La Rioja;2;Agoncillo;01;001;A;391;300;6;9;294;100.0;;;149;;76;;;;6;;;;;;;;;;;;;;;;;;;;;;1;;2;;12;;;;0;37;0;2;;;;;;;;
2023;La Rioja;2;Agoncillo;01;001;B;475;366;8;8;358;100.0;;;170;;95;;;;9;;;;;;;;;;;;;;;;;;;;;;3;;1;;7;;;;0;60;0;5;;;;;;;;
2023;La Rioja;3;Aguilar Del Río Alhama;01;001;U;341;297;2;4;295;100.0;;;175;;80;;;;2;;;;;;;;;;;;;;;;;;;;;;1;;0;;3;;;;0;23;3;4;;;;;;;;
2023;La Rioja;4;Ajamil De Cameros;01;001;U;89;87;0;1;87;100.0;;;53;;6;;;;20;;;;;;;;;;;;;;;;;;;;;;0;;0;;0;;;;0;4;0;3;;;;;;;;
2023;La Rioja;5;Albelda De Iregua;01;001;A;671;439;3;6;436;100.0;;;205;;140;;;;5;;;;;;;;;;;;;;;;;;;;;;0;;5;;11;;;;1;36;3;24;;;;;;;;
2023;La Rioja;5;Albelda De Iregua;01;001;B;616;398;2;1;396;100.0;;;204;;109;;;;3;;;;;;;;;;;;;;;;;;;;;;2;;1;;13;;;;1;38;0;24;;;;;;;;
2023;La Rioja;5;Albelda De Iregua;02;001;A;695;512;9;7;503;100.0;;;224;;175;;;;11;;;;;;;;;;;;;;;;;;;;;;4;;0;;8;;;;1;28;3;42;;;;;;;;
2023;La Rioja;5;Albelda De Iregua;02;001;B;679;501;9;5;492;100.0;;;237;;161;;;;9;;;;;;;;;;;;;;;;;;;;;;3;;0;;14;;;;2;33;0;28;;;;;;;;
2023;La Rioja;6;Alberite;01;001;A;708;544;10;5;534;100.0;;;250;;219;;;;8;;;;;;;;;;;;;;;;;;;;;;5;;0;;17;;;;1;20;1;8;;;;;;;;
2023;La Rioja;6;Alberite;01;001;B;555;416;6;7;410;100.0;;;197;;153;;;;15;;;;;;;;;;;;;;;;;;;;;;4;;2;;8;;;;0;20;0;4;;;;;;;;
