ANIO_ELECTORAL;CODIGO_MUNICIPIO;MUNICIPIO;DISTRITO;SECCION;MESA;DIRECCION_MESA;DESCRIPCION_MESA;CENSO;VOTOS_EMITIDOS;VOTOS_NULOS;VOTOS_EN_BLANCO;VOTOS_VALIDOS;PORC_PARTICIPACION;PORC_ESCRUTADO;CENSO_ESCRUTADO
1983;1;Ábalos;01;001;A;;;255;220;3;0;217;86.27;100.0;255
1983;2;Agoncillo;01;001;A;;;1290;551;6;1;545;42.71;100.0;1290
1983;3;Aguilar del Río Alhama;01;001;A;;;447;381;4;0;377;85.23;100.0;447
1983;3;Aguilar del Río Alhama;01;001;B;;;422;353;3;2;350;83.65;100.0;422
1983;4;Ajamil de Cameros;01;001;A;;;64;53;3;2;50;82.81;100.0;64
1983;5;Albelda de Iregua;01;001;A;;;751;433;6;7;427;57.66;100.0;751
1983;5;Albelda de Iregua;02;001;A;;;908;583;5;13;578;64.21;100.0;908
1983;6;Alberite;01;001;A;;;1385;1017;6;9;1011;73.43;100.0;1385
1983;7;Alcanadre;01;001;A;;;826;590;5;3;585;71.43;100.0;826
1983;8;Aldeanueva de Ebro;01;001;A;;;1050;830;13;3;817;79.05;100.0;1050
1983;8;Aldeanueva de Ebro;02;001;A;;;1095;923;20;2;903;84.29;100.0;1095
1983;9;Alesanco;01;001;A;;;503;406;8;1;398;80.72;100.0;503
1983;10;Alesón;01;001;A;;;143;129;0;1;129;90.21;100.0;143
1983;11;Alfaro;01;001;A;;;700;539;1;8;538;77.0;100.0;700
1983;11;Alfaro;01;001;B;;;712;537;6;8;531;75.42;100.0;712
1983;11;Alfaro;01;002;A;;;700;478;5;5;473;68.29;100.0;700
1983;11;Alfaro;01;002;B;;;747;526;8;2;518;70.41;100.0;747
1983;11;Alfaro;01;003;A;;;505;369;3;6;366;73.07;100.0;505
1983;11;Alfaro;01;003;B;;;409;341;4;2;337;83.37;100.0;409
1983;11;Alfaro;02;001;A;;;594;449;3;0;446;75.59;100.0;594
1983;11;Alfaro;02;001;B;;;581;450;2;1;448;77.45;100.0;581
1983;11;Alfaro;02;002;A;;;644;433;7;1;426;67.24;100.0;644
1983;11;Alfaro;02;002;B;;;660;471;7;4;464;71.36;100.0;660
1983;11;Alfaro;02;003;A;;;517;392;2;7;390;75.82;100.0;517
1983;12;Almarza de Cameros;01;001;A;;;25;17;0;0;17;68.0;100.0;25
1983;13;Anguciana;01;001;A;;;347;286;1;5;285;82.42;100.0;347
1983;14;Anguiano;01;001;A;;;709;432;12;2;420;60.93;100.0;709
1983;15;Arenzana de Abajo;01;001;A;;;370;283;11;0;272;76.49;100.0;370
1983;16;Arenzana de Arriba;01;001;A;;;47;46;0;0;46;97.87;100.0;47
1983;17;Arnedillo;01;001;A;;;368;336;2;0;334;91.3;100.0;368
1983;18;Arnedo;01;001;A;;;1044;799;15;13;784;76.53;100.0;1044
1983;18;Arnedo;01;002;A;;;1036;782;13;9;769;75.48;100.0;1036
1983;18;Arnedo;01;003;A;;;814;606;5;6;601;74.45;100.0;814
1983;18;Arnedo;02;001;A;;;1323;981;11;13;970;74.15;100.0;1323
1983;18;Arnedo;02;002;A;;;1342;1033;7;14;1026;76.97;100.0;1342
1983;18;Arnedo;02;003;A;;;997;797;7;9;790;79.94;100.0;997
1983;18;Arnedo;02;004;A;;;1192;904;10;5;894;75.84;100.0;1192
1983;18;Arnedo;02;005;A;;;754;546;7;1;539;72.41;100.0;754
1983;19;Arrúbal;01;001;A;;;331;281;4;6;277;84.89;100.0;331
1983;20;Ausejo;01;001;A;;;585;437;15;0;422;74.7;100.0;585
1983;21;Autol;01;001;A;;;1571;1006;8;3;998;64.04;100.0;1571
1983;21;Autol;02;001;A;;;1068;746;6;3;740;69.85;100.0;1068
1983;22;Azofra;01;001;A;;;412;373;4;1;369;90.53;100.0;412
1983;23;Badarán;01;001;A;;;812;529;11;4;518;65.15;100.0;812
1983;24;Bañares;01;001;A;;;489;392;0;0;392;80.16;100.0;489
1983;25;Baños de Rioja;01;001;A;;;138;114;3;0;111;82.61;100.0;138
1983;26;Baños de Río Tobía;01;001;A;;;597;466;6;2;460;78.06;100.0;597
1983;26;Baños de Río Tobía;01;001;B;;;666;529;3;8;526;79.43;100.0;666
1983;27;Berceo;01;001;A;;;253;209;0;0;209;82.61;100.0;253
1983;28;Bergasa;01;001;A;;;211;183;2;0;181;86.73;100.0;211
1983;29;Bergasillas Bajera;01;001;A;;;26;17;0;0;17;65.38;100.0;26
1983;30;Bezares;01;001;A;;;23;16;0;2;16;69.57;100.0;23
1983;31;Bobadilla;01;001;A;;;181;140;9;0;131;77.35;100.0;181
1983;32;Brieva de Cameros;01;001;A;;;86;59;0;1;59;68.6;100.0;86
1983;33;Briñas;01;001;A;;;193;163;2;0;161;84.46;100.0;193
1983;34;Briones;01;001;A;;;820;665;11;8;654;81.1;100.0;820
1983;35;Cabezón de Cameros;01;001;A;;;31;28;0;0;28;90.32;100.0;31
1983;36;Calahorra;01;001;A;;;854;561;14;8;547;65.69;100.0;854
1983;36;Calahorra;01;002;A;;;817;527;12;1;515;64.5;100.0;817
1983;36;Calahorra;01;003;A;;;550;364;1;3;363;66.18;100.0;550
1983;36;Calahorra;01;003;B;;;549;391;4;3;387;71.22;100.0;549
1983;36;Calahorra;02;001;A;;;837;597;25;3;572;71.33;100.0;837
1983;36;Calahorra;02;002;A;;;682;426;1;2;425;62.46;100.0;682
1983;36;Calahorra;02;003;A;;;545;389;9;6;380;71.38;100.0;545
1983;36;Calahorra;02;003;B;;;516;341;2;1;339;66.09;100.0;516
1983;36;Calahorra;02;004;A;;;650;431;8;3;423;66.31;100.0;650
1983;36;Calahorra;02;004;B;;;662;489;6;5;483;73.87;100.0;662
1983;36;Calahorra;03;001;A;;;800;509;12;5;497;63.62;100.0;800
1983;36;Calahorra;03;001;B;;;798;621;6;4;615;77.82;100.0;798
1983;36;Calahorra;03;002;A;;;635;370;1;0;369;58.27;100.0;635
1983;36;Calahorra;03;003;A;;;857;601;12;6;589;70.13;100.0;857
1983;36;Calahorra;03;004;A;;;637;377;0;3;377;59.18;100.0;637
1983;36;Calahorra;03;004;B;;;606;429;1;2;428;70.79;100.0;606
1983;36;Calahorra;03;005;A;;;792;514;14;4;500;64.9;100.0;792
1983;36;Calahorra;03;005;B;;;784;559;4;6;555;71.3;100.0;784
1983;36;Calahorra;03;006;A;;;545;342;15;4;327;62.75;100.0;545
1983;36;Calahorra;03;006;B;;;516;361;16;5;345;69.96;100.0;516
1983;37;Camprovín;01;001;A;;;256;198;0;1;198;77.34;100.0;256
1983;38;Canales de la Sierra;01;001;A;;;104;73;0;0;73;70.19;100.0;104
1983;39;Canillas de Río Tuerto;01;001;A;;;74;57;0;0;57;77.03;100.0;74
1983;40;Cañas;01;001;A;;;116;105;0;2;105;90.52;100.0;116
1983;41;Cárdenas;01;001;A;;;265;192;1;3;191;72.45;100.0;265
1983;42;Casalarreina;01;001;A;;;739;600;11;2;589;81.19;100.0;739
1983;43;Castañares de Rioja;01;001;A;;;493;390;2;4;388;79.11;100.0;493
1983;44;Castroviejo;01;001;A;;;38;37;0;1;37;97.37;100.0;38
1983;45;Cellorigo;01;001;A;;;32;26;0;1;26;81.25;100.0;32
1983;46;Cenicero;01;001;A;;;1077;869;3;3;866;80.69;100.0;1077
1983;46;Cenicero;01;002;A;;;750;595;0;4;595;79.33;100.0;750
1983;47;Cervera del Río Alhama;01;001;A;;;743;570;13;4;557;76.72;100.0;743
1983;47;Cervera del Río Alhama;01;001;B;;;701;558;12;3;546;79.6;100.0;701
